,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Ordinary Shares Number,7434000000.0,7432000000.0,7464000000.0,7519000000.0
Share Issued,7434000000.0,7432000000.0,7464000000.0,7519000000.0
Net Debt,33315000000.0,12533000000.0,35850000000.0,43922000000.0
Total Debt,67127000000.0,59965000000.0,61270000000.0,67775000000.0
Tangible Book Value,121660000000.0,128971000000.0,87720000000.0,84477000000.0
Invested Capital,320107000000.0,253460000000.0,216323000000.0,200134000000.0
Working Capital,34448000000.0,80108000000.0,74602000000.0,95749000000.0
Net Tangible Assets,121660000000.0,128971000000.0,87720000000.0,84477000000.0
Capital Lease Obligations,15497000000.0,12728000000.0,11489000000.0,9629000000.0
Common Stock Equity,268477000000.0,206223000000.0,166542000000.0,141988000000.0
Total Capitalization,311165000000.0,248213000000.0,213574000000.0,192062000000.0
Total Equity Gross Minority Interest,268477000000.0,206223000000.0,166542000000.0,141988000000.0
Stockholders Equity,268477000000.0,206223000000.0,166542000000.0,141988000000.0
Gains Losses Not Affecting Retained Earnings,-5590000000.0,-6343000000.0,-4678000000.0,1822000000.0
Other Equity Adjustments,-5590000000.0,-6343000000.0,-4678000000.0,1822000000.0
Retained Earnings,173144000000.0,118848000000.0,84281000000.0,57055000000.0
Capital Stock,100923000000.0,93718000000.0,86939000000.0,83111000000.0
Common Stock,100923000000.0,93718000000.0,86939000000.0,83111000000.0
Total Liabilities Net Minority Interest,243686000000.0,205753000000.0,198298000000.0,191791000000.0
Total Non Current Liabilities Net Minority Interest,118400000000.0,101604000000.0,103216000000.0,103134000000.0
Other Non Current Liabilities,27064000000.0,17981000000.0,15526000000.0,13427000000.0
Tradeand Other Payables Non Current,27931000000.0,25560000000.0,26069000000.0,27190000000.0
Non Current Deferred Liabilities,5220000000.0,3345000000.0,3100000000.0,2814000000.0
Non Current Deferred Revenue,2602000000.0,2912000000.0,2870000000.0,2616000000.0
Non Current Deferred Taxes Liabilities,2618000000.0,433000000.0,230000000.0,198000000.0
Long Term Debt And Capital Lease Obligation,58185000000.0,54718000000.0,58521000000.0,59703000000.0
Long Term Capital Lease Obligation,15497000000.0,12728000000.0,11489000000.0,9629000000.0
Long Term Debt,42688000000.0,41990000000.0,47032000000.0,50074000000.0
Current Liabilities,125286000000.0,104149000000.0,95082000000.0,88657000000.0
Other Current Liabilities,19185000000.0,14745000000.0,13067000000.0,11666000000.0
Current Deferred Liabilities,57582000000.0,50901000000.0,45538000000.0,41525000000.0
Current Deferred Revenue,57582000000.0,50901000000.0,45538000000.0,41525000000.0
Current Debt And Capital Lease Obligation,8942000000.0,5247000000.0,2749000000.0,8072000000.0
Current Debt,8942000000.0,5247000000.0,2749000000.0,8072000000.0
Pensionand Other Post Retirement Benefit Plans Current,12564000000.0,11009000000.0,10661000000.0,10057000000.0
Payables And Accrued Expenses,27013000000.0,22247000000.0,23067000000.0,17337000000.0
Payables,27013000000.0,22247000000.0,23067000000.0,17337000000.0
Total Tax Payable,5017000000.0,4152000000.0,4067000000.0,2174000000.0
Income Tax Payable,5017000000.0,4152000000.0,4067000000.0,2174000000.0
Accounts Payable,21996000000.0,18095000000.0,19000000000.0,15163000000.0
Total Assets,512163000000.0,411976000000.0,364840000000.0,333779000000.0
Total Non Current Assets,352429000000.0,227719000000.0,195156000000.0,149373000000.0
Other Non Current Assets,36460000000.0,30601000000.0,21897000000.0,15075000000.0
Investments And Advances,14600000000.0,9879000000.0,6891000000.0,5984000000.0
Long Term Equity Investment,14600000000.0,9879000000.0,6891000000.0,5984000000.0
Goodwill And Other Intangible Assets,146817000000.0,77252000000.0,78822000000.0,57511000000.0
Other Intangible Assets,27597000000.0,9366000000.0,11298000000.0,7800000000.0
Goodwill,119220000000.0,67886000000.0,67524000000.0,49711000000.0
Net PPE,154552000000.0,109987000000.0,87546000000.0,70803000000.0
Accumulated Depreciation,-76421000000.0,-68251000000.0,-59660000000.0,-51351000000.0
Gross PPE,230973000000.0,178238000000.0,147206000000.0,122154000000.0
Leases,9594000000.0,8537000000.0,7819000000.0,6884000000.0
Other Properties,18961000000.0,14346000000.0,13148000000.0,11088000000.0
Machinery Furniture Equipment,100312000000.0,81207000000.0,66491000000.0,56594000000.0
Buildings And Improvements,93943000000.0,68465000000.0,55014000000.0,43928000000.0
Land And Improvements,8163000000.0,5683000000.0,4734000000.0,3660000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,159734000000.0,184257000000.0,169684000000.0,184406000000.0
Other Current Assets,26021000000.0,21807000000.0,16924000000.0,13393000000.0
Hedging Assets Current,12000000.0,6000000.0,8000000.0,78000000.0
Inventory,1246000000.0,2500000000.0,3742000000.0,2636000000.0
Finished Goods,845000000.0,1768000000.0,2516000000.0,1367000000.0
Work In Process,7000000.0,23000000.0,82000000.0,79000000.0
Raw Materials,394000000.0,709000000.0,1144000000.0,1190000000.0
Receivables,56924000000.0,48688000000.0,44261000000.0,38043000000.0
Accounts Receivable,56924000000.0,48688000000.0,44261000000.0,38043000000.0
Allowance For Doubtful Accounts Receivable,-830000000.0,-650000000.0,-633000000.0,-751000000.0
Gross Accounts Receivable,57754000000.0,49338000000.0,44894000000.0,38794000000.0
