,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Free Cash Flow,74071000000.0,59475000000.0,65149000000.0,56118000000.0,
Repurchase Of Capital Stock,-17254000000.0,-22245000000.0,-32696000000.0,-27385000000.0,
Repayment Of Debt,-29070000000.0,-2750000000.0,-9023000000.0,-3750000000.0,
Issuance Of Debt,29645000000.0,0.0,0.0,,0.0
Issuance Of Capital Stock,2002000000.0,1866000000.0,1841000000.0,1693000000.0,
Capital Expenditure,-44477000000.0,-28107000000.0,-23886000000.0,-20622000000.0,
End Cash Position,18315000000.0,34704000000.0,13931000000.0,14224000000.0,
Beginning Cash Position,34704000000.0,13931000000.0,14224000000.0,13576000000.0,
Effect Of Exchange Rate Changes,-210000000.0,-194000000.0,-141000000.0,-29000000.0,
Changes In Cash,-16179000000.0,20967000000.0,-152000000.0,677000000.0,
Financing Cash Flow,-37757000000.0,-43935000000.0,-58876000000.0,-48486000000.0,
Cash Flow From Continuing Financing Activities,-37757000000.0,-43935000000.0,-58876000000.0,-48486000000.0,
Net Other Financing Charges,-1309000000.0,-1006000000.0,-863000000.0,-2523000000.0,
Cash Dividends Paid,-21771000000.0,-19800000000.0,-18135000000.0,-16521000000.0,
Common Stock Dividend Paid,-21771000000.0,-19800000000.0,-18135000000.0,-16521000000.0,
Net Common Stock Issuance,-15252000000.0,-20379000000.0,-30855000000.0,-25692000000.0,
Common Stock Payments,-17254000000.0,-22245000000.0,-32696000000.0,-27385000000.0,
Common Stock Issuance,2002000000.0,1866000000.0,1841000000.0,1693000000.0,
Net Issuance Payments Of Debt,575000000.0,-2750000000.0,-9023000000.0,-3750000000.0,
Net Short Term Debt Issuance,5250000000.0,0.0,0.0,,0.0
Short Term Debt Issuance,5250000000.0,0.0,0.0,,
Net Long Term Debt Issuance,-4675000000.0,-2750000000.0,-9023000000.0,-3750000000.0,
Long Term Debt Payments,-29070000000.0,-2750000000.0,-9023000000.0,-3750000000.0,
Long Term Debt Issuance,24395000000.0,0.0,0.0,,0.0
Investing Cash Flow,-96970000000.0,-22680000000.0,-30311000000.0,-27577000000.0,
Cash Flow From Continuing Investing Activities,-96970000000.0,-22680000000.0,-30311000000.0,-27577000000.0,
Net Other Investing Changes,-1298000000.0,-3116000000.0,-2825000000.0,-922000000.0,
Net Investment Purchase And Sale,17937000000.0,10213000000.0,18438000000.0,2876000000.0,
Sale Of Investment,35669000000.0,47864000000.0,44894000000.0,65800000000.0,
Purchase Of Investment,-17732000000.0,-37651000000.0,-26456000000.0,-62924000000.0,
Net Business Purchase And Sale,-69132000000.0,-1670000000.0,-22038000000.0,-8909000000.0,
Purchase Of Business,-69132000000.0,-1670000000.0,-22038000000.0,-8909000000.0,
Net PPE Purchase And Sale,-44477000000.0,-28107000000.0,-23886000000.0,-20622000000.0,
Purchase Of PPE,-44477000000.0,-28107000000.0,-23886000000.0,-20622000000.0,
Operating Cash Flow,118548000000.0,87582000000.0,89035000000.0,76740000000.0,
Cash Flow From Continuing Operating Activities,118548000000.0,87582000000.0,89035000000.0,76740000000.0,
Change In Working Capital,1824000000.0,-2388000000.0,446000000.0,-936000000.0,
Change In Other Working Capital,5348000000.0,5535000000.0,5805000000.0,2324000000.0,
Change In Other Current Liabilities,5616000000.0,2825000000.0,3169000000.0,5551000000.0,
Change In Other Current Assets,-8465000000.0,-4824000000.0,-3514000000.0,-4391000000.0,
Change In Payables And Accrued Expense,5232000000.0,-3079000000.0,2943000000.0,2798000000.0,
Change In Payable,5232000000.0,-3079000000.0,2943000000.0,2798000000.0,
Change In Account Payable,3545000000.0,-2721000000.0,2943000000.0,2798000000.0,
Change In Tax Payable,1687000000.0,-358000000.0,,,
Change In Income Tax Payable,1687000000.0,-358000000.0,,,
Change In Inventory,1284000000.0,1242000000.0,-1123000000.0,-737000000.0,
Change In Receivables,-7191000000.0,-4087000000.0,-6834000000.0,-6481000000.0,
Changes In Account Receivables,-7191000000.0,-4087000000.0,-6834000000.0,-6481000000.0,
Stock Based Compensation,10734000000.0,9611000000.0,7502000000.0,6118000000.0,
Deferred Tax,-4738000000.0,-6059000000.0,-5702000000.0,-150000000.0,
Deferred Income Tax,-4738000000.0,-6059000000.0,-5702000000.0,-150000000.0,
Depreciation Amortization Depletion,22287000000.0,13861000000.0,14460000000.0,11686000000.0,
Depreciation And Amortization,22287000000.0,13861000000.0,14460000000.0,11686000000.0,
Depreciation,22287000000.0,13861000000.0,14460000000.0,11686000000.0,
Operating Gains Losses,305000000.0,196000000.0,-409000000.0,-1249000000.0,
Gain Loss On Investment Securities,,,,,-219000000.0
Net Income From Continuing Operations,88136000000.0,72361000000.0,72738000000.0,61271000000.0,
