會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,2667909.0,11.12,2441957.0,10.33,2741079.0,11.4,2763663.0,11.83
透過損益按公允價值衡量之金融資產－流動,4659259.0,19.42,4342204.0,18.37,4094789.0,17.03,5088550.0,21.78
按攤銷後成本衡量之金融資產－流動,261500.0,1.09,194700.0,0.82,190400.0,0.79,175900.0,0.75
應收票據淨額,4923.0,0.02,11395.0,0.05,10423.0,0.04,12577.0,0.05
應收帳款淨額,1646352.0,6.86,1476692.0,6.25,1632529.0,6.79,1368468.0,5.86
其他應收款淨額,377013.0,1.57,519714.0,2.2,337333.0,1.4,326681.0,1.4
存貨,3302134.0,13.76,3556783.0,15.05,3686269.0,15.33,3355340.0,14.36
待出售非流動資產（或處分群組）淨額,0.0,0.0,0.0,0.0,241537.0,1.0,188886.0,0.81
其他流動資產,221835.0,0.92,206654.0,0.87,12934359.0,53.79,13280065.0,56.84
流動資產合計,13140925.0,54.77,12750099.0,53.95,,,,
非流動資產,,,,,3866147.0,16.08,3129055.0,13.39
透過損益按公允價值衡量之金融資產－非流動,3600936.0,15.01,3528049.0,14.93,460445.0,1.91,511207.0,2.19
透過其他綜合損益按公允價值衡量之金融資產－非流動,388118.0,1.62,456081.0,1.93,15811.0,0.07,15743.0,0.07
按攤銷後成本衡量之金融資產－非流動,15989.0,0.07,15725.0,0.07,155742.0,0.65,185166.0,0.79
採用權益法之投資,146337.0,0.61,157016.0,0.66,4609268.0,19.17,4332671.0,18.54
不動產、廠房及設備,4725822.0,19.7,4665135.0,19.74,234890.0,0.98,258552.0,1.11
使用權資產,188300.0,0.78,246654.0,1.04,537385.0,2.23,616843.0,2.64
投資性不動產淨額,547219.0,2.28,541465.0,2.29,78397.0,0.33,61038.0,0.26
無形資產,101281.0,0.42,89834.0,0.38,449223.0,1.87,268404.0,1.15
遞延所得稅資產,459477.0,1.92,458341.0,1.94,703949.0,2.93,705278.0,3.02
其他非流動資產,676681.0,2.82,723573.0,3.06,11111257.0,46.21,10083957.0,43.16
非流動資產合計,10850160.0,45.23,10881873.0,46.05,24045616.0,100.0,23364022.0,100.0
資產總額,23991085.0,100.0,23631972.0,100.0,,,,
流動負債,,,,,840000.0,3.49,700000.0,3.0
短期借款,443947.0,1.85,505240.0,2.14,0.0,0.0,50000.0,0.21
應付短期票券,50000.0,0.21,50000.0,0.21,10728.0,0.04,1952.0,0.01
透過損益按公允價值衡量之金融負債－流動,6709.0,0.03,1385.0,0.01,97577.0,0.41,94740.0,0.41
合約負債－流動,161850.0,0.67,102046.0,0.43,62421.0,0.26,49975.0,0.21
應付票據,76920.0,0.32,76316.0,0.32,749280.0,3.12,653767.0,2.8
應付帳款,721069.0,3.01,788809.0,3.34,1426512.0,5.93,431382.0,1.85
其他應付款,602756.0,2.51,864961.0,3.66,3275.0,0.01,2323.0,0.01
本期所得稅負債,3528.0,0.01,4563.0,0.02,67666.0,0.28,65842.0,0.28
租賃負債－流動,59845.0,0.25,65638.0,0.28,539682.0,2.24,1665735.0,7.13
其他流動負債,610805.0,2.55,738212.0,3.12,3797141.0,15.79,3715716.0,15.9
流動負債合計,2737429.0,11.41,3197170.0,13.53,,,,
非流動負債,,,,,2846250.0,11.84,2385000.0,10.21
長期借款,2448750.0,10.21,2212500.0,9.36,104000.0,0.43,30596.0,0.13
遞延所得稅負債,96671.0,0.4,98125.0,0.42,162888.0,0.68,237661.0,1.02
租賃負債－非流動,123845.0,0.52,176084.0,0.75,153419.0,0.64,131374.0,0.56
其他非流動負債,158292.0,0.66,155352.0,0.66,3266557.0,13.58,2784631.0,11.92
非流動負債合計,2827558.0,11.79,2642061.0,11.18,7063698.0,29.38,6500347.0,27.82
負債總額,5564987.0,23.2,5839231.0,24.71,,,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,10893483.0,45.3,10893483.0,46.63
普通股股本,11588812.0,48.3,11588812.0,49.04,10893483.0,45.3,10893483.0,46.63
股本合計,11588812.0,48.3,11588812.0,49.04,,,,
資本公積,,,,,1698443.0,7.06,1698443.0,7.27
資本公積－發行溢價,1814331.0,7.56,1698443.0,7.19,5014346.0,20.85,5014346.0,21.46
資本公積－庫藏股票交易,5014346.0,20.9,5014346.0,21.22,68.0,0.0,68.0,0.0
資本公積－實際取得或處分子公司股權價格與帳面價值差額,68.0,0.0,68.0,0.0,1922.0,0.01,1922.0,0.01
