會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,2045120.0,100.0,1873777.0,100.0,1902609.0,100.0,7692376.0,100.0
營業成本合計,1677882.0,82.04,1516457.0,80.93,1464768.0,76.99,6227115.0,80.95
營業毛利（毛損）,367238.0,17.96,357320.0,19.07,437841.0,23.01,1465261.0,19.05
營業毛利（毛損）淨額,367238.0,17.96,357320.0,19.07,437841.0,23.01,1465261.0,19.05
營業費用,,,,,,,,
推銷費用,231882.0,11.34,223179.0,11.91,230246.0,12.1,937921.0,12.19
管理費用,170551.0,8.34,186914.0,9.98,192631.0,10.12,746243.0,9.7
研究發展費用,64382.0,3.15,118500.0,6.32,78544.0,4.13,335369.0,4.36
預期信用減損損失（利益）,-6449.0,-0.32,-25247.0,-1.35,-16245.0,-0.85,-24427.0,-0.32
營業費用合計,460366.0,22.51,503346.0,26.86,485176.0,25.5,1995106.0,25.94
營業利益（損失）,-93128.0,-4.55,-146026.0,-7.79,-47335.0,-2.49,-529845.0,-6.89
營業外收入及支出,,,,,,,,
利息收入,1083.0,0.05,1711.0,0.09,2067.0,0.11,10881.0,0.14
其他收入,18786.0,0.92,203424.0,10.86,180260.0,9.47,503576.0,6.55
其他利益及損失淨額,-18125.0,-0.89,-576574.0,-30.77,-378661.0,-19.9,-805030.0,-10.47
財務成本淨額,11973.0,0.59,14021.0,0.75,15114.0,0.79,63474.0,0.83
採用權益法認列之關聯企業及合資損益之份額淨額,-27834.0,-1.36,-17090.0,-0.91,-3349.0,-0.18,-52580.0,-0.68
營業外收入及支出合計,-38063.0,-1.86,-402550.0,-21.48,-214797.0,-11.29,-406627.0,-5.29
稅前淨利（淨損）,-131191.0,-6.41,-548576.0,-29.28,-262132.0,-13.78,-936472.0,-12.17
所得稅費用（利益）合計,10300.0,0.5,6975.0,0.37,19658.0,1.03,146503.0,1.9
繼續營業單位本期淨利（淨損）,-141491.0,-6.92,-555551.0,-29.65,-281790.0,-14.81,-1082975.0,-14.08
本期淨利（淨損）,-141491.0,-6.92,-555551.0,-29.65,-281790.0,-14.81,-1082975.0,-14.08
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-8273.0,-0.4,-8093.0,-0.43,-22187.0,-1.17,26338.0,0.34
不重分類至損益之項目：,-8273.0,-0.4,-8093.0,-0.43,-22187.0,-1.17,-24438.0,-0.32
國外營運機構財務報表換算之兌換差額,133625.0,6.53,45359.0,2.42,187591.0,9.86,4835.0,0.06
採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-185.0,-0.01,816.0,0.04,892.0,0.05,-2935.0,-0.04
後續可能重分類至損益之項目：,133440.0,6.52,46175.0,2.46,188483.0,9.91,317141.0,4.12
其他綜合損益（淨額）,125167.0,6.12,38082.0,2.03,166296.0,8.74,1239.0,0.02
本期綜合損益總額,-16324.0,-0.8,-517469.0,-27.62,-115494.0,-6.07,318380.0,4.14
淨利（損）歸屬於：,,,,,,,315445.0,4.1
母公司業主（淨利∕損）,-137521.0,-6.72,-554302.0,-29.58,-279855.0,-14.71,-767530.0,-9.98
非控制權益（淨利∕損）,-3970.0,-0.19,-1249.0,-0.07,-1935.0,-0.1,,
母公司業主（綜合損益）,-12794.0,-0.63,-514555.0,-27.46,-110975.0,-5.83,-1077756.0,-14.01
非控制權益（綜合損益）,-3530.0,-0.17,-2914.0,-0.16,-4519.0,-0.24,-5219.0,-0.07
基本每股盈餘,,,,,,,-759957.0,-9.88
繼續營業單位淨利（淨損）,-0.12,,-0.48,,-0.25,,-7573.0,-0.1
基本每股盈餘,-0.12,,-0.48,,-0.25,,,
