會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,-39617.0,17492.0,102430.0,20469.0
本期稅前淨利（淨損）,-39617.0,17492.0,102430.0,20469.0
折舊費用,201180.0,412562.0,627138.0,925265.0
攤銷費用,18816.0,35034.0,46168.0,56129.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,3494.0,13639.0,25329.0,37526.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,17212.0,107097.0,181179.0,123593.0
利息費用,33571.0,69756.0,110473.0,148902.0
利息收入,-3169.0,-6138.0,-12427.0,-22870.0
股利收入,-488.0,-3827.0,-14428.0,-14596.0
採用權益法認列之關聯企業及合資損失（利益）之份額,-7172.0,-11998.0,-15672.0,-16594.0
處分及報廢不動產、廠房及設備損失（利益）,-280.0,-4383.0,-4718.0,1030.0
不動產、廠房及設備轉列費用數,607.0,1493.0,2508.0,188.0
處分待出售非流動資產損失（利益）,263771.0,1058.0,-3622.0,0.0
處分投資損失（利益）,15255.0,28261.0,1058.0,-8763.0
非金融資產減損損失,216575.0,642554.0,27935.0,7599.0
其他項目,-2231.0,7274.0,970921.0,27821.0
收益費損項目合計,29717.0,-106186.0,1433.0,1265230.0
應收票據（增加）減少,259316.0,-283548.0,-197327.0,4507.0
應收帳款（增加）減少,-10316.0,-58832.0,-316583.0,-70634.0
存貨（增加）減少,-144380.0,-441292.0,-176553.0,-106560.0
其他流動資產（增加）減少,-136231.0,-5252.0,-689030.0,69963.0
與營業活動相關之資產之淨變動合計,4515.0,6637.0,-6453.0,-102724.0
應付票據增加（減少）,-1948.0,98760.0,75480.0,-16442.0
應付帳款增加（減少）,-288360.0,2489.0,-108139.0,-86213.0
其他應付款增加（減少）,-29044.0,-36649.0,19533.0,-55158.0
其他流動負債增加（減少）,234727.0,-4431.0,99683.0,-49535.0
淨確定福利負債增加(減少),195110.0,61554.0,-6391.0,-98565.0
與營業活動相關之負債之淨變動合計,3025.0,-379738.0,73713.0,-305913.0
與營業活動相關之資產及負債之淨變動合計,-29923.0,262816.0,-615317.0,-408637.0
調整項目合計,-5424.0,280308.0,355604.0,856593.0
營運產生之現金流入（流出）,162788.0,5716.0,458034.0,877062.0
收取之利息,,-62110.0,11175.0,21441.0
支付之利息,45196.0,-31460.0,-98875.0,-133366.0
退還（支付）之所得稅,-75224.0,192454.0,-44468.0,-37497.0
營業活動之淨現金流入（流出）,-142537.0,,325866.0,727640.0
投資活動之現金流量,92958.0,77136.0,,
取得透過其他綜合損益按公允價值衡量之金融資產,-62465.0,-55663.0,133611.0,-500.0
處分透過其他綜合損益按公允價值衡量之金融資產,-290969.0,0.0,3800.0,146201.0
透過其他綜合損益按公允價值衡量之金融資產減資退回股款,319.0,-289070.0,0.0,7819.0
處分按攤銷後成本衡量之金融資產,0.0,195967.0,10057.0,10341.0
取得透過損益按公允價值衡量之金融資產,518.0,-7000.0,-461002.0,-502995.0
處分透過損益按公允價值衡量之金融資產,-4210.0,-82294.0,352979.0,458303.0
取得採用權益法之投資,488.0,-376517.0,-7000.0,-7000.0
處分採用權益法之投資,-435926.0,8358.0,-82294.0,0.0
對子公司之收購（扣除所取得之現金）,,0.0,16029.0,-82294.0
處分子公司,-419193.0,1145.0,-484794.0,16029.0
取得不動產、廠房及設備,4449.0,-13416.0,19685.0,-620508.0
處分不動產、廠房及設備,595000.0,3827.0,-583.0,29070.0
取得無形資產,649140.0,-537527.0,1780.0,-760.0
長期應收租賃款減少,-13995.0,,-35462.0,2378.0
其他非流動資產增加,3116.0,-239111.0,14428.0,-30315.0
收取之股利,9244.0,-6806.0,-518766.0,14596.0
投資活動之淨現金流入（流出）,-41792.0,595000.0,,-559635.0
籌資活動之現金流量,785969.0,671451.0,0.0,
短期借款減少,114870.0,0.0,-328161.0,-440513.0
應付短期票券減少,627701.0,-27478.0,-6513.0,-8091.0
發行公司債,3865547.0,574.0,595000.0,595000.0
償還公司債,4493248.0,9245.0,339487.0,-35154.0
舉借長期借款,4493248.0,-213538.0,0.0,69702.0
