會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
銷貨收入,5515894.0,100.0,5138033.0,100.0,4777533.0,100.0,19888289.0,100.0
銷貨收入淨額,5515894.0,100.0,5138033.0,100.0,4777533.0,100.0,19888289.0,100.0
營業收入合計,5515894.0,100.0,5138033.0,100.0,4777533.0,100.0,19888289.0,100.0
銷貨成本,3992611.0,72.38,3658980.0,71.21,3402561.0,71.22,14286502.0,71.83
營業成本合計,3992611.0,72.38,3658980.0,71.21,3402561.0,71.22,14286502.0,71.83
營業毛利（毛損）,1523283.0,27.62,1479053.0,28.79,1374972.0,28.78,5601787.0,28.17
營業毛利（毛損）淨額,1523283.0,27.62,1479053.0,28.79,1374972.0,28.78,5601787.0,28.17
營業費用,,,,,,,,
推銷費用,338143.0,6.13,319545.0,6.22,351439.0,7.36,1341000.0,6.74
管理費用,490177.0,8.89,468582.0,9.12,446323.0,9.34,1809657.0,9.1
研究發展費用,177991.0,3.23,183411.0,3.57,170024.0,3.56,713168.0,3.59
預期信用減損損失（利益）,35773.0,0.65,84502.0,1.64,53227.0,1.11,267826.0,1.35
營業費用合計,1042084.0,18.89,1056040.0,20.55,1021013.0,21.37,4131651.0,20.77
營業利益（損失）,481199.0,8.72,423013.0,8.23,353959.0,7.41,1470136.0,7.39
營業外收入及支出,,,,,,,,
利息收入,24977.0,0.45,29394.0,0.57,28515.0,0.6,108879.0,0.55
其他收入,27393.0,0.5,70491.0,1.37,25019.0,0.52,247508.0,1.24
其他利益及損失淨額,88728.0,1.61,55853.0,1.09,159965.0,3.35,-28434.0,-0.14
財務成本淨額,11216.0,0.2,15017.0,0.29,13598.0,0.28,49370.0,0.25
採用權益法認列之關聯企業及合資損益之份額淨額,-450.0,-0.01,-1931.0,-0.04,-5552.0,-0.12,-9515.0,-0.05
營業外收入及支出合計,129432.0,2.35,138790.0,2.7,194349.0,4.07,269068.0,1.35
稅前淨利（淨損）,610631.0,11.07,561803.0,10.93,548308.0,11.48,1739204.0,8.74
所得稅費用（利益）合計,132942.0,2.41,133270.0,2.59,94237.0,1.97,423465.0,2.13
繼續營業單位本期淨利（淨損）,477689.0,8.66,428533.0,8.34,454071.0,9.5,1315739.0,6.62
本期淨利（淨損）,477689.0,8.66,428533.0,8.34,454071.0,9.5,1315739.0,6.62
其他綜合損益(淨額),,,,,,,,
國外營運機構財務報表換算之兌換差額,294230.0,5.33,-100167.0,-1.95,52815.0,1.11,23557.0,0.12
與可能重分類之項目相關之所得稅,509.0,0.01,3824.0,0.07,-3573.0,-0.07,-12869.0,-0.06
後續可能重分類至損益之項目：,293721.0,5.32,-103991.0,-2.02,56388.0,1.18,616.0,0.0
其他綜合損益（淨額）,293721.0,5.32,-103991.0,-2.02,56388.0,1.18,4712.0,0.02
本期綜合損益總額,771410.0,13.99,324542.0,6.32,510459.0,10.68,6592.0,0.03
淨利（損）歸屬於：,,,,,,,201520.0,1.01
母公司業主（淨利∕損）,463520.0,8.4,394559.0,7.68,424238.0,8.88,-3334.0,-0.02
非控制權益（淨利∕損）,14169.0,0.26,33974.0,0.66,29833.0,0.62,204854.0,1.03
母公司業主（綜合損益）,748079.0,13.56,296321.0,5.77,477856.0,10.0,211446.0,1.06
非控制權益（綜合損益）,23331.0,0.42,28221.0,0.55,32603.0,0.68,1527185.0,7.68
基本每股盈餘,,,,,,,,
基本每股盈餘,1.05,,0.89,,0.96,,1230836.0,6.19
稀釋每股盈餘,,,,,,,84903.0,0.43
稀釋每股盈餘,1.04,,0.88,,0.95,,1436151.0,7.22
