會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,326860.0,12.66,483435.0,17.46,521623.0,17.94,700684.0,23.47
應收票據淨額,8503.0,0.33,868.0,0.03,1943.0,0.07,3197.0,0.11
應收票據－關係人淨額,6.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
應收帳款淨額,393696.0,15.25,377998.0,13.65,409493.0,14.08,389867.0,13.06
應收帳款－關係人淨額,1357.0,0.05,1514.0,0.05,1114.0,0.04,559.0,0.02
其他應收款淨額,23295.0,0.9,7250.0,0.26,20842.0,0.72,7382.0,0.25
其他應收款－關係人淨額,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
存貨,840350.0,32.55,882531.0,31.87,883048.0,30.36,742831.0,24.88
預付款項,47126.0,1.83,36516.0,1.32,29890.0,1.03,43306.0,1.45
其他流動資產,1350.0,0.05,2279.0,0.08,3633.0,0.12,1561.0,0.05
流動資產合計,1642549.0,63.62,1792391.0,64.73,1871598.0,64.36,1889390.0,63.27
非流動資產,,,,,,,,
不動產、廠房及設備,872232.0,33.79,20.0,0.0,120.0,0.0,477.0,0.02
使用權資產,51448.0,1.99,904165.0,32.66,958649.0,32.96,1023142.0,34.26
無形資產,750.0,0.03,54400.0,1.96,57884.0,1.99,52914.0,1.77
遞延所得稅資產,7614.0,0.29,704.0,0.03,667.0,0.02,762.0,0.03
其他非流動資產,7085.0,0.27,10111.0,0.37,11993.0,0.41,12211.0,0.41
非流動資產合計,939129.0,36.38,7033.0,0.25,7272.0,0.25,7181.0,0.24
資產總額,2581678.0,100.0,976433.0,35.27,1036585.0,35.64,1096687.0,36.73
流動負債,,,2768824.0,100.0,2908183.0,100.0,2986077.0,100.0
短期借款,57897.0,2.24,,,,,,
合約負債－流動,5283.0,0.2,79144.0,2.86,65243.0,2.24,64088.0,2.15
應付票據,103086.0,3.99,360.0,0.01,4996.0,0.17,3350.0,0.11
應付帳款,233968.0,9.06,99202.0,3.58,100297.0,3.45,65156.0,2.18
應付帳款－關係人,431.0,0.02,210738.0,7.61,172135.0,5.92,110509.0,3.7
其他應付款,97779.0,3.79,0.0,0.0,0.0,0.0,29.0,0.0
其他應付款項－關係人,11.0,0.0,104451.0,3.77,135472.0,4.66,130966.0,4.39
本期所得稅負債,63075.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0
負債準備－流動,743.0,0.03,54106.0,1.95,52041.0,1.79,91091.0,3.05
租賃負債－流動,15684.0,0.61,1483.0,0.05,2356.0,0.08,2694.0,0.09
其他流動負債,34626.0,1.34,17429.0,0.63,18807.0,0.65,17801.0,0.6
流動負債合計,612583.0,23.73,43518.0,1.57,44016.0,1.51,48423.0,1.62
非流動負債,,,610431.0,22.05,595363.0,20.47,534107.0,17.89
長期借款,274033.0,10.61,,,,,,
租賃負債－非流動,36245.0,1.4,188048.0,6.79,189051.0,6.5,96360.0,3.23
非流動負債合計,310278.0,12.02,318558.0,11.51,308028.0,10.59,313628.0,10.5
負債總額,922861.0,35.75,647.0,0.02,3878.0,0.13,35670.0,1.19
股本,,,37466.0,1.35,39606.0,1.36,445658.0,14.92
普通股股本,678453.0,26.28,544719.0,19.67,540563.0,18.59,979765.0,32.81
股本合計,678453.0,26.28,1155150.0,41.72,1135926.0,39.06,,
資本公積,,,,,,,689453.0,23.09
資本公積－發行溢價,417366.0,16.17,678453.0,24.5,689453.0,23.71,14269.0,0.48
資本公積合計,417366.0,16.17,678453.0,24.5,689453.0,23.71,703722.0,23.57
保留盈餘,,,,,,,,
法定盈餘公積,99271.0,3.85,449990.0,16.25,513350.0,17.65,592721.0,19.85
未分配盈餘（或待彌補虧損）,463727.0,17.96,,,513350.0,17.65,592721.0,19.85
保留盈餘合計,562998.0,21.81,125893.0,4.55,,,,
權益總額,1658817.0,64.25,359338.0,12.98,125893.0,4.33,125893.0,4.22
負債及權益總計,2581678.0,100.0,485231.0,17.52,489394.0,16.83,629809.0,21.09
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,1613674.0,58.28,615287.0,21.16,755702.0,25.31
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,2768824.0,100.0,,,,
