會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,-35810.0,29638.0,115520.0,106996.0
停業單位稅前淨利（淨損）,0.0,0.0,0.0,0.0
本期稅前淨利（淨損）,-35810.0,29638.0,115520.0,106996.0
折舊費用,4247.0,8452.0,12569.0,17095.0
攤銷費用,2737.0,5737.0,8706.0,11876.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-115.0,191.0,-82.0,-187.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,2291.0,4372.0,6891.0,5268.0
利息費用,2077.0,4550.0,7878.0,10544.0
利息收入,-304.0,-699.0,-1025.0,-1682.0
股利收入,-22.0,-100729.0,-226653.0,-226704.0
處分及報廢不動產、廠房及設備損失（利益）,0.0,0.0,0.0,-6746.0
處分待出售非流動資產損失（利益）,-5.0,0.0,0.0,0.0
未實現外幣兌換損失（利益）,16699.0,-5.0,-15.0,12852.0
其他項目,0.0,37655.0,71489.0,-350.0
收益費損項目合計,27605.0,-350.0,-350.0,-178034.0
合約資產（增加）減少,10709.0,-40826.0,-120592.0,12324.0
應收帳款（增加）減少,-6028.0,0.0,13573.0,8838.0
應收帳款－關係人（增加）減少,17018.0,13542.0,5353.0,16964.0
其他應收款（增加）減少,5.0,-2173.0,17136.0,7609.0
存貨（增加）減少,-1074.0,17136.0,8417.0,0.0
預付款項（增加）減少,20630.0,-336.0,0.0,-3101.0
與營業活動相關之資產之淨變動合計,803.0,-1651.0,-3589.0,42634.0
合約負債增加（減少）,20.0,26518.0,40890.0,-147.0
應付票據增加（減少）,-4470.0,5839.0,1664.0,24.0
應付帳款增加（減少）,-16.0,25.0,255.0,-623.0
應付帳款－關係人增加（減少）,-7917.0,-4143.0,-2367.0,-16.0
其他應付款增加（減少）,0.0,-16.0,-16.0,-11737.0
其他應付款－關係人增加（減少）,-82.0,-2449.0,-10136.0,-54.0
負債準備增加（減少）,-455.0,-236.0,-390.0,-544.0
其他流動負債增加（減少）,-12117.0,-546.0,-69.0,394.0
與營業活動相關之負債之淨變動合計,8513.0,-1526.0,-11059.0,-12703.0
與營業活動相關之資產及負債之淨變動合計,36118.0,24992.0,29831.0,29931.0
調整項目合計,308.0,-15834.0,-90761.0,-148103.0
營運產生之現金流入（流出）,303.0,13804.0,24759.0,-41107.0
收取之利息,22.0,696.0,938.0,1553.0
收取之股利,-871.0,95848.0,226653.0,226704.0
支付之利息,-183.0,-1842.0,-2670.0,-2540.0
退還（支付）之所得稅,-421.0,-3916.0,-15851.0,-17011.0
營業活動之淨現金流入（流出）,,104590.0,233829.0,167599.0
投資活動之現金流量,-679294.0,,,
取得透過其他綜合損益按公允價值衡量之金融資產,-207000.0,-698419.0,-698419.0,-698419.0
透過其他綜合損益按公允價值衡量之金融資產減資退回股款,206731.0,39349.0,39349.0,39349.0
取得按攤銷後成本衡量之金融資產,0.0,-9500.0,-9500.0,0.0
處分按攤銷後成本衡量之金融資產,0.0,-268190.0,203400.0,194500.0
取得透過損益按公允價值衡量之金融資產,-8000.0,267916.0,-310761.0,-339406.0
處分透過損益按公允價值衡量之金融資產,3090.0,0.0,310766.0,336328.0
處分待出售非流動資產,0.0,0.0,0.0,0.0
取得不動產、廠房及設備,-30.0,0.0,-153.0,-153.0
處分不動產、廠房及設備,-943.0,-18734.0,0.0,0.0
存出保證金增加,-685446.0,4210.0,-10044.0,-13734.0
存出保證金減少,,-3145.0,5056.0,9325.0
取得無形資產,0.0,4735.0,-3588.0,-4459.0
其他金融資產減少,10000.0,0.0,4668.0,4738.0
其他非流動資產增加,567275.0,1011.0,-4812.0,-317.0
退還（支付）之所得稅,-1338.0,0.0,4790.0,0.0
投資活動之淨現金流入（流出）,0.0,-680767.0,0.0,-472248.0
籌資活動之現金流量,-3290.0,,-469248.0,
短期借款減少,-4.0,-58000.0,,-58000.0
應付短期票券減少,572643.0,40000.0,-58000.0,0.0
舉借長期借款,175.0,0.0,0.0,591236.0
償還長期借款,-113049.0,582276.0,582276.0,-105005.0
存入保證金減少,301622.0,-80224.0,-174664.0,-1.0
租賃本金償還,188573.0,0.0,0.0,-13352.0
發放現金股利,188573.0,-6479.0,-9448.0,-95964.0
