會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
銷貨收入淨額,100.0,2.87,3627.0,100.0,41.0,1.29,632.0,4.83
租賃收入,3383.0,97.13,647.0,17.84,3140.0,98.71,12465.0,95.17
營業收入合計,3483.0,100.0,0.0,0.0,3181.0,100.0,13097.0,100.0
銷貨成本,7.0,0.2,0.0,0.0,0.0,0.0,377.0,2.88
租賃成本,182.0,5.23,2980.0,82.16,251.0,7.89,962.0,7.35
營業成本合計,189.0,5.43,8.0,0.22,251.0,7.89,1339.0,10.22
營業毛利（毛損）,3294.0,94.57,0.0,0.0,2930.0,92.11,11758.0,89.78
營業毛利（毛損）淨額,3294.0,94.57,2972.0,81.94,0.0,0.0,0.0,0.0
營業費用,,,,,2930.0,92.11,11758.0,89.78
管理費用,11929.0,342.49,0.0,0.0,,,,
營業費用合計,11929.0,342.49,15129.0,417.12,0.0,0.0,55983.0,427.45
營業利益（損失）,-8635.0,-247.92,0.0,0.0,18269.0,574.32,2797.0,21.36
營業外收入及支出,,,0.0,0.0,0.0,0.0,58780.0,448.81
利息收入,817.0,23.46,62.0,1.71,0.0,0.0,-47022.0,-359.03
其他收入,498.0,14.3,15191.0,418.83,2736.0,86.01,,
其他利益及損失淨額,-11586.0,-332.64,,,21005.0,660.33,4273.0,32.63
財務成本淨額,22.0,0.63,0.0,0.0,-18075.0,-568.22,5272.0,40.25
採用權益法認列之關聯企業及合資損益之份額淨額,144217.0,4140.6,-12219.0,-336.89,,,-12387.0,-94.58
營業外收入及支出合計,133924.0,3845.08,,,1117.0,35.11,74.0,0.57
稅前淨利（淨損）,125289.0,3597.16,1005.0,27.71,1785.0,56.11,-180712.0,-1379.8
所得稅費用（利益）合計,0.0,0.0,2989.0,82.41,-2264.0,-71.17,-183628.0,-1402.06
繼續營業單位本期淨利（淨損）,125289.0,3597.16,-6417.0,-176.92,18.0,0.57,-230650.0,-1761.09
本期淨利（淨損）,125289.0,3597.16,20.0,0.55,-113242.0,-3559.95,0.0,0.0
其他綜合損益(淨額),,,79100.0,2180.87,-112622.0,-3540.46,-230650.0,-1761.09
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,0.0,0.0,76657.0,2113.51,-130697.0,-4108.68,-230650.0,-1761.09
不重分類至損益之項目：,0.0,0.0,64438.0,1776.62,0.0,0.0,,
其他綜合損益（淨額）,0.0,0.0,0.0,0.0,-130697.0,-4108.68,-5298.0,-40.45
本期綜合損益總額,125289.0,3597.16,64438.0,1776.62,-130697.0,-4108.68,0.0,0.0
淨利（損）歸屬於：,,,,,,,-5298.0,-40.45
母公司業主（淨利∕損）,125289.0,3597.16,0.0,0.0,79.0,2.48,-5298.0,-40.45
非控制權益（淨利∕損）,0.0,0.0,64438.0,1776.62,0.0,0.0,-235948.0,-1801.54
母公司業主（綜合損益）,125289.0,3597.16,,,79.0,2.48,,
非控制權益（綜合損益）,0.0,0.0,-5691.0,-156.91,79.0,2.48,-230650.0,-1761.09
基本每股盈餘,,,0.0,0.0,-130618.0,-4106.19,0.0,0.0
繼續營業單位淨利（淨損）,0.9,,-5691.0,-156.91,,,-235948.0,-1801.54
基本每股盈餘,0.9,,0.0,0.0,-130697.0,-4108.68,0.0,0.0
