會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,9760948.0,8.09,11126874.0,8.95,10926220.0,7.98,9915366.0,7.9
透過損益按公允價值衡量之金融資產－流動,446409.0,0.37,302254.0,0.24,204977.0,0.15,69221.0,0.06
透過其他綜合損益按公允價值衡量之金融資產－流動,40717.0,0.03,38554.0,0.03,35350.0,0.03,34094.0,0.03
按攤銷後成本衡量之金融資產－流動,2001.0,0.0,8766.0,0.01,8870.0,0.01,11959.0,0.01
合約資產－流動,5626.0,0.0,5626.0,0.0,5626.0,0.0,5626.0,0.0
應收票據淨額,91971.0,0.08,110908.0,0.09,53203.0,0.04,44359.0,0.04
應收帳款淨額,30654262.0,25.39,29004561.0,23.34,36367265.0,26.57,32757638.0,26.11
應收帳款－關係人淨額,3956158.0,3.28,4234080.0,3.41,7426706.0,5.43,8557035.0,6.82
其他應收款淨額,2595266.0,2.15,2713060.0,2.18,3352293.0,2.45,3367870.0,2.68
其他應收款－關係人淨額,560564.0,0.46,130992.0,0.11,752086.0,0.55,20339.0,0.02
本期所得稅資產,30151.0,0.02,30081.0,0.02,51778.0,0.04,65431.0,0.05
存貨,30814385.0,25.52,33624175.0,27.06,33332688.0,24.35,26460597.0,21.09
預付款項,1333135.0,1.1,1419748.0,1.14,1392714.0,1.02,1435936.0,1.14
待出售非流動資產（或處分群組）淨額,0.0,0.0,0.0,0.0,0.0,0.0,506342.0,0.4
其他流動資產,293111.0,0.24,306723.0,0.25,1371232.0,1.0,1680999.0,1.34
流動資產合計,80584704.0,66.75,83056402.0,66.83,95281008.0,69.6,84932812.0,67.69
非流動資產,,,,,,,,
透過損益按公允價值衡量之金融資產－非流動,1454287.0,1.2,1459707.0,1.17,1452963.0,1.06,1468178.0,1.17
透過其他綜合損益按公允價值衡量之金融資產－非流動,4308205.0,3.57,4000197.0,3.22,3846181.0,2.81,3989978.0,3.18
按攤銷後成本衡量之金融資產－非流動,9360.0,0.01,19760.0,0.02,18161.0,0.01,22770.0,0.02
採用權益法之投資,4061925.0,3.36,4130811.0,3.32,4229557.0,3.09,4152127.0,3.31
不動產、廠房及設備,23799409.0,19.71,24411985.0,19.64,25953741.0,18.96,25748605.0,20.52
使用權資產,1640639.0,1.36,1637135.0,1.32,1659076.0,1.21,1532641.0,1.22
投資性不動產淨額,134911.0,0.11,136288.0,0.11,144087.0,0.11,137906.0,0.11
無形資產,792253.0,0.66,794699.0,0.64,875469.0,0.64,204866.0,0.16
遞延所得稅資產,2255519.0,1.87,2183731.0,1.76,2096815.0,1.53,2065832.0,1.65
其他非流動資產,1683880.0,1.39,2444442.0,1.97,1333845.0,0.97,1208804.0,0.96
非流動資產合計,40140388.0,33.25,41218755.0,33.17,41609895.0,30.4,40531707.0,32.31
資產總額,120725092.0,100.0,124275157.0,100.0,136890903.0,100.0,125464519.0,100.0
流動負債,,,,,,,,
短期借款,30727806.0,25.45,30223193.0,24.32,35505058.0,25.94,30279151.0,24.13
應付短期票券,2568731.0,2.13,1649067.0,1.33,1623117.0,1.19,1722578.0,1.37
透過損益按公允價值衡量之金融負債－流動,713.0,0.0,28853.0,0.02,7640.0,0.01,60885.0,0.05
合約負債－流動,118464.0,0.1,137199.0,0.11,113917.0,0.08,323525.0,0.26
應付票據,5714.0,0.0,4257.0,0.0,2948.0,0.0,2853.0,0.0
應付帳款,23196394.0,19.21,27343899.0,22.0,28475619.0,20.8,23172004.0,18.47
應付帳款－關係人,3775968.0,3.13,3851838.0,3.1,4974994.0,3.63,4539857.0,3.62
其他應付款,5559485.0,4.61,5270170.0,4.24,6588475.0,4.81,6609350.0,5.27
其他應付款項－關係人,52696.0,0.04,80697.0,0.06,82823.0,0.06,1553.0,0.0
本期所得稅負債,270649.0,0.22,314770.0,0.25,387011.0,0.28,452537.0,0.36
租賃負債－流動,168681.0,0.14,163130.0,0.13,160378.0,0.12,689653.0,0.55
其他流動負債,3777921.0,3.13,3212732.0,2.59,5050400.0,3.69,146152.0,0.12
流動負債合計,70223222.0,58.17,72279805.0,58.16,82972380.0,60.61,4804200.0,3.83
非流動負債,,,,,,,72804298.0,58.03
長期借款,19421138.0,16.09,21159506.0,17.03,21690004.0,15.84,,
遞延所得稅負債,2195320.0,1.82,2187058.0,1.76,2323193.0,1.7,21121199.0,16.83
租賃負債－非流動,357109.0,0.3,332979.0,0.27,294476.0,0.22,2161709.0,1.72
其他非流動負債,924634.0,0.77,951114.0,0.77,999445.0,0.73,252683.0,0.2
非流動負債合計,22898201.0,18.97,24630657.0,19.82,25307118.0,18.49,912697.0,0.73
負債總額,93121423.0,77.14,96910462.0,77.98,108279498.0,79.1,24448288.0,19.49
歸屬於母公司業主之權益,,,,,,,97252586.0,77.51
股本,,,,,,,,
普通股股本,14908802.0,12.35,14930462.0,12.01,14930552.0,10.91,,
股本合計,14908802.0,12.35,14930462.0,12.01,14930552.0,10.91,14944162.0,11.91
權益─具證券性質之虛擬通貨,0.0,0.0,0.0,0.0,0.0,0.0,14944162.0,11.91
資本公積,,,,,,,0.0,0.0
資本公積合計,741018.0,0.61,748196.0,0.6,788592.0,0.58,,
保留盈餘,,,,,,,791110.0,0.63
法定盈餘公積,395320.0,0.33,395320.0,0.32,395320.0,0.29,,
特別盈餘公積,965808.0,0.8,255058.0,0.21,255058.0,0.19,395320.0,0.32
未分配盈餘（或待彌補虧損）,-383400.0,-0.32,576728.0,0.46,998992.0,0.73,255058.0,0.2
保留盈餘合計,977728.0,0.81,1227106.0,0.99,1649370.0,1.2,1006914.0,0.8
其他權益,,,,,,,1657292.0,1.32
其他權益合計,729749.0,0.6,458465.0,0.37,916443.0,0.67,,
庫藏股票,-331782.0,-0.27,-331782.0,-0.27,-331782.0,-0.24,696968.0,0.56
歸屬於母公司業主之權益合計,17025515.0,14.1,17032447.0,13.71,17953175.0,13.11,-331782.0,-0.26
共同控制下前手權益,0.0,0.0,0.0,0.0,0.0,0.0,17757750.0,14.15
非控制權益,10578154.0,8.76,10332248.0,8.31,10658230.0,7.79,0.0,0.0
權益總額,27603669.0,22.86,27364695.0,22.02,28611405.0,20.9,10454183.0,8.33
負債及權益總計,120725092.0,100.0,124275157.0,100.0,136890903.0,100.0,28211933.0,22.49
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,125464519.0,100.0
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,28443000.0,,28443000.0,,28443000.0,,0.0,
