會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,146004.0,383212.0,653724.0,655837.0
本期稅前淨利（淨損）,146004.0,383212.0,653724.0,655837.0
折舊費用,19835.0,39090.0,60059.0,78378.0
攤銷費用,803.0,1598.0,2258.0,3397.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,1109.0,752.0,-70.0,999.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,9586.0,78946.0,124408.0,112420.0
利息費用,3417.0,7678.0,12546.0,16932.0
利息收入,-27648.0,-57441.0,-90238.0,-133435.0
股利收入,43.0,-833.0,-18889.0,-19553.0
採用權益法認列之關聯企業及合資損失（利益）之份額,2383.0,-11838.0,-7110.0,-4265.0
處分及報廢不動產、廠房及設備損失（利益）,-1256.0,2416.0,2429.0,2427.0
處分投資性不動產損失（利益）,8272.0,0.0,0.0,0.0
處分採用權益法之投資損失（利益）,-4138.0,-1256.0,-1256.0,-1256.0
投資性不動產公允價值調整損失(利益),-5077.0,59112.0,84137.0,0.0
收益費損項目合計,-116166.0,78868.0,19837.0,56044.0
強制透過損益按公允價值衡量之金融資產（增加）減少,551.0,-6444.0,-7121.0,-15007.0
應收票據（增加）減少,4394.0,-317159.0,-219582.0,-33816.0
應收帳款（增加）減少,-67770.0,-388.0,760.0,-13454.0
其他應收款（增加）減少,-17682.0,72157.0,-80955.0,-9284.0
存貨（增加）減少,-205888.0,-35895.0,-133977.0,-91578.0
預付款項（增加）減少,-99894.0,-208861.0,-421038.0,-2203.0
其他營業資產（增加）減少,7665.0,-68789.0,374203.0,0.0
與營業活動相關之資產之淨變動合計,129889.0,-756.0,11314.0,-165342.0
合約負債增加（減少）,-48178.0,132336.0,1209.0,427867.0
應付票據增加（減少）,2581.0,3153.0,-153821.0,10429.0
應付帳款增加（減少）,-7937.0,1971.0,4332.0,-4639.0
其他應付款增加（減少）,-213825.0,67915.0,0.0,-10540.0
負債準備增加（減少）,-205553.0,-140946.0,237237.0,1969.0
其他流動負債增加（減少）,-59549.0,-81834.0,-183801.0,16142.0
與營業活動相關之負債之淨變動合計,26909.0,301378.0,-99664.0,441228.0
與營業活動相關之資產及負債之淨變動合計,-3383.0,57315.0,554060.0,275886.0
調整項目合計,-200.0,-7615.0,89158.0,331930.0
營運產生之現金流入（流出）,-36223.0,-29236.0,18810.0,987767.0
收取之利息,,321842.0,-12417.0,129144.0
收取之股利,-206853.0,,-31437.0,19553.0
支付之利息,0.0,-172198.0,618174.0,-16738.0
退還（支付）之所得稅,-48652.0,-48652.0,,-44155.0
營業活動之淨現金流入（流出）,15962.0,15962.0,0.0,1075571.0
投資活動之現金流量,-5100.0,14995.0,341129.0,
取得按攤銷後成本衡量之金融資產,-4742.0,-24803.0,-48652.0,0.0
處分按攤銷後成本衡量之金融資產,224.0,0.0,15962.0,557244.0
取得採用權益法之投資,-1538.0,-888.0,14995.0,-48652.0
處分採用權益法之投資,-3.0,0.0,-26874.0,15962.0
對子公司之收購（扣除所取得之現金）,-250702.0,-3.0,31.0,14995.0
取得不動產、廠房及設備,,5629.0,-2121.0,-27352.0
處分不動產、廠房及設備,436058.0,-209958.0,0.0,32.0
取得無形資產,-333427.0,,0.0,-3440.0
處分投資性不動產,-9294.0,671232.0,4440.0,0.0
其他金融資產增加,-481.0,-768898.0,10061.0,0.0
其他金融資產減少,8189.0,-17544.0,308971.0,4437.0
其他非流動資產增加,101045.0,-196.0,,-29545.0
投資活動之淨現金流入（流出）,34498.0,0.0,1036526.0,483681.0
籌資活動之現金流量,-151382.0,-3659.0,-1075575.0,
舉借長期借款,1379390.0,-119065.0,-27367.0,1131561.0
償還長期借款,1228008.0,18587.0,531.0,-1444825.0
租賃本金償還,1228008.0,11406.0,-154324.0,-34798.0
