會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
銷貨收入淨額,36239.0,26.37,34009.0,23.93,33997.0,24.51,152854.0,25.86
勞務收入,98344.0,71.57,104816.0,73.76,101109.0,72.89,152854.0,25.86
其他營業收入淨額,2832.0,2.06,3282.0,2.31,3617.0,2.61,406317.0,68.74
營業收入合計,137415.0,100.0,142107.0,100.0,138723.0,100.0,31954.0,5.41
銷貨成本,27845.0,20.26,24650.0,17.35,28164.0,20.3,591125.0,100.0
勞務成本,80441.0,58.54,87674.0,61.7,83263.0,60.02,118548.0,20.05
其他營業成本,357.0,0.26,1381.0,0.97,456.0,0.33,339388.0,57.41
營業成本合計,108643.0,79.06,113705.0,80.01,111883.0,80.65,9307.0,1.57
營業毛利（毛損）,28772.0,20.94,28402.0,19.99,26840.0,19.35,467243.0,79.04
營業毛利（毛損）淨額,28772.0,20.94,28402.0,19.99,26840.0,19.35,123882.0,20.96
營業費用,,,,,,,123882.0,20.96
推銷費用,12210.0,8.89,14519.0,10.22,13089.0,9.44,,
管理費用,17583.0,12.8,18054.0,12.7,17009.0,12.26,53562.0,9.06
研究發展費用,10983.0,7.99,11870.0,8.35,9635.0,6.95,71968.0,12.17
預期信用減損損失（利益）,-12.0,-0.01,89.0,0.06,-8.0,-0.01,40052.0,6.78
營業費用合計,40764.0,29.66,44532.0,31.34,39725.0,28.64,-15.0,0.0
營業利益（損失）,-11992.0,-8.73,-16130.0,-11.35,-12885.0,-9.29,165567.0,28.01
營業外收入及支出,,,,,,,-41685.0,-7.05
利息收入,152.0,0.11,456.0,0.32,607.0,0.44,,
其他收入,5142.0,3.74,6956.0,4.89,8261.0,5.96,2165.0,0.37
其他利益及損失淨額,-74935.0,-54.53,-195511.0,-137.58,-401881.0,-289.7,30493.0,5.16
財務成本淨額,370.0,0.27,528.0,0.37,1018.0,0.73,-773897.0,-130.92
採用權益法認列之關聯企業及合資損益之份額淨額,-9723.0,-7.08,-14610.0,-10.28,-14066.0,-10.14,3295.0,0.56
營業外收入及支出合計,-79734.0,-58.02,-203237.0,-143.02,-408097.0,-294.18,-80429.0,-13.61
稅前淨利（淨損）,-91726.0,-66.75,-219367.0,-154.37,-420982.0,-303.47,-824963.0,-139.56
所得稅費用（利益）合計,4430.0,3.22,30929.0,21.76,-86.0,-0.06,-866648.0,-146.61
繼續營業單位本期淨利（淨損）,-96156.0,-69.97,-250296.0,-176.13,-420896.0,-303.41,-965.0,-0.16
本期淨利（淨損）,-96156.0,-69.97,-250296.0,-176.13,-420896.0,-303.41,-865683.0,-146.45
其他綜合損益(淨額),,,,,,,-865683.0,-146.45
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,1795.0,1.31,-8340.0,-5.87,3003.0,2.16,,
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,701.0,0.51,1736.0,1.22,-420.0,-0.3,972.0,0.16
不重分類至損益之項目：,2496.0,1.82,-6604.0,-4.65,2583.0,1.86,-9424.0,-1.59
國外營運機構財務報表換算之兌換差額,3119.0,2.27,-659.0,-0.46,1524.0,1.1,86.0,0.01
採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,521.0,0.38,-248.0,-0.17,78.0,0.06,-8366.0,-1.42
後續可能重分類至損益之項目：,3640.0,2.65,-907.0,-0.64,1602.0,1.15,3221.0,0.54
其他綜合損益（淨額）,6136.0,4.47,-7511.0,-5.29,4185.0,3.02,1934.0,0.33
本期綜合損益總額,-90020.0,-65.51,-257807.0,-181.42,-416711.0,-300.39,5155.0,0.87
淨利（損）歸屬於：,,,,,,,-3211.0,-0.54
母公司業主（淨利∕損）,-96149.0,-69.97,-250300.0,-176.13,-420895.0,-303.41,-868894.0,-146.99
非控制權益（淨利∕損）,-7.0,-0.01,4.0,0.0,-1.0,0.0,,
母公司業主（綜合損益）,-90022.0,-65.51,-257823.0,-181.43,-416729.0,-300.4,-865661.0,-146.44
非控制權益（綜合損益）,2.0,0.0,16.0,0.01,18.0,0.01,-22.0,0.0
基本每股盈餘,,,,,,,-868902.0,-146.99
繼續營業單位淨利（淨損）,-0.45,,-1.17,,-1.97,,8.0,0.0
基本每股盈餘,-0.45,,-1.17,,-1.97,,,
稀釋每股盈餘,,,,,,,-4.11,
繼續營業單位淨利（淨損）,-0.45,,-1.17,,-1.97,,-4.11,
稀釋每股盈餘,-0.45,,-1.17,,-1.97,,,
