會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
銷貨收入淨額,2920035.0,100.0,2645478.0,100.0,2518262.0,100.0,10571226.0,100.0
營業收入合計,2920035.0,100.0,2645478.0,100.0,2518262.0,100.0,10571226.0,100.0
營業成本合計,2317464.0,79.36,2008641.0,75.93,2113404.0,83.92,8622732.0,81.57
營業毛利（毛損）,602571.0,20.64,2008641.0,75.93,2113404.0,83.92,8622732.0,81.57
未實現銷貨（損）益,71.0,0.0,636837.0,24.07,404858.0,16.08,1948494.0,18.43
營業毛利（毛損）淨額,602500.0,20.63,0.0,0.0,0.0,0.0,899.0,0.01
營業費用,,,629.0,0.02,491.0,0.02,1949393.0,18.44
推銷費用,173772.0,5.95,637466.0,24.1,405349.0,16.1,,
管理費用,67970.0,2.33,,,,,590785.0,5.59
研究發展費用,17812.0,0.61,154865.0,5.85,131604.0,5.23,258191.0,2.44
預期信用減損損失（利益）,649.0,0.02,74176.0,2.8,63665.0,2.53,71723.0,0.68
營業費用合計,260203.0,8.91,17911.0,0.68,17321.0,0.69,-69.0,0.0
營業利益（損失）,342297.0,11.72,-345.0,-0.01,144.0,0.01,920630.0,8.71
營業外收入及支出,,,246607.0,9.32,212734.0,8.45,1028763.0,9.73
利息收入,274.0,0.01,390859.0,14.77,192615.0,7.65,,
其他收入,4068.0,0.14,,,,,15149.0,0.14
其他利益及損失淨額,46089.0,1.58,493.0,0.02,4788.0,0.19,58235.0,0.55
財務成本淨額,5246.0,0.18,24006.0,0.91,13611.0,0.54,235738.0,2.23
採用權益法認列之關聯企業及合資損益之份額淨額,25830.0,0.88,34730.0,1.31,110402.0,4.38,33206.0,0.31
營業外收入及支出合計,71015.0,2.43,6234.0,0.24,8136.0,0.32,37227.0,0.35
稅前淨利（淨損）,413312.0,14.15,15415.0,0.58,4307.0,0.17,313143.0,2.96
所得稅費用（利益）合計,89390.0,3.06,68410.0,2.59,124972.0,4.96,1341906.0,12.69
繼續營業單位本期淨利（淨損）,323922.0,11.09,459269.0,17.36,317587.0,12.61,260583.0,2.47
本期淨利（淨損）,323922.0,11.09,97185.0,3.67,63362.0,2.52,1081323.0,10.23
其他綜合損益(淨額),,,362084.0,13.69,254225.0,10.1,1081323.0,10.23
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,46614.0,1.6,362084.0,13.69,254225.0,10.1,,
與不重分類之項目相關之所得稅,8669.0,0.3,,,,,10759.0,0.1
不重分類至損益之項目：,37945.0,1.3,-16103.0,-0.61,-38297.0,-1.52,455412.0,4.31
國外營運機構財務報表換算之兌換差額,29891.0,1.02,-5525.0,-0.21,-1594.0,-0.06,96841.0,0.92
與可能重分類之項目相關之所得稅,5974.0,0.2,-10578.0,-0.4,-36703.0,-1.46,369330.0,3.49
後續可能重分類至損益之項目：,23917.0,0.82,-8285.0,-0.31,14446.0,0.57,22004.0,0.21
其他綜合損益（淨額）,61862.0,2.12,-1661.0,-0.06,2881.0,0.11,4388.0,0.04
本期綜合損益總額,385784.0,13.21,-6624.0,-0.25,11565.0,0.46,17616.0,0.17
淨利（損）歸屬於：,,,-17202.0,-0.65,-25138.0,-1.0,386946.0,3.66
母公司業主（淨利∕損）,326435.0,11.18,344882.0,13.04,229087.0,9.1,1468269.0,13.89
非控制權益（淨利∕損）,-2513.0,-0.09,,,,,,
母公司業主（綜合損益）,388277.0,13.3,357501.0,13.51,256018.0,10.17,1084639.0,10.26
非控制權益（綜合損益）,-2493.0,-0.09,4583.0,0.17,-1793.0,-0.07,-3316.0,-0.03
基本每股盈餘,,,340277.0,12.86,230838.0,9.17,1471195.0,13.92
繼續營業單位淨利（淨損）,0.68,,4605.0,0.17,-1751.0,-0.07,-2926.0,-0.03
基本每股盈餘,0.68,,,,,,,
稀釋每股盈餘,,,0.75,,0.54,,2.27,
繼續營業單位淨利（淨損）,0.68,,0.75,,0.54,,2.27,
稀釋每股盈餘,0.68,,,,,,,
