會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,3862523.0,4.63,4029328.0,4.85,1432468.0,1.78,2699760.0,3.34
透過損益按公允價值衡量之金融資產－流動,700006.0,0.84,80002.0,0.1,80002.0,0.1,80002.0,0.1
透過其他綜合損益按公允價值衡量之金融資產－流動,117397.0,0.14,92758.0,0.11,91889.0,0.11,95464.0,0.12
應收票據淨額,88811.0,0.11,84003.0,0.1,73824.0,0.09,128712.0,0.16
應收帳款淨額,1289814.0,1.55,1110548.0,1.34,1193066.0,1.48,903530.0,1.12
其他應收款淨額,2713628.0,3.25,1687197.0,2.03,2870102.0,3.56,1351023.0,1.67
本期所得稅資產,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0
存貨,2747265.0,3.29,3574618.0,4.31,2638837.0,3.27,3182415.0,3.94
預付款項,774713.0,0.93,482386.0,0.58,493429.0,0.61,869237.0,1.08
其他流動資產,375221.0,0.45,392862.0,0.47,535908.0,0.67,491130.0,0.61
流動資產合計,12669384.0,15.19,11533708.0,13.89,9409531.0,11.68,9801273.0,12.14
非流動資產,,,,,,,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,3413508.0,4.09,3334656.0,4.02,2978186.0,3.7,3040760.0,3.77
按攤銷後成本衡量之金融資產－非流動,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
採用權益法之投資,9855276.0,11.81,10456101.0,12.59,9931378.0,12.33,9485123.0,11.75
不動產、廠房及設備,13991318.0,16.77,13823060.0,16.65,13650118.0,16.94,13488766.0,16.7
使用權資產,1048653.0,1.26,1020873.0,1.23,993093.0,1.23,965312.0,1.2
投資性不動產淨額,41562183.0,49.81,42008349.0,50.59,42763201.0,53.07,43200335.0,53.5
無形資產,122759.0,0.15,121391.0,0.15,121731.0,0.15,121065.0,0.15
遞延所得稅資產,391711.0,0.47,312164.0,0.38,311673.0,0.39,247948.0,0.31
其他非流動資產,378404.0,0.45,418638.0,0.5,416529.0,0.52,401892.0,0.5
非流動資產合計,70763812.0,84.81,71495232.0,86.11,71165909.0,88.32,70951201.0,87.86
資產總額,83433196.0,100.0,83028940.0,100.0,80575440.0,100.0,80752474.0,100.0
流動負債,,,,,,,,
短期借款,20000.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
合約負債－流動,134235.0,0.16,111504.0,0.13,79771.0,0.1,177008.0,0.22
應付票據,404.0,0.0,7879.0,0.01,66.0,0.0,1119.0,0.0
應付帳款,2142698.0,2.57,786209.0,0.95,464041.0,0.58,889747.0,1.1
其他應付款,908034.0,1.09,3759916.0,4.53,1141471.0,1.42,854291.0,1.06
本期所得稅負債,140595.0,0.17,18499.0,0.02,334874.0,0.42,703390.0,0.87
租賃負債－流動,38496.0,0.05,38471.0,0.05,38664.0,0.05,38858.0,0.05
其他流動負債,811531.0,0.97,714735.0,0.86,618381.0,0.77,506414.0,0.63
流動負債合計,4195993.0,5.03,5437213.0,6.55,2677268.0,3.32,3170827.0,3.93
非流動負債,,,,,,,,
負債準備－非流動,455120.0,0.55,455120.0,0.55,455120.0,0.56,455120.0,0.56
遞延所得稅負債,7694703.0,9.22,7883554.0,9.49,7443672.0,9.24,6968607.0,8.63
租賃負債－非流動,143624.0,0.17,133934.0,0.16,124196.0,0.15,114408.0,0.14
其他非流動負債,17250613.0,20.68,17159716.0,20.67,17074924.0,21.19,16982516.0,21.03
非流動負債合計,25544060.0,30.62,25632324.0,30.87,25097912.0,31.15,24520651.0,30.37
負債總額,29740053.0,35.65,31069537.0,37.42,27775180.0,34.47,27691478.0,34.29
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,9800000.0,11.75,9800000.0,11.8,9800000.0,12.16,9800000.0,12.14
股本合計,9800000.0,11.75,9800000.0,11.8,9800000.0,12.16,9800000.0,12.14
權益─具證券性質之虛擬通貨,0.0,0.0,0.0,0.0,0.0,0.0,,
資本公積,,,,,,,2187988.0,2.71
資本公積－庫藏股票交易,2187988.0,2.62,2187988.0,2.64,2187988.0,2.72,44803.0,0.06
資本公積－受贈資產,44803.0,0.05,44803.0,0.05,44803.0,0.06,12365.0,0.02
資本公積－其他,12373.0,0.01,12373.0,0.01,12367.0,0.02,2245156.0,2.78
資本公積合計,2245164.0,2.69,2245164.0,2.7,2245158.0,2.79,,
保留盈餘,,,,,,,3982301.0,4.93
法定盈餘公積,3673475.0,4.4,3982301.0,4.8,3982301.0,4.94,30711185.0,38.03
特別盈餘公積,30722182.0,36.82,30722182.0,37.0,30722182.0,38.13,3610220.0,4.47
未分配盈餘（或待彌補虧損）,4750874.0,5.69,2467565.0,2.97,3096116.0,3.84,38303706.0,47.43
保留盈餘合計,39146531.0,46.92,37172048.0,44.77,37800599.0,46.91,,
其他權益,,,,,,,227768.0,0.28
國外營運機構財務報表換算之兌換差額,-377599.0,-0.45,-33365.0,-0.04,536286.0,0.67,2484366.0,3.08
透過其他綜合損益按公允價值衡量之金融資產未實現評價損益,2879047.0,3.45,2775556.0,3.34,2418217.0,3.0,2712134.0,3.36
其他權益合計,2501448.0,3.0,2742191.0,3.3,2954503.0,3.67,0.0,0.0
庫藏股票,0.0,0.0,0.0,0.0,0.0,0.0,53060996.0,65.71
歸屬於母公司業主之權益合計,53693143.0,64.35,51959403.0,62.58,52800260.0,65.53,0.0,0.0
共同控制下前手權益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非控制權益,0.0,0.0,0.0,0.0,0.0,0.0,53060996.0,65.71
權益總額,53693143.0,64.35,51959403.0,62.58,52800260.0,65.53,80752474.0,100.0
負債及權益總計,83433196.0,100.0,83028940.0,100.0,80575440.0,100.0,0.0,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,0.0,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
