會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,277924.0,539810.0,760947.0,1039876.0
本期稅前淨利（淨損）,277924.0,539810.0,760947.0,1039876.0
折舊費用,42337.0,93032.0,139708.0,185401.0
攤銷費用,293.0,835.0,1126.0,1416.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-6262.0,-11625.0,-10508.0,75.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-2948.0,-5478.0,-10236.0,-13618.0
利息費用,625.0,1285.0,1770.0,2989.0
利息收入,-1554.0,-3924.0,-5607.0,-8088.0
股利收入,106.0,-534.0,-19335.0,-19650.0
採用權益法認列之關聯企業及合資損失（利益）之份額,5.0,-39438.0,-90.0,-806.0
處分及報廢不動產、廠房及設備損失（利益）,0.0,0.0,-39466.0,-39465.0
非金融資產減損損失,-11664.0,-13216.0,0.0,0.0
非金融資產減損迴轉利益,472.0,-7820.0,-19192.0,-28668.0
其他項目,21410.0,13117.0,-12412.0,-14191.0
收益費損項目合計,-7359.0,3589.0,25758.0,65395.0
合約資產（增加）減少,31908.0,202657.0,-1318.0,20424.0
應收票據（增加）減少,-9803.0,10464.0,122976.0,-106440.0
應收票據－關係人（增加）減少,-49717.0,82686.0,11636.0,-14611.0
應收帳款（增加）減少,1031.0,17023.0,-22897.0,-226916.0
應收帳款－關係人（增加）減少,9297.0,7009.0,101453.0,75225.0
其他應收款（增加）減少,-149874.0,-489377.0,8780.0,13376.0
存貨（增加）減少,-19266.0,7481.0,-501297.0,-41290.0
其他流動資產（增加）減少,-193783.0,-158468.0,-10620.0,13248.0
與營業活動相關之資產之淨變動合計,-1328.0,-4351.0,-291287.0,-266984.0
合約負債增加（減少）,-8008.0,7034.0,-3433.0,31898.0
應付票據增加（減少）,-97729.0,-34193.0,-4079.0,-7435.0
應付帳款增加（減少）,-66370.0,-65048.0,-186925.0,-98073.0
其他應付款增加（減少）,-53.0,-53.0,-28702.0,10853.0
負債準備增加（減少）,26.0,-1152.0,-53.0,-53.0
其他流動負債增加（減少）,-11247.0,-12817.0,-1345.0,-1274.0
淨確定福利負債增加(減少),-29045.0,7200.0,-14356.0,-15826.0
其他營業負債增加（減少）,-213754.0,-103380.0,-3565.0,-2353.0
與營業活動相關之負債之淨變動合計,-407537.0,-261848.0,-242458.0,-82263.0
與營業活動相關之資產及負債之淨變動合計,-386127.0,-248731.0,-533745.0,-349247.0
調整項目合計,-108203.0,291079.0,-507987.0,-283852.0
營運產生之現金流入（流出）,1300.0,3779.0,252960.0,756024.0
收取之利息,-583.0,-1786.0,5661.0,7856.0
收取之股利,-6131.0,-92548.0,19335.0,19650.0
支付之利息,-113617.0,200524.0,-2129.0,-3029.0
退還（支付）之所得稅,,,-183603.0,-199864.0
營業活動之淨現金流入（流出）,-660479.0,0.0,92224.0,580637.0
投資活動之現金流量,663774.0,-1080037.0,,
取得透過其他綜合損益按公允價值衡量之金融資產,-34901.0,941266.0,0.0,0.0
取得透過損益按公允價值衡量之金融資產,355.0,-102740.0,-1327686.0,-1832783.0
處分透過損益按公允價值衡量之金融資產,2277.0,50347.0,1606311.0,2113509.0
取得不動產、廠房及設備,-3225.0,342.0,-160459.0,-223728.0
處分不動產、廠房及設備,-32199.0,-1500.0,51245.0,51240.0
存出保證金增加,,0.0,-93.0,0.0
存出保證金減少,0.0,81681.0,0.0,96.0
取得無形資產,-6546.0,-110641.0,-1724.0,-1724.0
其他金融資產減少,953.0,,174744.0,174858.0
投資活動之淨現金流入（流出）,0.0,0.0,342338.0,281468.0
籌資活動之現金流量,-100000.0,-6751.0,,
短期借款增加,-4366.0,859.0,0.0,0.0
短期借款減少,0.0,0.0,-10533.0,-9455.0
存入保證金增加,-109959.0,-200000.0,942.0,839.0
其他應付款－關係人增加,63796.0,-8608.0,0.0,0.0
其他應付款－關係人減少,-191979.0,0.0,100000.0,-100000.0
租賃本金償還,1264134.0,-214500.0,-11733.0,-15045.0
其他非流動負債減少,1072155.0,58711.0,0.0,0.0
發放現金股利,1072155.0,-65906.0,-567000.0,-567000.0
