會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,18533254.0,23.41,20077987.0,23.98,19493405.0,22.91,19764278.0,23.56
按攤銷後成本衡量之金融資產－流動,45060.0,0.06,44390.0,0.05,44730.0,0.05,44080.0,0.05
應收帳款淨額,5603864.0,7.08,5544390.0,6.62,5155294.0,6.06,3984197.0,4.75
應收帳款－關係人淨額,937151.0,1.18,850715.0,1.02,2012848.0,2.37,764715.0,0.91
其他應收款淨額,366634.0,0.46,290639.0,0.35,225656.0,0.27,260128.0,0.31
存貨,13573298.0,17.14,15241246.0,18.2,15385654.0,18.08,14679705.0,17.5
其他流動資產,647114.0,0.82,586726.0,0.7,422752.0,0.5,212920.0,0.25
流動資產合計,39706375.0,50.15,42636093.0,50.93,42740339.0,50.24,39710023.0,47.33
非流動資產,,,,,,,,
透過損益按公允價值衡量之金融資產－非流動,159092.0,0.2,165178.0,0.2,176460.0,0.21,173076.0,0.21
透過其他綜合損益按公允價值衡量之金融資產－非流動,3274228.0,4.14,2695832.0,3.22,2883538.0,3.39,3150991.0,3.76
按攤銷後成本衡量之金融資產－非流動,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
不動產、廠房及設備,33150697.0,41.87,35277668.0,42.14,36426329.0,42.82,37982047.0,45.27
使用權資產,824322.0,1.04,825628.0,0.99,809069.0,0.95,790618.0,0.94
無形資產,86490.0,0.11,130856.0,0.16,122230.0,0.14,125929.0,0.15
遞延所得稅資產,766851.0,0.97,785657.0,0.94,813478.0,0.96,856877.0,1.02
其他非流動資產,1205807.0,1.52,1204773.0,1.44,1102792.0,1.3,1103146.0,1.31
非流動資產合計,39467487.0,49.85,41085592.0,49.07,42333896.0,49.76,44182684.0,52.67
資產總額,79173862.0,100.0,83721685.0,100.0,85074235.0,100.0,83892707.0,100.0
流動負債,,,,,,,,
合約負債－流動,46713.0,0.06,94658.0,0.11,48832.0,0.06,30886.0,0.04
應付帳款,2836688.0,3.58,2915471.0,3.48,2857376.0,3.36,2585539.0,3.08
應付帳款－關係人,4073952.0,5.15,4755898.0,5.68,4622304.0,5.43,2742156.0,3.27
其他應付款,5827772.0,7.36,10922629.0,13.05,5826306.0,6.85,5711683.0,6.81
其他應付款項－關係人,5380.0,0.01,120.0,0.0,5440.0,0.01,10.0,0.0
本期所得稅負債,1116777.0,1.41,874641.0,1.04,1225489.0,1.44,1390986.0,1.66
負債準備－流動,28141.0,0.04,31261.0,0.04,30563.0,0.04,26283.0,0.03
租賃負債－流動,95963.0,0.12,95499.0,0.11,94000.0,0.11,97154.0,0.12
其他流動負債,3769940.0,4.76,3635606.0,4.34,3728330.0,4.38,4068533.0,4.85
流動負債合計,17801326.0,22.48,23325783.0,27.86,18438640.0,21.67,16653230.0,19.85
非流動負債,,,,,,,,
長期借款,8807923.0,11.12,8678184.0,10.37,12009307.0,14.12,11970314.0,14.27
遞延所得稅負債,796234.0,1.01,869366.0,1.04,886950.0,1.04,755946.0,0.9
租賃負債－非流動,736769.0,0.93,738930.0,0.88,724463.0,0.85,704168.0,0.84
其他非流動負債,1238390.0,1.56,1232609.0,1.47,1302230.0,1.53,1198690.0,1.43
非流動負債合計,11579316.0,14.63,11519089.0,13.76,14922950.0,17.54,14629118.0,17.44
負債總額,29380642.0,37.11,34844872.0,41.62,33361590.0,39.21,31282348.0,37.29
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,18559768.0,23.44,18559258.0,22.17,18558843.0,21.81,18558543.0,22.12
待註銷股本,-510.0,0.0,-415.0,0.0,-300.0,0.0,-264.0,0.0
股本合計,18559258.0,23.44,18558843.0,22.17,18558543.0,21.81,18558279.0,22.12
資本公積,,,,,,,,
資本公積合計,399720.0,0.5,400135.0,0.48,402749.0,0.47,402710.0,0.48
保留盈餘,,,,,,,,
法定盈餘公積,2271266.0,2.87,3426358.0,4.09,3426358.0,4.03,3426358.0,4.08
特別盈餘公積,291361.0,0.37,76492.0,0.09,76492.0,0.09,76492.0,0.09
未分配盈餘（或待彌補虧損）,27461543.0,34.69,26115972.0,31.19,28616150.0,33.64,29304449.0,34.93
保留盈餘合計,30024170.0,37.92,29618822.0,35.38,32119000.0,37.75,32807299.0,39.11
其他權益,,,,,,,,
其他權益合計,968518.0,1.22,457439.0,0.55,790880.0,0.93,1000472.0,1.19
庫藏股票,-159061.0,-0.2,-159061.0,-0.19,-159061.0,-0.19,-159061.0,-0.19
歸屬於母公司業主之權益合計,49792605.0,62.89,48876178.0,58.38,51712111.0,60.78,52609699.0,62.71
非控制權益,615.0,0.0,635.0,0.0,534.0,0.0,660.0,0.0
權益總額,49793220.0,62.89,48876813.0,58.38,51712645.0,60.79,52610359.0,62.71
負債及權益總計,79173862.0,100.0,83721685.0,100.0,85074235.0,100.0,83892707.0,100.0
待註銷股本股數（單位：股）,51000.0,,41463.0,,29979.0,,26400.0,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,1956619.0,,1956619.0,,1956619.0,,1956619.0,
