會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,42795.0,100.0,60089.0,100.0,34900.0,100.0,182202.0,100.0
營業成本合計,32051.0,74.89,57614.0,95.88,38590.0,110.57,177562.0,97.45
營業毛利（毛損）,10744.0,25.11,2475.0,4.12,-3690.0,-10.57,4640.0,2.55
營業毛利（毛損）淨額,10744.0,25.11,2475.0,4.12,-3690.0,-10.57,4640.0,2.55
營業費用,,,,,,,,
推銷費用,17516.0,40.93,25014.0,41.63,17269.0,49.48,74211.0,40.73
管理費用,25143.0,58.75,45906.0,76.4,30048.0,86.1,128061.0,70.29
研究發展費用,58684.0,137.13,80131.0,133.35,62239.0,178.34,266178.0,146.09
預期信用減損損失（利益）,10.0,0.02,11.0,0.02,20.0,0.06,30.0,0.02
營業費用合計,101353.0,236.83,151062.0,251.4,109576.0,313.97,468480.0,257.12
營業利益（損失）,-90609.0,-211.73,-148587.0,-247.28,-113266.0,-324.54,-463840.0,-254.57
營業外收入及支出,,,,,,,,
利息收入,523.0,1.22,754.0,1.25,1354.0,3.88,4645.0,2.55
其他收入,107689.0,251.64,864266.0,1438.31,10975.0,31.45,994464.0,545.8
其他利益及損失淨額,1785.0,4.17,559.0,0.93,3115.0,8.93,2576.0,1.41
財務成本淨額,65.0,0.15,46.0,0.08,28.0,0.08,191.0,0.1
採用權益法認列之關聯企業及合資損益之份額淨額,-7141.0,-16.69,-4245.0,-7.06,-2471.0,-7.08,-18970.0,-10.41
營業外收入及支出合計,102791.0,240.19,861288.0,1433.35,12945.0,37.09,982524.0,539.25
稅前淨利（淨損）,12182.0,28.47,712701.0,1186.08,-100321.0,-287.45,518684.0,284.68
所得稅費用（利益）合計,4.0,0.01,54777.0,91.16,0.0,0.0,54781.0,30.07
繼續營業單位本期淨利（淨損）,12178.0,28.46,657924.0,1094.92,-100321.0,-287.45,463903.0,254.61
本期淨利（淨損）,12178.0,28.46,657924.0,1094.92,-100321.0,-287.45,463903.0,254.61
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-3623714.0,-8467.61,-4779868.0,-7954.65,-1091827.0,-3128.44,14866.0,8.16
不重分類至損益之項目：,-3623714.0,-8467.61,-4779868.0,-7954.65,-1091827.0,-3128.44,-7832837.0,-4298.99
國外營運機構財務報表換算之兌換差額,1232.0,2.88,-686.0,-1.14,343.0,0.98,-7817971.0,-4290.83
後續可能重分類至損益之項目：,1232.0,2.88,-686.0,-1.14,343.0,0.98,203.0,0.11
其他綜合損益（淨額）,-3622482.0,-8464.73,-4780554.0,-7955.79,-1091484.0,-3127.46,203.0,0.11
本期綜合損益總額,-3610304.0,-8436.28,-4122630.0,-6860.87,-1191805.0,-3414.91,-7817768.0,-4290.71
淨利（損）歸屬於：,,,,,,,-7353865.0,-4036.11
母公司業主（淨利∕損）,17320.0,40.47,662553.0,1102.62,-92966.0,-266.38,,
非控制權益（淨利∕損）,-5142.0,-12.02,-4629.0,-7.7,-7355.0,-21.07,483657.0,265.45
母公司業主（綜合損益）,-3605162.0,-8424.26,-4118001.0,-6853.17,-1184450.0,-3393.84,-19754.0,-10.84
非控制權益（綜合損益）,-5142.0,-12.02,-4629.0,-7.7,-7355.0,-21.07,-7334111.0,-4025.26
基本每股盈餘,,,,,,,-19754.0,-10.84
基本每股盈餘,0.03,,0.97,,-0.12,,,
稀釋每股盈餘,,,,,,,0.65,
稀釋每股盈餘,0.03,,0.97,,-0.12,,,
