會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,631419.0,827725.0,942142.0,882350.0
本期稅前淨利（淨損）,631419.0,827725.0,942142.0,882350.0
折舊費用,74400.0,156057.0,248207.0,344059.0
攤銷費用,36669.0,74238.0,107474.0,139283.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,0.0,0.0,0.0,0.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,157507.0,359563.0,289354.0,262869.0
利息費用,3287.0,6692.0,10964.0,17139.0
利息收入,-7239.0,-15410.0,-24485.0,-38307.0
股利收入,-116.0,-1828.0,-37040.0,-117124.0
股份基礎給付酬勞成本,35313.0,70626.0,98378.0,109586.0
採用權益法認列之關聯企業及合資損失（利益）之份額,-1180.0,-8231.0,-14080.0,15299.0
處分及報廢不動產、廠房及設備損失（利益）,-7.0,-31.0,-27.0,-16.0
處分無形資產損失（利益）,-449000.0,-71274.0,-71274.0,4220.0
處分其他資產損失（利益）,4680.0,-449000.0,-449000.0,-71274.0
處分採用權益法之投資損失（利益）,0.0,4680.0,3903.0,-449000.0
金融資產減損損失,-314.0,0.0,4680.0,6826.0
非金融資產減損損失,25438.0,-628.0,-942.0,460.0
未實現銷貨利益（損失）,-120562.0,-18386.0,590.0,-1256.0
未實現外幣兌換損失（利益）,-42864.0,0.0,0.0,4039.0
其他項目,-38187.0,107068.0,166702.0,0.0
收益費損項目合計,-255670.0,-13300.0,227527.0,226803.0
應收帳款（增加）減少,22480.0,-16264.0,-64574.0,385513.0
其他應收款（增加）減少,-314241.0,-505297.0,-794282.0,-41613.0
存貨（增加）減少,668.0,-11894.0,0.0,-779094.0
其他流動資產（增加）減少,-232938.0,-546755.0,14827.0,3623.0
其他營業資產（增加）減少,-485.0,21244.0,-616502.0,-27440.0
與營業活動相關之資產之淨變動合計,-417669.0,-275667.0,12844.0,-459011.0
合約負債增加（減少）,73.0,-959.0,-414451.0,23197.0
應付帳款增加（減少）,-650351.0,-170054.0,-1440.0,-499962.0
預收款項增加（減少）,-964592.0,-2697.0,-330702.0,-1916.0
其他流動負債增加（減少）,-1085154.0,-428133.0,-2618.0,-321727.0
淨確定福利負債增加(減少),-453735.0,-974888.0,-736367.0,24939.0
與營業活動相關之負債之淨變動合計,5889.0,-867820.0,-1352869.0,-775469.0
與營業活動相關之資產及負債之淨變動合計,952.0,-40095.0,-1186167.0,-1234480.0
調整項目合計,-3548.0,12634.0,-244025.0,-1007677.0
營運產生之現金流入（流出）,-2744.0,2664.0,24721.0,-125327.0
收取之利息,-453186.0,-6889.0,129335.0,36777.0
收取之股利,,-185686.0,-10593.0,134419.0
支付之利息,-105752.0,-217372.0,-341684.0,-19915.0
退還（支付）之所得稅,-694567.0,,-442246.0,-341684.0
營業活動之淨現金流入（流出）,336684.0,-105752.0,,-315730.0
投資活動之現金流量,0.0,6061.0,-127574.0,
取得透過其他綜合損益按公允價值衡量之金融資產,535987.0,-1181426.0,44258.0,-127510.0
處分透過其他綜合損益按公允價值衡量之金融資產,0.0,758827.0,-1318550.0,44259.0
取得透過損益按公允價值衡量之金融資產,-71592.0,0.0,2328799.0,-1475697.0
處分透過損益按公允價值衡量之金融資產,138.0,535987.0,535987.0,2414358.0
取得採用權益法之投資,-3329.0,83827.0,83827.0,0.0
處分採用權益法之投資,0.0,-137175.0,-268356.0,535987.0
處分子公司,-38656.0,278.0,346.0,83827.0
取得不動產、廠房及設備,54057.0,-7192.0,-1666.0,-267590.0
處分不動產、廠房及設備,12970.0,0.0,704.0,352.0
存出保證金增加,,-59659.0,-68194.0,-3228.0
存出保證金減少,-67691.0,47874.0,74207.0,761.0
取得無形資產,0.0,-58350.0,1283788.0,-62958.0
其他非流動資產增加,26062.0,,,39812.0
投資活動之淨現金流入（流出）,-23273.0,-6171.0,1802.0,1182373.0
籌資活動之現金流量,-3382.0,0.0,0.0,
短期借款減少,-3136.0,28723.0,500000.0,-101773.0
舉借長期借款,-71420.0,-20633.0,-230000.0,1000000.0
償還長期借款,12355.0,-6530.0,23999.0,-430000.0
存入保證金增加,-499281.0,28.0,-27698.0,32925.0
存入保證金減少,4835568.0,-4583.0,-7706.0,-42046.0
租賃本金償還,4336287.0,21545.0,1761.0,-10205.0
其他非流動負債增加,4336287.0,-258760.0,-1734868.0,0.0
其他非流動負債減少,0.0,4835568.0,0.0,-10039.0
