民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,8596098.0,14.52,7485579.0,12.81,9907087.0,16.3,,
透過損益按公允價值衡量之金融資產－流動,5563314.0,9.4,3172849.0,5.43,6369230.0,10.48,,
備供出售金融資產－流動淨額,284613.0,0.48,296450.0,0.51,339333.0,0.56,,
無活絡市場之債務工具投資－流動淨額,2240857.0,3.78,3672911.0,6.29,2578963.0,4.24,,
應收票據淨額,1588359.0,2.68,1904912.0,3.26,2214981.0,3.64,,
應收帳款淨額,5643919.0,9.53,6133312.0,10.5,5458766.0,8.98,,
應收帳款－關係人淨額,93583.0,0.16,64304.0,0.11,120036.0,0.2,,
其他應收款淨額,292791.0,0.49,408691.0,0.7,294490.0,0.48,,
存貨,7322153.0,12.37,8640157.0,14.79,9434570.0,15.52,,
預付款項,586039.0,0.99,633740.0,1.08,892884.0,1.47,,
其他流動資產,517043.0,0.87,68368.0,0.12,159101.0,0.26,,
流動資產合計,32728769.0,55.27,32481273.0,55.6,37769441.0,62.15,,
非流動資產,,,,,,,,
備供出售金融資產－非流動淨額,2400223.0,4.05,2404119.0,4.12,2316109.0,3.81,,
以成本衡量之金融資產－非流動淨額,812276.0,1.37,861993.0,1.48,330799.0,0.54,,
無活絡市場之債務工具投資－非流動淨額,16772.0,0.03,12600.0,0.02,7600.0,0.01,,
採用權益法之投資淨額,166623.0,0.28,167483.0,0.29,0.0,0.0,,
不動產、廠房及設備,20865950.0,35.24,20241266.0,34.65,18011347.0,29.64,,
投資性不動產淨額,196284.0,0.33,198112.0,0.34,218065.0,0.36,,
無形資產,484911.0,0.82,497354.0,0.85,477279.0,0.79,,
生物資產－非流動,16897.0,0.03,17151.0,0.03,10271.0,0.02,,
遞延所得稅資產,805146.0,1.36,808703.0,1.38,768755.0,1.26,,
其他非流動資產,718573.0,1.21,724957.0,1.24,864530.0,1.42,,
非流動資產合計,26483655.0,44.73,25933738.0,44.4,23004755.0,37.85,,
資產總計,59212424.0,100.0,58415011.0,100.0,60774196.0,100.0,,
流動負債,,,,,,,,
短期借款,5754990.0,9.72,6834996.0,11.7,8149918.0,13.41,,
應付短期票券,2918121.0,4.93,2739843.0,4.69,2832525.0,4.66,,
透過損益按公允價值衡量之金融負債－流動,11.0,0.0,421.0,0.0,103.0,0.0,,
應付票據,28951.0,0.05,47669.0,0.08,76433.0,0.13,,
應付帳款,3121800.0,5.27,3252914.0,5.57,3778504.0,6.22,,
其他應付款,1625180.0,2.74,1771652.0,3.03,1491204.0,2.45,,
本期所得稅負債,240741.0,0.41,178004.0,0.3,370320.0,0.61,,
負債準備－流動,19576.0,0.03,25596.0,0.04,22251.0,0.04,,
其他流動負債,1736326.0,2.93,1506341.0,2.58,1781720.0,2.93,,
流動負債合計,15445696.0,26.09,16357436.0,28.0,18502978.0,30.45,,
非流動負債,,,,,,,,
應付公司債,2495881.0,4.22,999024.0,1.71,1498001.0,2.46,,
長期借款,5116860.0,8.64,5073799.0,8.69,4386530.0,7.22,,
遞延所得稅負債,1443825.0,2.44,1477093.0,2.53,1377673.0,2.27,,
其他非流動負債,3382490.0,5.71,3409794.0,5.84,3392124.0,5.58,,
非流動負債合計,12439056.0,21.01,10959710.0,18.76,10654328.0,17.53,,
負債總計,27884752.0,47.09,27317146.0,46.76,29157306.0,47.98,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,11426024.0,19.3,11426024.0,19.56,11426024.0,18.8,,
股本合計,11426024.0,19.3,11426024.0,19.56,11426024.0,18.8,,
資本公積,,,,,,,,
資本公積合計,183043.0,0.31,183205.0,0.31,162584.0,0.27,,
保留盈餘,,,,,,,,
法定盈餘公積,2543626.0,4.3,2543626.0,4.35,2461910.0,4.05,,
特別盈餘公積,375127.0,0.63,375127.0,0.64,375127.0,0.62,,
未分配盈餘（或待彌補虧損）,2840236.0,4.8,2652484.0,4.54,2936517.0,4.83,,
保留盈餘合計,5758989.0,9.73,5571237.0,9.54,5773554.0,9.5,,
其他權益,,,,,,,,
其他權益－其他,474662.0,0.8,616118.0,1.05,378882.0,0.62,,
其他權益合計,474662.0,0.8,616118.0,1.05,378882.0,0.62,,
庫藏股票,-475606.0,-0.8,-475606.0,-0.81,-439705.0,-0.72,,
歸屬於母公司業主之權益合計,17367112.0,29.33,17320978.0,29.65,17301339.0,28.47,,
非控制權益,13960560.0,23.58,13776887.0,23.58,14315551.0,23.56,,
權益總計,31327672.0,52.91,31097865.0,53.24,31616890.0,52.02,,
負債及權益總計,59212424.0,100.0,58415011.0,100.0,60774196.0,100.0,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,111943075.0,,111943075.0,,104438075.0,,,
