民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,205086.0,194301.0,,,,
停業單位稅前淨利（淨損）,-6614.0,-7838.0,,,,
本期稅前淨利（淨損）,198472.0,186463.0,,,,
折舊費用,93678.0,87329.0,,,,
攤銷費用,2294.0,1406.0,,,,
呆帳費用提列（轉列收入）數,118.0,124.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-17368.0,9864.0,,,,
利息費用,7450.0,7094.0,,,,
利息收入,-1973.0,-3035.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,3179.0,531.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,-331.0,779.0,,,,
非金融資產減損迴轉利益,-119831.0,12886.0,,,,
其他項目,6203.0,5981.0,,,,
收益費損項目合計,-26581.0,122959.0,,,,
持有供交易之金融資產（增加）減少,-541729.0,-573696.0,,,,
應收票據（增加）減少,38205.0,-8727.0,,,,
應收帳款（增加）減少,-153523.0,-20506.0,,,,
應收帳款－關係人（增加）減少,-28842.0,27105.0,,,,
其他應收款（增加）減少,-10049.0,-15999.0,,,,
其他應收款－關係人（增加）減少,-7145.0,244.0,,,,
存貨（增加）減少,605998.0,-84845.0,,,,
預付款項（增加）減少,44171.0,-97652.0,,,,
其他流動資產（增加）減少,754.0,29801.0,,,,
與營業活動相關之資產之淨變動合計,-52160.0,-744275.0,,,,
應付票據增加（減少）,197.0,56.0,,,,
應付帳款增加（減少）,-63436.0,-111453.0,,,,
應付帳款－關係人增加（減少）,13637.0,98626.0,,,,
其他應付款增加（減少）,40130.0,-118283.0,,,,
其他應付款－關係人增加（減少）,2754.0,-4476.0,,,,
負債準備增加（減少）,-5103.0,-9932.0,,,,
其他流動負債增加（減少）,72982.0,8974.0,,,,
淨確定福利負債增加(減少),-13506.0,-15940.0,,,,
其他營業負債增加（減少）,0.0,1870.0,,,,
與營業活動相關之負債之淨變動合計,47655.0,-150558.0,,,,
與營業活動相關之資產及負債之淨變動合計,-4505.0,-894833.0,,,,
調整項目合計,-31086.0,-771874.0,,,,
營運產生之現金流入（流出）,167386.0,-585411.0,,,,
收取之利息,3143.0,3429.0,,,,
支付之利息,-7244.0,-7024.0,,,,
退還（支付）之所得稅,-307.0,-162.0,,,,
營業活動之淨現金流入（流出）,162978.0,-589168.0,,,,
投資活動之現金流量,,,,,,
取得無活絡市場之債務工具投資,-56030.0,-170308.0,,,,
處分無活絡市場之債務工具投資,69807.0,0.0,,,,
取得不動產、廠房及設備,-51439.0,-82404.0,,,,
處分不動產、廠房及設備,1419.0,667.0,,,,
存出保證金減少,0.0,1050.0,,,,
其他非流動資產減少,0.0,0.0,,,,
其他投資活動,-238.0,0.0,,,,
投資活動之淨現金流入（流出）,-36481.0,-250995.0,,,,
籌資活動之現金流量,,,,,,
短期借款減少,-89000.0,200000.0,,,,
應付短期票券增加,177.0,399899.0,,,,
舉借長期借款,269000.0,0.0,,,,
償還長期借款,-124000.0,-62000.0,,,,
存入保證金增加,210.0,0.0,,,,
存入保證金減少,-2105.0,-3009.0,,,,
其他非流動負債增加,225.0,-7.0,,,,
發放現金股利,-5.0,0.0,,,,
籌資活動之淨現金流入（流出）,54502.0,534883.0,,,,
匯率變動對現金及約當現金之影響,-3178.0,5965.0,,,,
本期現金及約當現金增加（減少）數,177821.0,-299315.0,,,,
期初現金及約當現金餘額,760429.0,928585.0,,,,
期末現金及約當現金餘額,938250.0,629270.0,,,,
資產負債表帳列之現金及約當現金,938250.0,629270.0,,,,
