民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,2268323.0,100.0,5258276.0,100.0,
營業成本合計,2142872.0,94.47,5164134.0,98.21,
營業毛利（毛損）,125451.0,5.53,94142.0,1.79,
營業毛利（毛損）淨額,125451.0,5.53,94142.0,1.79,
營業費用,,,,,
推銷費用,5632.0,0.25,15926.0,0.3,
管理費用,57575.0,2.54,68959.0,1.31,
研究發展費用,2690.0,0.12,2896.0,0.06,
營業費用合計,65897.0,2.91,87781.0,1.67,
營業利益（損失）,59554.0,2.63,6361.0,0.12,
營業外收入及支出,,,,,
其他收入,6537.0,0.29,22451.0,0.43,
其他利益及損失淨額,-2218.0,-0.1,-3864.0,-0.07,
財務成本淨額,8533.0,0.38,10013.0,0.19,
採用權益法認列之關聯企業及合資損益之份額淨額,-11587.0,-0.51,853.0,0.02,
營業外收入及支出合計,-15801.0,-0.7,9427.0,0.18,
稅前淨利（淨損）,43753.0,1.93,15788.0,0.3,
所得稅費用（利益）合計,14256.0,0.63,2791.0,0.05,
繼續營業單位本期淨利（淨損）,29497.0,1.3,12997.0,0.25,
停業單位損益,,,,,
停業單位損益合計,0.0,0.0,0.0,0.0,
本期淨利（淨損）,29497.0,1.3,12997.0,0.25,
不重分類至損益之項目：,,,,,
確定福利計畫之再衡量數,0.0,0.0,0.0,0.0,
重估增值,0.0,0.0,0.0,0.0,
指定按公允價值衡量之金融負債信用風險變動影響數,0.0,0.0,0.0,0.0,
與待出售非流動資產直接相關之權益,0.0,0.0,0.0,0.0,
權益工具投資之利益(損失),0.0,0.0,0.0,0.0,
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,0.0,0.0,0.0,0.0,
不重分類至損益之其他項目,0.0,0.0,0.0,0.0,
與不重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,583.0,0.03,4636.0,0.09,
備供出售金融資產未實現評價損益,10708.0,0.47,3701.0,0.07,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,76076.0,3.35,-96515.0,-1.84,
其他綜合損益（淨額）,87367.0,3.85,-88178.0,-1.68,
本期綜合損益總額,116864.0,5.15,-75181.0,-1.43,
母公司業主（淨利／損）,27115.0,1.2,12550.0,0.24,
非控制權益（淨利／損）,2382.0,0.11,447.0,0.01,
母公司業主（綜合損益）,116043.0,5.12,-77153.0,-1.47,
非控制權益（綜合損益）,821.0,0.04,1972.0,0.04,
基本每股盈餘,,,,,
基本每股盈餘,0.05,,0.02,,
