民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,7398603.0,100.0,9122934.0,100.0,
營業成本合計,7228836.0,97.71,9004890.0,98.71,
營業毛利（毛損）,169767.0,2.29,118044.0,1.29,
未實現銷貨（損）益,546.0,0.01,0.0,0.0,
已實現銷貨（損）益,931.0,0.01,474.0,0.01,
營業毛利（毛損）淨額,170152.0,2.3,118518.0,1.3,
營業費用,,,,,
推銷費用,154545.0,2.09,141513.0,1.55,
管理費用,116678.0,1.58,98599.0,1.08,
研究發展費用,38684.0,0.52,38712.0,0.42,
營業費用合計,309907.0,4.19,278824.0,3.06,
營業利益（損失）,-139755.0,-1.89,-160306.0,-1.76,
營業外收入及支出,,,,,
其他收入,93790.0,1.27,28834.0,0.32,
其他利益及損失淨額,81410.0,1.1,-190658.0,-2.09,
財務成本淨額,51297.0,0.69,17133.0,0.19,
採用權益法認列之關聯企業及合資損益之份額淨額,208802.0,2.82,145338.0,1.59,
營業外收入及支出合計,332705.0,4.5,-33619.0,-0.37,
稅前淨利（淨損）,192950.0,2.61,-193925.0,-2.13,
所得稅費用（利益）合計,10000.0,0.14,16892.0,0.19,
繼續營業單位本期淨利（淨損）,182950.0,2.47,-210817.0,-2.31,
本期淨利（淨損）,182950.0,2.47,-210817.0,-2.31,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-33736.0,-0.46,19407.0,0.21,
備供出售金融資產未實現評價損益,-1948.0,-0.03,-65255.0,-0.72,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-98.0,0.0,206.0,0.0,
其他綜合損益（淨額）,-35782.0,-0.48,-45642.0,-0.5,
本期綜合損益總額,147168.0,1.99,-256459.0,-2.81,
母公司業主（淨利／損）,183688.0,2.48,-209832.0,-2.3,
非控制權益（淨利／損）,-738.0,-0.01,-985.0,-0.01,
母公司業主（綜合損益）,147334.0,1.99,-255332.0,-2.8,
非控制權益（綜合損益）,-166.0,0.0,-1127.0,-0.01,
基本每股盈餘,,,,,
基本每股盈餘,0.08,,-0.09,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.03,,-0.09,,
