會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,94267.0,225113.0,767173.0,786745.0
本期稅前淨利（淨損）,94267.0,225113.0,767173.0,786745.0
折舊費用,15353.0,31481.0,48013.0,66710.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-4098.0,-298.0,1117.0,1181.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-1931.0,-2096.0,-1703.0,3974.0
利息費用,673.0,1319.0,1777.0,2342.0
利息收入,-3531.0,-8164.0,-16082.0,-33568.0
股利收入,-18660.0,-40779.0,-377484.0,-382489.0
採用權益法認列之關聯企業及合資損失（利益）之份額,1914.0,-10165.0,-25941.0,-23146.0
處分及報廢不動產、廠房及設備損失（利益）,-45.0,-136.0,-136.0,-705.0
不動產、廠房及設備轉列費用數,-2891.0,-4132.0,-18847.0,3194.0
未實現外幣兌換損失（利益）,270.0,270.0,270.0,2281.0
其他項目,-12946.0,-32700.0,-389016.0,270.0
收益費損項目合計,45472.0,1525.0,33162.0,-359956.0
應收票據（增加）減少,48951.0,6450.0,-59717.0,12925.0
應收帳款（增加）減少,-4106.0,-17766.0,-4749.0,-26952.0
應收帳款－關係人（增加）減少,-2282.0,3560.0,-1104.0,-2100.0
其他應收款（增加）減少,1087.0,85.0,-167.0,2130.0
其他應收款－關係人（增加）減少,-62449.0,-12293.0,19816.0,1001.0
存貨（增加）減少,-2877.0,-6884.0,6725.0,7027.0
預付款項（增加）減少,-24.0,-2371.0,-6376.0,15157.0
其他流動資產（增加）減少,-6831.0,-6405.0,-29013.0,165.0
其他金融資產（增加）減少,16941.0,-34099.0,-41423.0,-37804.0
其他營業資產（增加）減少,1125.0,10386.0,-3171.0,-1043.0
與營業活動相關之資產之淨變動合計,-12564.0,-16414.0,-26276.0,-29494.0
合約負債增加（減少）,22346.0,-22762.0,24017.0,660.0
應付票據增加（減少）,-46430.0,-26570.0,4868.0,-23886.0
應付帳款增加（減少）,5035.0,2328.0,-5250.0,-19694.0
應付帳款－關係人增加（減少）,856.0,1146.0,4471.0,140.0
其他應付款增加（減少）,-2329.0,-2856.0,1313.0,1564.0
其他應付款－關係人增加（減少）,-31961.0,-54742.0,-4679.0,2202.0
負債準備增加（減少）,-15020.0,-88841.0,-4707.0,0.0
其他流動負債增加（減少）,-27966.0,-121541.0,-46130.0,-110.0
淨確定福利負債增加(減少),66301.0,103572.0,-435146.0,-4056.0
與營業活動相關之負債之淨變動合計,3838.0,8419.0,332027.0,-43180.0
與營業活動相關之資產及負債之淨變動合計,55095.0,75957.0,16176.0,-72674.0
調整項目合計,-663.0,-1310.0,414362.0,-432630.0
營運產生之現金流入（流出）,-1924.0,-265494.0,-1757.0,354115.0
收取之利息,122647.0,-78856.0,-270909.0,29530.0
收取之股利,,,489899.0,419367.0
支付之利息,-277567.0,-400547.0,,-2321.0
退還（支付）之所得稅,-29376.0,0.0,-414312.0,-274407.0
營業活動之淨現金流入（流出）,52.0,-4180.0,0.0,526284.0
投資活動之現金流量,-39.0,-50471.0,-2803.0,
取得透過其他綜合損益按公允價值衡量之金融資產,0.0,164.0,-4180.0,-414313.0
處分透過其他綜合損益按公允價值衡量之金融資產,55382.0,-27.0,-90194.0,0.0
取得透過損益按公允價值衡量之金融資產,25.0,0.0,165.0,-2803.0
取得採用權益法之投資,-251523.0,-780.0,-177.0,-4180.0
取得不動產、廠房及設備,,0.0,0.0,-171669.0
處分不動產、廠房及設備,-67092.0,960290.0,-780.0,971.0
存出保證金增加,33000.0,278.0,0.0,0.0
存出保證金減少,0.0,504727.0,960086.0,76.0
取得投資性不動產,460.0,,-5136.0,-780.0
其他金融資產增加,-643.0,-86746.0,0.0,0.0
其他金融資產減少,-34275.0,33000.0,442669.0,1119766.0
其他非流動資產增加,4089.0,0.0,,-4274.0
其他非流動資產減少,-159062.0,460.0,-88933.0,0.0
投資活動之淨現金流入（流出）,1509695.0,-1453.0,36000.0,522794.0
籌資活動之現金流量,1350633.0,-238818.0,0.0,
短期借款增加,1350633.0,-551.0,460.0,0.0
