會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,439883.0,3.46,570726.0,4.52,477266.0,3.98,471820.0,4.01
透過損益按公允價值衡量之金融資產－流動,434460.0,3.42,358244.0,2.84,330703.0,2.75,289833.0,2.46
按攤銷後成本衡量之金融資產－流動,22530.0,0.18,22200.0,0.18,22400.0,0.19,0.0,0.0
應收票據淨額,33977.0,0.27,35780.0,0.28,31905.0,0.27,39870.0,0.34
應收帳款淨額,750683.0,5.91,831126.0,6.58,723920.0,6.03,583976.0,4.96
其他應收款淨額,33791.0,0.27,13914.0,0.11,29911.0,0.25,1867.0,0.02
本期所得稅資產,197.0,0.0,203.0,0.0,240.0,0.0,8559.0,0.07
存貨,550672.0,4.33,718534.0,5.69,621354.0,5.18,223.0,0.0
預付款項,96009.0,0.76,72109.0,0.57,37879.0,0.32,532006.0,4.52
待出售非流動資產（或處分群組）淨額,0.0,0.0,5544.0,0.04,3336.0,0.03,52623.0,0.45
其他流動資產,11786.0,0.09,2628380.0,20.8,2278914.0,18.98,0.0,0.0
流動資產合計,2373988.0,18.68,,,,,3375.0,0.03
非流動資產,,,7247.0,0.06,6627.0,0.06,1984152.0,16.86
透過損益按公允價值衡量之金融資產－非流動,8393.0,0.07,923309.0,7.31,618007.0,5.15,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,1188339.0,9.35,0.0,0.0,26880.0,0.22,11827.0,0.1
按攤銷後成本衡量之金融資產－非流動,0.0,0.0,405528.0,3.21,426287.0,3.55,637472.0,5.42
採用權益法之投資,446771.0,3.51,3412525.0,27.01,3391829.0,28.25,44110.0,0.37
不動產、廠房及設備,3433886.0,27.02,178158.0,1.41,170885.0,1.42,448493.0,3.81
使用權資產,187781.0,1.48,5014160.0,39.69,5023240.0,41.84,3378266.0,28.7
投資性不動產淨額,5004161.0,39.37,12397.0,0.1,12397.0,0.1,161564.0,1.37
遞延所得稅資產,12397.0,0.1,52251.0,0.41,51334.0,0.43,5037904.0,42.8
其他非流動資產,55154.0,0.43,10005575.0,79.2,9727486.0,81.02,13326.0,0.11
非流動資產合計,10336882.0,81.32,12633955.0,100.0,12006400.0,100.0,52848.0,0.45
資產總額,12710870.0,100.0,,,,,9785810.0,83.14
流動負債,,,200000.0,1.58,250000.0,2.08,11769962.0,100.0
短期借款,250000.0,1.97,12072.0,0.1,113162.0,0.94,,
應付票據,111078.0,0.87,805720.0,6.38,545157.0,4.54,250000.0,2.12
應付帳款,465390.0,3.66,391896.0,3.1,215444.0,1.79,108932.0,0.93
其他應付款,215437.0,1.69,3999.0,0.03,3097.0,0.03,391036.0,3.32
其他應付款項－關係人,2006.0,0.02,9377.0,0.07,7448.0,0.06,205535.0,1.75
本期所得稅負債,19291.0,0.15,31135.0,0.25,31388.0,0.26,3098.0,0.03
負債準備－流動,0.0,0.0,80483.0,0.64,71719.0,0.6,24470.0,0.21
與待出售非流動資產直接相關（或處分群組）之負債,0.0,0.0,1534682.0,12.15,1237415.0,10.31,0.0,0.0
租賃負債－流動,31412.0,0.25,,,,,31394.0,0.27
其他流動負債,78959.0,0.62,32121.0,0.25,32120.0,0.27,65674.0,0.56
流動負債合計,1173573.0,9.23,3167374.0,25.07,3057374.0,25.46,1080139.0,9.18
非流動負債,,,12425.0,0.1,12637.0,0.11,,
合約負債－非流動,32121.0,0.25,1433458.0,11.35,1433458.0,11.94,33780.0,0.29
長期借款,3164308.0,24.89,127296.0,1.01,118111.0,0.98,3421481.0,29.07
負債準備－非流動,12213.0,0.1,107080.0,0.85,106619.0,0.89,12423.0,0.11
遞延所得稅負債,1439652.0,11.33,4879754.0,38.62,4760319.0,39.65,1101198.0,9.36
租賃負債－非流動,134257.0,1.06,6414436.0,50.77,5997734.0,49.95,111117.0,0.94
其他非流動負債,107926.0,0.85,,,,,95964.0,0.82
非流動負債合計,4890477.0,38.47,,,,,4775963.0,40.58
負債總額,6064050.0,47.71,2272283.0,17.99,2272283.0,18.93,5856102.0,49.75
歸屬於母公司業主之權益,,,2272283.0,17.99,2272283.0,18.93,,
股本,,,,,,,,
普通股股本,2272283.0,17.88,0.0,0.0,18235.0,0.15,2272283.0,19.31
股本合計,2272283.0,17.88,13655.0,0.11,680.0,0.01,2272283.0,19.31
資本公積,,,680.0,0.01,18915.0,0.16,,
資本公積－庫藏股票交易,13655.0,0.11,14335.0,0.11,,,18915.0,0.16
資本公積－其他,680.0,0.01,,,85240.0,0.71,,
資本公積合計,14335.0,0.11,85240.0,0.67,2978245.0,24.81,85240.0,0.72
保留盈餘,,,2978245.0,23.57,455500.0,3.79,2978245.0,25.3
法定盈餘公積,52965.0,0.42,369967.0,2.93,3518985.0,29.31,348542.0,2.96
特別盈餘公積,2978245.0,23.43,3433452.0,27.18,,,3412027.0,28.99
未分配盈餘（或待彌補虧損）,557732.0,4.39,,,-23117.0,-0.19,,
保留盈餘合計,3588942.0,28.24,-27453.0,-0.22,257789.0,2.15,-30430.0,-0.26
其他權益,,,563091.0,4.46,234672.0,1.95,277254.0,2.36
國外營運機構財務報表換算之兌換差額,-20672.0,-0.16,535638.0,4.24,-36189.0,-0.3,246824.0,2.1
透過其他綜合損益按公允價值衡量之金融資產未實現評價損益,828121.0,6.52,-36189.0,-0.29,6008666.0,50.05,-36189.0,-0.31
確定福利計畫再衡量數,0.0,0.0,6219519.0,49.23,6008666.0,50.05,5913860.0,50.25
其他權益合計,807449.0,6.35,6219519.0,49.23,12006400.0,100.0,5913860.0,50.25
庫藏股票,-36189.0,-0.28,12633955.0,100.0,0.0,,11769962.0,100.0
歸屬於母公司業主之權益合計,6646820.0,52.29,0.0,,0.0,,0.0,
共同控制下前手權益,0.0,0.0,0.0,,6542716.0,,6542716.0,
非控制權益,0.0,0.0,6542716.0,,,,,
權益總額,6646820.0,52.29,,,,,,
負債及權益總計,12710870.0,100.0,,,,,,
待註銷股本股數（單位：股）,0.0,,,,,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,,,,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,6542716.0,,,,,,,
