民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,103年01月01日,103年01月01日,Unnamed: 9_level_2,Unnamed: 10_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,金額,%,Unnamed: 9_level_3,Unnamed: 10_level_3
流動資產,,,,,,,,,,
現金及約當現金,609170.0,16.19,549005.0,14.33,542345.0,15.53,609620.0,17.0,,
備供出售金融資產－流動淨額,121439.0,3.23,111530.0,2.91,117134.0,3.35,108397.0,3.02,,
應收票據淨額,40835.0,1.09,50292.0,1.31,27171.0,0.78,24174.0,0.67,,
應收帳款淨額,501896.0,13.34,639154.0,16.68,581667.0,16.66,576856.0,16.08,,
其他應收款淨額,11362.0,0.3,19778.0,0.52,8012.0,0.23,20486.0,0.57,,
存貨,402642.0,10.7,489598.0,12.78,476743.0,13.65,517618.0,14.43,,
預付款項,698.0,0.02,709.0,0.02,679.0,0.02,670.0,0.02,,
其他流動資產,449614.0,11.95,352157.0,9.19,156809.0,4.49,144347.0,4.02,,
流動資產合計,2137656.0,56.82,2212223.0,57.73,1910560.0,54.72,2002168.0,55.82,,
非流動資產,,,,,,,,,,
不動產、廠房及設備,1489699.0,39.6,1499134.0,39.12,1463736.0,41.92,1473004.0,41.07,,
遞延所得稅資產,58041.0,1.54,61098.0,1.59,52652.0,1.51,52522.0,1.46,,
其他非流動資產,76883.0,2.04,59819.0,1.56,64748.0,1.85,58866.0,1.64,,
非流動資產合計,1624623.0,43.18,1620051.0,42.27,1581136.0,45.28,1584392.0,44.18,,
資產總計,3762279.0,100.0,3832274.0,100.0,3491696.0,100.0,3586560.0,100.0,,
流動負債,,,,,,,,,,
短期借款,183290.0,4.87,193589.0,5.05,212260.0,6.08,282761.0,7.88,,
應付票據,9395.0,0.25,2941.0,0.08,1710.0,0.05,5926.0,0.17,,
應付帳款,140695.0,3.74,165303.0,4.31,167351.0,4.79,218463.0,6.09,,
其他應付款,215043.0,5.72,283594.0,7.4,206955.0,5.93,243481.0,6.79,,
本期所得稅負債,44347.0,1.18,65250.0,1.7,57458.0,1.65,93293.0,2.6,,
其他流動負債,17160.0,0.46,18771.0,0.49,331959.0,9.51,228068.0,6.36,,
流動負債合計,609930.0,16.21,729448.0,19.03,977693.0,28.0,1071992.0,29.89,,
非流動負債,,,,,,,,,,
長期借款,762713.0,20.27,757620.0,19.77,382667.0,10.96,482001.0,13.44,,
遞延所得稅負債,180949.0,4.81,180027.0,4.7,152325.0,4.36,142652.0,3.98,,
其他非流動負債,235496.0,6.26,234828.0,6.13,189955.0,5.44,189645.0,5.29,,
非流動負債合計,1179158.0,31.34,1172475.0,30.59,724947.0,20.76,814298.0,22.7,,
負債總計,1789088.0,47.55,1901923.0,49.63,1702640.0,48.76,1886290.0,52.59,,
歸屬於母公司業主之權益,,,,,,,,,,
股本,,,,,,,,,,
普通股股本,912745.0,24.26,912745.0,23.82,869281.0,24.9,869281.0,24.24,,
股本合計,912745.0,24.26,912745.0,23.82,869281.0,24.9,869281.0,24.24,,
資本公積,,,,,,,,,,
資本公積合計,55113.0,1.46,55113.0,1.44,54740.0,1.57,54740.0,1.53,,
保留盈餘,,,,,,,,,,
法定盈餘公積,195440.0,5.19,195440.0,5.1,171474.0,4.91,171474.0,4.78,,
未分配盈餘（或待彌補虧損）,518936.0,13.79,471584.0,12.31,444201.0,12.72,385196.0,10.74,,
保留盈餘合計,714376.0,18.99,667024.0,17.41,615675.0,17.63,556670.0,15.52,,
其他權益,,,,,,,,,,
其他權益合計,62340.0,1.66,78732.0,2.05,31588.0,0.9,19156.0,0.53,,
庫藏股票,-2813.0,-0.07,-2813.0,-0.07,-2813.0,-0.08,-2813.0,-0.08,,
歸屬於母公司業主之權益合計,1741761.0,46.3,1710801.0,44.64,1568471.0,44.92,1497034.0,41.74,,
非控制權益,231430.0,6.15,219550.0,5.73,220585.0,6.32,203236.0,5.67,,
權益總計,1973191.0,52.45,1930351.0,50.37,1789056.0,51.24,1700270.0,47.41,,
負債及權益總計,3762279.0,100.0,3832274.0,100.0,3491696.0,100.0,3586560.0,100.0,,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,1200017.0,,1200017.0,,1142874.0,,1142874.0,,,
