會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
銷貨收入淨額,256030.0,100.0,260678.0,100.0,222362.0,100.0,983017.0,100.0
營業收入合計,256030.0,100.0,260678.0,100.0,222362.0,100.0,983017.0,100.0
營業成本合計,217358.0,84.9,260678.0,100.0,222362.0,100.0,983017.0,100.0
營業毛利（毛損）,38672.0,15.1,223377.0,85.69,191639.0,86.18,829229.0,84.36
營業毛利（毛損）淨額,38672.0,15.1,37301.0,14.31,30723.0,13.82,153788.0,15.64
營業費用,,,37301.0,14.31,30723.0,13.82,153788.0,15.64
推銷費用,15865.0,6.2,,,,,,
管理費用,21673.0,8.47,13851.0,5.31,12537.0,5.64,54754.0,5.57
研究發展費用,3877.0,1.51,20707.0,7.94,20060.0,9.02,83072.0,8.45
預期信用減損損失（利益）,-298.0,-0.12,3556.0,1.36,4113.0,1.85,14639.0,1.49
營業費用合計,41117.0,16.06,1442.0,0.55,-2196.0,-0.99,418.0,0.04
營業利益（損失）,-2445.0,-0.95,39556.0,15.17,34514.0,15.52,152883.0,15.55
營業外收入及支出,,,-2255.0,-0.87,-3791.0,-1.7,905.0,0.09
利息收入,233.0,0.09,,,,,,
其他收入,36.0,0.01,161.0,0.06,227.0,0.1,1052.0,0.11
其他利益及損失淨額,2095.0,0.82,183.0,0.07,214.0,0.1,5199.0,0.53
財務成本淨額,16.0,0.01,2509.0,0.96,3907.0,1.76,5678.0,0.58
營業外收入及支出合計,2348.0,0.92,15.0,0.01,19.0,0.01,64.0,0.01
稅前淨利（淨損）,-97.0,-0.04,2838.0,1.09,4329.0,1.95,11865.0,1.21
所得稅費用（利益）合計,2215.0,0.87,583.0,0.22,538.0,0.24,12770.0,1.3
繼續營業單位本期淨利（淨損）,-2312.0,-0.9,1924.0,0.74,1510.0,0.68,7967.0,0.81
本期淨利（淨損）,-2312.0,-0.9,-1341.0,-0.51,-972.0,-0.44,4803.0,0.49
其他綜合損益(淨額),,,-1341.0,-0.51,-972.0,-0.44,4803.0,0.49
國外營運機構財務報表換算之兌換差額,8820.0,3.44,,,,,,
後續可能重分類至損益之項目：,8820.0,3.44,-3730.0,-1.43,0.0,0.0,14249.0,1.45
其他綜合損益（淨額）,8820.0,3.44,-3730.0,-1.43,0.0,0.0,2849.0,0.29
本期綜合損益總額,6508.0,2.54,-3730.0,-1.43,1717.0,0.77,11400.0,1.16
淨利（損）歸屬於：,,,-5071.0,-1.95,1717.0,0.77,3373.0,0.34
母公司業主（淨利∕損）,-2312.0,-0.9,,,1717.0,0.77,3373.0,0.34
母公司業主（綜合損益）,6508.0,2.54,-1341.0,-0.51,745.0,0.34,14773.0,1.5
基本每股盈餘,,,-5071.0,-1.95,,,19576.0,1.99
基本每股盈餘,-0.03,,,,-972.0,-0.44,,
稀釋每股盈餘,,,-0.02,,0.0,0.0,4803.0,0.49
稀釋每股盈餘,-0.03,,-0.02,,745.0,0.34,19576.0,1.99
