民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,592056.0,100.0,517764.0,100.0,
營業成本合計,387515.0,65.45,337070.0,65.1,
營業毛利（毛損）,204541.0,34.55,180694.0,34.9,
營業毛利（毛損）淨額,204541.0,34.55,180694.0,34.9,
營業費用,,,,,
推銷費用,4725.0,0.8,3637.0,0.7,
管理費用,18569.0,3.14,23649.0,4.57,
研究發展費用,5612.0,0.95,5290.0,1.02,
營業費用合計,28906.0,4.88,32576.0,6.29,
營業利益（損失）,175635.0,29.67,148118.0,28.61,
營業外收入及支出,,,,,
其他收入,9247.0,1.56,2117.0,0.41,
其他利益及損失淨額,-385.0,-0.07,73841.0,14.26,
財務成本淨額,939.0,0.16,1442.0,0.28,
營業外收入及支出合計,7923.0,1.34,74516.0,14.39,
稅前淨利（淨損）,183558.0,31.0,222634.0,43.0,
所得稅費用（利益）合計,30155.0,5.09,32697.0,6.32,
繼續營業單位本期淨利（淨損）,153403.0,25.91,189937.0,36.68,
本期淨利（淨損）,153403.0,25.91,189937.0,36.68,
不重分類至損益之項目：,,,,,
不重分類至損益之其他項目,-47866.0,-8.08,-9930.0,-1.92,
後續可能重分類至損益之項目：,,,,,
其他綜合損益（淨額）,-47866.0,-8.08,-9930.0,-1.92,
本期綜合損益總額,105537.0,17.83,180007.0,34.77,
母公司業主（淨利／損）,153403.0,25.91,189937.0,36.68,
母公司業主（綜合損益）,105537.0,17.83,180007.0,34.77,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,1.74,,2.17,,
基本每股盈餘,1.74,,2.17,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,1.73,,2.17,,
稀釋每股盈餘,1.73,,2.17,,
