會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
銷貨收入,124914.0,100.0,115250.0,100.0,119859.0,100.0,499230.0,100.0
銷貨收入淨額,124914.0,100.0,115250.0,100.0,119859.0,100.0,499230.0,100.0
營業收入合計,124914.0,100.0,115250.0,100.0,119859.0,100.0,499230.0,100.0
銷貨成本,200347.0,160.39,191580.0,166.23,175821.0,146.69,754983.0,151.23
營業成本合計,200347.0,160.39,-6109.0,-5.3,0.0,0.0,-2699.0,-0.54
營業毛利（毛損）,-75433.0,-60.39,185471.0,160.93,175821.0,146.69,752284.0,150.69
營業毛利（毛損）淨額,-75433.0,-60.39,-70221.0,-60.93,-55962.0,-46.69,-253054.0,-50.69
營業費用,,,-70221.0,-60.93,-55962.0,-46.69,-253054.0,-50.69
推銷費用,2052.0,1.64,,,,,,
管理費用,16537.0,13.24,1797.0,1.56,1572.0,1.31,7389.0,1.48
研究發展費用,11532.0,9.23,26027.0,22.58,43608.0,36.38,126177.0,25.27
營業費用合計,30121.0,24.11,10118.0,8.78,10054.0,8.39,42500.0,8.51
營業利益（損失）,-105554.0,-84.5,37942.0,32.92,55234.0,46.08,176066.0,35.27
營業外收入及支出,,,-108163.0,-93.85,-111196.0,-92.77,-429120.0,-85.96
利息收入,6175.0,4.94,,,,,,
其他收入,1942.0,1.55,5999.0,5.21,6471.0,5.4,24391.0,4.89
其他利益及損失淨額,732.0,0.59,-16.0,-0.01,7.0,0.01,1929.0,0.39
財務成本淨額,0.0,0.0,-2112.0,-1.83,-11511.0,-9.6,-23285.0,-4.66
營業外收入及支出合計,8849.0,7.08,376.0,0.33,383.0,0.32,1018.0,0.2
稅前淨利（淨損）,-96705.0,-77.42,3495.0,3.03,-5416.0,-4.52,2017.0,0.4
所得稅費用（利益）合計,-375.0,-0.3,-104668.0,-90.82,-116612.0,-97.29,-427103.0,-85.55
繼續營業單位本期淨利（淨損）,-96330.0,-77.12,-115.0,-0.1,477.0,0.4,2775.0,0.56
本期淨利（淨損）,-96330.0,-77.12,-104553.0,-90.72,-117089.0,-97.69,-429878.0,-86.11
其他綜合損益(淨額),,,-104553.0,-90.72,-117089.0,-97.69,-429878.0,-86.11
不重分類至損益之其他項目,178738.0,143.09,,,,,,
與不重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,25467.0,21.25,89046.0,17.84
不重分類至損益之項目：,178738.0,143.09,92180.0,79.98,0.0,0.0,0.0,0.0
其他綜合損益（淨額）,178738.0,143.09,-92180.0,-79.98,25467.0,21.25,89046.0,17.84
本期綜合損益總額,82408.0,65.97,-92180.0,-79.98,25467.0,21.25,89046.0,17.84
淨利（損）歸屬於：,,,-196733.0,-170.7,-91622.0,-76.44,-340832.0,-68.27
母公司業主（淨利∕損）,-96330.0,-77.12,,,,,,
母公司業主（綜合損益）,82408.0,65.97,-104553.0,-90.72,-117089.0,-97.69,-429878.0,-86.11
基本每股盈餘,,,-196733.0,-170.7,-91622.0,-76.44,-340832.0,-68.27
基本每股盈餘,-0.63,,,,,,,
