會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,352485.0,2.59,530491.0,3.88,734902.0,5.66,727649.0,5.93
應收票據淨額,22.0,0.0,11895.0,0.09,0.0,0.0,9370.0,0.08
應收帳款淨額,3199378.0,23.51,22.0,0.0,2651550.0,20.42,2100425.0,17.13
其他應收款淨額,36286.0,0.27,3449953.0,25.22,16280.0,0.13,23644.0,0.19
本期所得稅資產,144.0,0.0,37200.0,0.27,161.0,0.0,65.0,0.0
存貨,2176826.0,15.99,95.0,0.0,2476019.0,19.07,2347482.0,19.14
其他流動資產,97471.0,0.72,2396969.0,17.53,91572.0,0.71,82597.0,0.67
流動資產合計,5862612.0,43.08,88423.0,0.65,5970484.0,45.97,5291232.0,43.15
非流動資產,,,6515048.0,47.64,,,,
不動產、廠房及設備,6828650.0,50.17,,,6108185.0,47.03,5990925.0,48.85
使用權資產,492006.0,3.62,6218238.0,45.47,552042.0,4.25,539694.0,4.4
無形資產,80154.0,0.59,561382.0,4.1,81850.0,0.63,78588.0,0.64
遞延所得稅資產,151991.0,1.12,80878.0,0.59,71409.0,0.55,98233.0,0.8
其他非流動資產,194260.0,1.43,106219.0,0.78,202735.0,1.56,264606.0,2.16
非流動資產合計,7747061.0,56.92,195073.0,1.43,7016221.0,54.03,6972046.0,56.85
資產總額,13609673.0,100.0,7161790.0,52.36,12986705.0,100.0,12263278.0,100.0
流動負債,,,13676838.0,100.0,,,,
短期借款,1965261.0,14.44,,,970000.0,7.47,935000.0,7.62
應付短期票券,199921.0,1.47,1880604.0,13.75,499637.0,3.85,0.0,0.0
應付帳款,934302.0,6.86,299921.0,2.19,22143.0,0.17,84.0,0.0
其他應付款,487747.0,3.58,927855.0,6.78,489421.0,3.77,507788.0,4.14
本期所得稅負債,4567.0,0.03,512362.0,3.75,442269.0,3.41,371826.0,3.03
負債準備－流動,2541.0,0.02,28293.0,0.21,31343.0,0.24,47281.0,0.39
租賃負債－流動,30883.0,0.23,3846.0,0.03,4076.0,0.03,2672.0,0.02
其他流動負債,215398.0,1.58,45699.0,0.33,46277.0,0.36,45838.0,0.37
流動負債合計,3840620.0,28.22,236321.0,1.73,256257.0,1.97,260545.0,2.12
非流動負債,,,3934901.0,28.77,2761423.0,21.26,2171034.0,17.7
長期借款,2396716.0,17.61,,,,,,
遞延所得稅負債,161599.0,1.19,1976353.0,14.45,2164447.0,16.67,2050816.0,16.72
租賃負債－非流動,446858.0,3.28,161338.0,1.18,165996.0,1.28,173621.0,1.42
其他非流動負債,45067.0,0.33,522395.0,3.82,512678.0,3.95,501229.0,4.09
非流動負債合計,3050240.0,22.41,43216.0,0.32,45495.0,0.35,70941.0,0.58
負債總額,6890860.0,50.63,2703302.0,19.77,2888616.0,22.24,2796607.0,22.8
歸屬於母公司業主之權益,,,6638203.0,48.54,5650039.0,43.51,4967641.0,40.51
股本,,,,,,,,
普通股股本,1999942.0,14.7,,,,,,
股本合計,1999942.0,14.7,1999942.0,14.62,1999942.0,15.4,1999942.0,16.31
資本公積,,,1999942.0,14.62,1999942.0,15.4,1999942.0,16.31
資本公積合計,1911126.0,14.04,,,,,,
保留盈餘,,,1911126.0,13.97,1911126.0,14.72,1911126.0,15.58
法定盈餘公積,741863.0,5.45,,,,,1911126.0,15.58
特別盈餘公積,354215.0,2.6,785390.0,5.74,785390.0,6.05,,
未分配盈餘（或待彌補虧損）,1934993.0,14.22,380083.0,2.78,380083.0,2.93,785390.0,6.4
保留盈餘合計,3031071.0,22.27,2218526.0,16.22,2452016.0,18.88,380083.0,3.1
其他權益,,,3383999.0,24.74,3617489.0,27.86,2487262.0,20.28
其他權益合計,-225255.0,-1.66,,,,,3652735.0,29.79
歸屬於母公司業主之權益合計,6716884.0,49.35,-258308.0,-1.89,-194085.0,-1.49,,
非控制權益,1929.0,0.01,7036759.0,51.45,7334472.0,56.48,-270462.0,-2.21
權益總額,6718813.0,49.37,1876.0,0.01,2194.0,0.02,7293341.0,59.47
負債及權益總計,13609673.0,100.0,7038635.0,51.46,7336666.0,56.49,2296.0,0.02
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,13676838.0,100.0,12986705.0,100.0,7295637.0,59.49
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,12263278.0,100.0
