會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,2293575.0,100.0,2446566.0,100.0,1767117.0,100.0,8236787.0,100.0
營業成本合計,1943296.0,84.73,1998757.0,81.7,1473155.0,83.36,6873711.0,83.45
營業毛利（毛損）,350279.0,15.27,447809.0,18.3,293962.0,16.64,1363076.0,16.55
營業毛利（毛損）淨額,350279.0,15.27,447809.0,18.3,293962.0,16.64,1363076.0,16.55
營業費用,,,,,,,,
推銷費用,90021.0,3.92,70575.0,2.88,40968.0,2.32,244283.0,2.97
管理費用,97560.0,4.25,119592.0,4.89,79432.0,4.5,393758.0,4.78
研究發展費用,13867.0,0.6,13422.0,0.55,13770.0,0.78,54852.0,0.67
預期信用減損損失（利益）,-3558.0,-0.16,6049.0,0.25,-37296.0,-2.11,-32094.0,-0.39
營業費用合計,197890.0,8.63,209638.0,8.57,96874.0,5.48,660799.0,8.02
營業利益（損失）,152389.0,6.64,238171.0,9.73,197088.0,11.15,702277.0,8.53
營業外收入及支出,,,,,,,,
利息收入,756.0,0.03,736.0,0.03,1524.0,0.09,8459.0,0.1
其他收入,6663.0,0.29,9527.0,0.39,11792.0,0.67,32831.0,0.4
其他利益及損失淨額,6112.0,0.27,215416.0,8.8,111904.0,6.33,279757.0,3.4
財務成本淨額,16269.0,0.71,17203.0,0.7,16967.0,0.96,67208.0,0.82
營業外收入及支出合計,-2738.0,-0.12,208476.0,8.52,108253.0,6.13,253839.0,3.08
稅前淨利（淨損）,149651.0,6.52,446647.0,18.26,305341.0,17.28,956116.0,11.61
所得稅費用（利益）合計,25665.0,1.12,93772.0,3.83,71533.0,4.05,218987.0,2.66
繼續營業單位本期淨利（淨損）,123986.0,5.41,352875.0,14.42,233808.0,13.23,737129.0,8.95
本期淨利（淨損）,123986.0,5.41,352875.0,14.42,233808.0,13.23,737129.0,8.95
其他綜合損益(淨額),,,,,,,,
國外營運機構財務報表換算之兌換差額,154828.0,6.75,-33053.0,-1.35,64223.0,3.63,11111.0,0.13
後續可能重分類至損益之項目：,154828.0,6.75,-33053.0,-1.35,64223.0,3.63,11111.0,0.13
其他綜合損益（淨額）,154828.0,6.75,-33053.0,-1.35,64223.0,3.63,109621.0,1.33
本期綜合損益總額,278814.0,12.16,319822.0,13.07,298031.0,16.87,2223.0,0.03
淨利（損）歸屬於：,,,,,,,107398.0,1.3
母公司業主（淨利∕損）,124070.0,5.41,352928.0,14.43,233490.0,13.21,118509.0,1.44
非控制權益（淨利∕損）,-84.0,0.0,-53.0,0.0,318.0,0.02,855638.0,10.39
母公司業主（綜合損益）,278898.0,12.16,319875.0,13.07,297713.0,16.85,,
非控制權益（綜合損益）,-84.0,0.0,-53.0,0.0,318.0,0.02,736846.0,8.95
基本每股盈餘,,,,,,,283.0,0.0
基本每股盈餘,0.69,,1.76,,1.17,,855355.0,10.38
稀釋每股盈餘,,,1.76,,,,283.0,0.0
稀釋每股盈餘,0.68,,,,1.17,,,
