會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,149651.0,596298.0,901639.0,956116.0
本期稅前淨利（淨損）,149651.0,596298.0,901639.0,956116.0
折舊費用,180433.0,361318.0,542327.0,723678.0
攤銷費用,10589.0,20811.0,30328.0,39009.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-3558.0,2491.0,-34805.0,-32094.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,16269.0,-11895.0,22143.0,84.0
利息費用,-756.0,33472.0,50439.0,67208.0
利息收入,766.0,-1492.0,-3016.0,-8459.0
股份基礎給付酬勞成本,7843.0,-91979.0,0.0,0.0
處分及報廢不動產、廠房及設備損失（利益）,-47058.0,23211.0,-86730.0,-85645.0
非金融資產減損損失,0.0,-32407.0,50970.0,90005.0
未實現外幣兌換損失（利益）,164528.0,1210.0,-105414.0,-4302.0
其他項目,-22.0,304740.0,1210.0,0.0
收益費損項目合計,651330.0,-22.0,467452.0,789484.0
應收票據（增加）減少,42690.0,386843.0,0.0,-9370.0
應收帳款（增加）減少,-148199.0,56109.0,1249084.0,1576266.0
其他應收款（增加）減少,-5507.0,-412169.0,76231.0,35365.0
存貨（增加）減少,540292.0,1769.0,-523945.0,-448195.0
其他流動資產（增加）減少,125688.0,32530.0,4170.0,10795.0
與營業活動相關之資產之淨變動合計,-40232.0,102560.0,805540.0,1164861.0
應付帳款增加（減少）,0.0,-25654.0,-356774.0,-227709.0
其他應付款增加（減少）,-6364.0,-4130.0,-95093.0,-81846.0
預收款項增加（減少）,79092.0,-570.0,-3089.0,16585.0
其他流動負債增加（減少）,619384.0,72206.0,1430.0,-4035.0
淨確定福利負債增加(減少),783912.0,104736.0,-453526.0,-429.0
與營業活動相關之負債之淨變動合計,933563.0,409476.0,352014.0,-297434.0
與營業活動相關之資產及負債之淨變動合計,1429.0,1005774.0,819466.0,867427.0
調整項目合計,-14844.0,2042.0,1721105.0,1656911.0
營運產生之現金流入（流出）,-20044.0,-29774.0,3221.0,2613027.0
收取之利息,900104.0,-44638.0,-45648.0,8674.0
支付之利息,,933404.0,-74543.0,-60423.0
退還（支付）之所得稅,-42085.0,,1604135.0,-107195.0
營業活動之淨現金流入（流出）,1610.0,-81864.0,,2454083.0
投資活動之現金流量,47.0,600724.0,-118503.0,
取得不動產、廠房及設備,-380.0,47.0,602057.0,-161208.0
處分不動產、廠房及設備,-887.0,-1710.0,887.0,603777.0
存出保證金減少,-436.0,-10.0,-1710.0,887.0
取得無形資產,-42131.0,-4008.0,-10.0,-1781.0
其他金融資產增加,,-685.0,-11844.0,-39689.0
其他非流動資產增加,-365669.0,512494.0,-6383.0,-13352.0
預付設備款增加,200000.0,,464494.0,-28190.0
投資活動之淨現金流入（流出）,-880139.0,-457231.0,,360444.0
籌資活動之現金流量,0.0,100000.0,-1369092.0,
短期借款減少,-7669.0,670000.0,299715.0,-1374818.0
應付短期票券減少,-1053477.0,-1750277.0,1370000.0,-199890.0
舉借長期借款,6118.0,0.0,-2245747.0,2100000.0
償還長期借款,-189386.0,-15746.0,0.0,-3084694.0
存入保證金增加,541871.0,-1453254.0,-27396.0,10916.0
租賃本金償還,352485.0,-4024.0,0.0,-39179.0
發放現金股利,352485.0,-11380.0,-1972520.0,-99997.0
