民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,1089420.0,29.72,792932.0,25.52,842962.0,29.35,,
透過損益按公允價值衡量之金融資產－流動,0.0,0.0,2156.0,0.07,355.0,0.01,,
無活絡市場之債務工具投資－流動淨額,31000.0,0.85,31000.0,1.0,31000.0,1.08,,
應收票據淨額,81298.0,2.22,76574.0,2.46,74845.0,2.61,,
應收帳款淨額,145430.0,3.97,102327.0,3.29,187559.0,6.53,,
其他應收款淨額,4789.0,0.13,4934.0,0.16,3218.0,0.11,,
存貨,1528240.0,41.69,1434725.0,46.18,896975.0,31.23,,
預付款項,66439.0,1.81,47951.0,1.54,96649.0,3.36,,
待出售非流動資產（淨額）,0.0,0.0,0.0,0.0,279373.0,9.73,,
其他流動資產,49168.0,1.34,38416.0,1.24,46631.0,1.62,,
流動資產合計,2995784.0,81.72,2531015.0,81.47,2459567.0,85.63,,
非流動資產,,,,,,,,
備供出售金融資產－非流動淨額,163280.0,4.45,66645.0,2.15,0.0,0.0,,
以成本衡量之金融資產－非流動淨額,19556.0,0.53,19556.0,0.63,19556.0,0.68,,
不動產、廠房及設備,263968.0,7.2,266027.0,8.56,293577.0,10.22,,
無形資產,1070.0,0.03,1084.0,0.03,1542.0,0.05,,
遞延所得稅資產,36662.0,1.0,36662.0,1.18,40303.0,1.4,,
其他非流動資產,185595.0,5.06,185687.0,5.98,57661.0,2.01,,
非流動資產合計,670131.0,18.28,575661.0,18.53,412639.0,14.37,,
資產總計,3665915.0,100.0,3106676.0,100.0,2872206.0,100.0,,
流動負債,,,,,,,,
短期借款,85000.0,2.32,115587.0,3.72,283977.0,9.89,,
透過損益按公允價值衡量之金融負債－流動,186.0,0.01,0.0,0.0,0.0,0.0,,
應付票據,66241.0,1.81,5150.0,0.17,19248.0,0.67,,
應付帳款,144465.0,3.94,80627.0,2.6,138327.0,4.82,,
其他應付款,33659.0,0.92,41073.0,1.32,36650.0,1.28,,
本期所得稅負債,8348.0,0.23,6224.0,0.2,9773.0,0.34,,
其他流動負債,537713.0,14.67,458507.0,14.76,521096.0,18.14,,
流動負債合計,875612.0,23.89,707168.0,22.76,1009071.0,35.13,,
非流動負債,,,,,,,,
透過損益按公允價值衡量之金融負債－非流動,2504.0,0.07,2952.0,0.1,0.0,0.0,,
應付公司債,391631.0,10.68,418057.0,13.46,0.0,0.0,,
長期借款,393440.0,10.73,280140.0,9.02,241336.0,8.4,,
遞延所得稅負債,23432.0,0.64,23432.0,0.75,63468.0,2.21,,
其他非流動負債,2000.0,0.05,2000.0,0.06,30.0,0.0,,
非流動負債合計,813007.0,22.18,726581.0,23.39,304834.0,10.61,,
負債總計,1688619.0,46.06,1433749.0,46.15,1313905.0,45.75,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,1699079.0,46.35,1399079.0,45.03,1381817.0,48.11,,
待註銷股本,0.0,0.0,0.0,0.0,0.0,0.0,,
股本合計,1699079.0,46.35,1399079.0,45.03,1381817.0,48.11,,
資本公積,,,,,,,,
資本公積合計,117878.0,3.22,112490.0,3.62,90725.0,3.16,,
保留盈餘,,,,,,,,
保留盈餘合計,-517045.0,-14.1,-460595.0,-14.83,-462309.0,-16.1,,
其他權益,,,,,,,,
其他權益合計,10822.0,0.3,7272.0,0.23,1407.0,0.05,,
庫藏股票,-19632.0,-0.54,-20628.0,-0.66,-22550.0,-0.79,,
歸屬於母公司業主之權益合計,1291102.0,35.22,1037618.0,33.4,989090.0,34.44,,
共同控制下前手權益,0.0,0.0,0.0,0.0,0.0,0.0,,
非控制權益,686194.0,18.72,635309.0,20.45,569211.0,19.82,,
權益總計,1977296.0,53.94,1672927.0,53.85,1558301.0,54.25,,
負債及權益總計,3665915.0,100.0,3106676.0,100.0,2872206.0,100.0,,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,8199000.0,,8199000.0,,8199000.0,,,
