民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,208386.0,100.0,245207.0,100.0,
營業成本合計,170696.0,81.91,203762.0,83.1,
營業毛利（毛損）,37690.0,18.09,41445.0,16.9,
營業毛利（毛損）淨額,37690.0,18.09,41445.0,16.9,
營業費用,,,,,
推銷費用,15787.0,7.58,27218.0,11.1,
管理費用,55931.0,26.84,38193.0,15.58,
研究發展費用,3198.0,1.53,5845.0,2.38,
營業費用合計,74916.0,35.95,71256.0,29.06,
營業利益（損失）,-37226.0,-17.86,-29811.0,-12.16,
營業外收入及支出,,,,,
其他收入,538.0,0.26,215.0,0.09,
其他利益及損失淨額,-5223.0,-2.51,4948.0,2.02,
財務成本淨額,5044.0,2.42,5488.0,2.24,
營業外收入及支出合計,-9729.0,-4.67,-325.0,-0.13,
稅前淨利（淨損）,-46955.0,-22.53,-30136.0,-12.29,
所得稅費用（利益）合計,2124.0,1.02,3729.0,1.52,
繼續營業單位本期淨利（淨損）,-49079.0,-23.55,-33865.0,-13.81,
本期淨利（淨損）,-49079.0,-23.55,-33865.0,-13.81,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-4162.0,-2.0,5774.0,2.35,
備供出售金融資產未實現評價損益,20901.0,10.03,-2116.0,-0.86,
其他綜合損益（淨額）,16739.0,8.03,3658.0,1.49,
本期綜合損益總額,-32340.0,-15.52,-30207.0,-12.32,
母公司業主（淨利／損）,-56221.0,-26.98,-45692.0,-18.63,
非控制權益（淨利／損）,7142.0,3.43,11827.0,4.82,
母公司業主（綜合損益）,-52671.0,-25.28,-43726.0,-17.83,
非控制權益（綜合損益）,20331.0,9.76,13519.0,5.51,
基本每股盈餘,,,,,
基本每股盈餘,-0.43,,-0.36,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,-0.43,,-0.36,,
