民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,-46955.0,-30136.0,,,,
本期稅前淨利（淨損）,-46955.0,-30136.0,,,,
折舊費用,3444.0,5066.0,,,,
攤銷費用,84.0,162.0,,,,
呆帳費用提列（轉列收入）數,-47.0,0.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,2131.0,-2309.0,,,,
利息費用,5044.0,5488.0,,,,
利息收入,-538.0,-215.0,,,,
股份基礎給付酬勞成本,7425.0,0.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,7.0,-92.0,,,,
處分待出售非流動資產損失（利益）,0.0,-1321.0,,,,
處分投資損失（利益）,0.0,-4218.0,,,,
未實現外幣兌換損失（利益）,-244.0,-2806.0,,,,
收益費損項目合計,17306.0,-245.0,,,,
應收票據（增加）減少,-4724.0,8776.0,,,,
應收帳款（增加）減少,-43056.0,26847.0,,,,
其他應收款（增加）減少,145.0,646.0,,,,
存貨（增加）減少,-95216.0,-32039.0,,,,
預付款項（增加）減少,-18488.0,-31168.0,,,,
其他流動資產（增加）減少,-10752.0,5444.0,,,,
其他營業資產（增加）減少,221.0,165.0,,,,
與營業活動相關之資產之淨變動合計,-171870.0,-21329.0,,,,
應付票據增加（減少）,61091.0,-11935.0,,,,
應付帳款增加（減少）,64095.0,37882.0,,,,
其他應付款增加（減少）,-6084.0,-20673.0,,,,
預收款項增加（減少）,79050.0,38148.0,,,,
其他流動負債增加（減少）,-369.0,694.0,,,,
與營業活動相關之負債之淨變動合計,197783.0,44116.0,,,,
與營業活動相關之資產及負債之淨變動合計,25913.0,22787.0,,,,
調整項目合計,43219.0,22542.0,,,,
營運產生之現金流入（流出）,-3736.0,-7594.0,,,,
收取之利息,538.0,215.0,,,,
支付之利息,-3325.0,-4553.0,,,,
退還（支付）之所得稅,0.0,-683.0,,,,
營業活動之淨現金流入（流出）,-6523.0,-12615.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,-73936.0,0.0,,,,
處分備供出售金融資產,0.0,35333.0,,,,
處分待出售非流動資產,0.0,3759.0,,,,
取得不動產、廠房及設備,-1688.0,-96.0,,,,
處分不動產、廠房及設備,59.0,160.0,,,,
存出保證金增加,-597.0,0.0,,,,
存出保證金減少,0.0,892.0,,,,
取得無形資產,-70.0,0.0,,,,
其他非流動資產增加,-526.0,0.0,,,,
投資活動之淨現金流入（流出）,-76758.0,40048.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,0.0,39400.0,,,,
短期借款減少,-30587.0,0.0,,,,
舉借長期借款,113300.0,0.0,,,,
償還長期借款,0.0,-2689.0,,,,
現金增資,300000.0,0.0,,,,
非控制權益變動,0.0,-1222.0,,,,
籌資活動之淨現金流入（流出）,382713.0,35489.0,,,,
匯率變動對現金及約當現金之影響,-2944.0,7734.0,,,,
本期現金及約當現金增加（減少）數,296488.0,70656.0,,,,
期初現金及約當現金餘額,792932.0,772306.0,,,,
期末現金及約當現金餘額,1089420.0,842962.0,,,,
資產負債表帳列之現金及約當現金,1089420.0,842962.0,,,,
