會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,-53043.0,70039.0,676158.0,793506.0
本期稅前淨利（淨損）,-53043.0,70039.0,676158.0,793506.0
折舊費用,5797.0,11848.0,18054.0,24159.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,786.0,1897.0,2320.0,2279.0
利息費用,18750.0,45049.0,69309.0,87291.0
利息收入,-1.0,-498.0,-509.0,-2699.0
股利收入,25332.0,58296.0,-506.0,-506.0
收益費損項目合計,-1960.0,-3961.0,88668.0,110524.0
強制透過損益按公允價值衡量之金融資產（增加）減少,1150.0,-1270.0,-2724.0,-4724.0
應收票據（增加）減少,0.0,-10.0,-1700.0,-1311.0
應收帳款（增加）減少,-12.0,-28.0,-100.0,0.0
其他應收款（增加）減少,-432912.0,-392573.0,-130.0,-295.0
存貨（增加）減少,-12398.0,-27187.0,808318.0,690682.0
其他流動資產（增加）減少,-32520.0,-8451.0,-8377.0,18944.0
其他金融資產（增加）減少,-12406.0,-1381.0,273007.0,373132.0
取得合約之增額成本（增加）減少,-491058.0,-434861.0,36232.0,30556.0
與營業活動相關之資產之淨變動合計,30600.0,101348.0,1104526.0,1106984.0
合約負債增加（減少）,-33103.0,-41694.0,-314126.0,-363255.0
應付票據增加（減少）,137.0,111089.0,-25206.0,-7994.0
應付帳款增加（減少）,-30165.0,282.0,110263.0,92343.0
其他應付款增加（減少）,-1215.0,79018.0,56482.0,48800.0
其他流動負債增加（減少）,-33746.0,250043.0,32912.0,12229.0
與營業活動相關之負債之淨變動合計,-524804.0,-184818.0,-139675.0,-217877.0
與營業活動相關之資產及負債之淨變動合計,-499472.0,-126522.0,964851.0,889107.0
調整項目合計,-552515.0,-56483.0,1053519.0,999631.0
營運產生之現金流入（流出）,1.0,498.0,1729677.0,1793137.0
收取之利息,-34158.0,-78876.0,509.0,2699.0
支付之利息,116.0,-3035.0,-121347.0,-157898.0
退還（支付）之所得稅,-586556.0,-137896.0,-4610.0,-4819.0
營業活動之淨現金流入（流出）,,,1604229.0,1633119.0
投資活動之現金流量,0.0,0.0,,
取得不動產、廠房及設備,0.0,16.0,-2113.0,-2111.0
存出保證金增加,0.0,-614.0,-3011.0,-4817.0
存出保證金減少,0.0,0.0,0.0,0.0
取得投資性不動產,,-598.0,-782.0,-9674.0
收取之股利,110000.0,,506.0,506.0
其他投資活動,-277815.0,431000.0,0.0,0.0
投資活動之淨現金流入（流出）,140000.0,-486130.0,-5400.0,-16096.0
籌資活動之現金流量,-29500.0,140000.0,,
短期借款增加,529400.0,-139000.0,830985.0,1245485.0
短期借款減少,-48.0,0.0,-1094445.0,-1394441.0
應付短期票券增加,-945.0,1240100.0,249500.0,359000.0
應付短期票券減少,471092.0,-775870.0,-1019500.0,-1019500.0
發行公司債,0.0,-148.0,0.0,0.0
舉借長期借款,-115464.0,-2081.0,1439350.0,1439350.0
償還長期借款,530554.0,407871.0,-1466980.0,-1466980.0
存入保證金增加,415090.0,0.0,993.0,993.0
租賃本金償還,415090.0,269377.0,0.0,-4570.0
