會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,15.0,100.0,455699.0,100.0,1.0,100.0,595265.0,100.0
營業成本合計,35.0,233.33,24384.0,5.35,0.0,0.0,147124.0,24.72
營業毛利（毛損）,-20.0,-133.33,431315.0,94.65,1.0,100.0,448141.0,75.28
營業毛利（毛損）淨額,-20.0,-133.33,431315.0,94.65,1.0,100.0,448141.0,75.28
營業費用,,,,,,,,
管理費用,3655.0,9999.99,4392.0,0.96,685.0,9999.99,9368.0,1.57
營業費用合計,3655.0,9999.99,12096.0,2.65,3729.0,9999.99,22150.0,3.72
營業利益（損失）,-3675.0,-9999.99,16488.0,3.62,4414.0,9999.99,31518.0,5.29
營業外收入及支出,,,414827.0,91.03,-4413.0,-9999.99,416623.0,69.99
利息收入,2.0,13.33,,,,,,
其他利益及損失淨額,11656.0,9999.99,68.0,0.01,9.0,900.0,578.0,0.1
財務成本淨額,6857.0,9999.99,7185.0,1.58,-1237.0,-9999.99,21826.0,3.67
營業外收入及支出合計,4801.0,9999.99,17562.0,3.85,16429.0,9999.99,58747.0,9.87
稅前淨利（淨損）,1126.0,7506.67,-10309.0,-2.26,-17657.0,-9999.99,-36343.0,-6.11
所得稅費用（利益）合計,0.0,0.0,404518.0,88.77,-22070.0,-9999.99,380280.0,63.88
繼續營業單位本期淨利（淨損）,1126.0,7506.67,5033.0,1.1,1.0,100.0,6731.0,1.13
本期淨利（淨損）,1126.0,7506.67,399485.0,87.66,-22071.0,-9999.99,373549.0,62.75
本期綜合損益總額,1126.0,7506.67,399485.0,87.66,-22071.0,-9999.99,373549.0,62.75
基本每股盈餘,,,399485.0,87.66,-22071.0,-9999.99,373549.0,62.75
基本每股盈餘,0.02,,,,,,,
稀釋每股盈餘,,,5.61,,-0.31,,5.17,
稀釋每股盈餘,0.02,,,,,,,
