會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,39143.0,-4795.0,-8129.0,-9022.0
本期稅前淨利（淨損）,39143.0,-4795.0,-8129.0,-9022.0
折舊費用,903.0,1859.0,2799.0,3725.0
攤銷費用,0.0,0.0,44.0,89.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-48401.0,-13246.0,-11546.0,-19501.0
利息費用,749.0,1490.0,2172.0,2687.0
利息收入,0.0,-18.0,-19.0,-89.0
股利收入,-95.0,-95.0,-7555.0,-9197.0
處分及報廢不動產、廠房及設備損失（利益）,-16654.0,-18983.0,-152.0,-152.0
非金融資產減損損失,-63498.0,-28993.0,-25109.0,-26347.0
收益費損項目合計,-141581.0,-146452.0,-39366.0,-48785.0
強制透過損益按公允價值衡量之金融資產（增加）減少,130716.0,141518.0,-84767.0,-125359.0
存貨（增加）減少,-11368.0,-9885.0,201172.0,170055.0
其他流動資產（增加）減少,-22233.0,-14819.0,-2596.0,-22804.0
與營業活動相關之資產之淨變動合計,-22343.0,-8438.0,113809.0,21892.0
合約負債增加（減少）,-4468.0,-1545.0,-27230.0,2673.0
應付票據增加（減少）,-2850.0,-6191.0,-997.0,20597.0
應付帳款增加（減少）,-1294.0,-2000.0,-5231.0,-3857.0
其他應付款增加（減少）,-702.0,-974.0,-3746.0,-4433.0
其他流動負債增加（減少）,-31657.0,-19148.0,1593.0,-1185.0
與營業活動相關之負債之淨變動合計,-53890.0,-33967.0,-35611.0,13795.0
與營業活動相關之資產及負債之淨變動合計,-117388.0,-62960.0,78198.0,35687.0
調整項目合計,-78245.0,-67755.0,38832.0,-13098.0
營運產生之現金流入（流出）,0.0,18.0,30703.0,-22120.0
收取之利息,-749.0,-1476.0,19.0,89.0
支付之利息,-78994.0,-570.0,-2172.0,-2687.0
退還（支付）之所得稅,,-69783.0,-570.0,-572.0
營業活動之淨現金流入（流出）,0.0,,27980.0,-25290.0
投資活動之現金流量,-1270.0,0.0,,
取得按攤銷後成本衡量之金融資產,95.0,-2330.0,-14520.0,-42233.0
處分按攤銷後成本衡量之金融資產,74701.0,95.0,0.0,0.0
取得不動產、廠房及設備,73526.0,-347.0,-2489.0,-3929.0
處分不動產、廠房及設備,,74701.0,152.0,152.0
其他非流動資產增加,-982.0,72119.0,-339.0,-870.0
收取之股利,-982.0,,-532.0,83898.0
投資活動之淨現金流入（流出）,-6450.0,0.0,7555.0,37018.0
籌資活動之現金流量,14657.0,40.0,-10173.0,
短期借款增加,8207.0,-1597.0,,-16000.0
存入保證金增加,8207.0,-1557.0,-16000.0,40.0
