會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,175817.0,2.47,317112.0,3.94,84679.0,0.96,141378.0,1.31
透過損益按公允價值衡量之金融資產－流動,4066.0,0.06,32268.0,0.4,3725.0,0.04,3869.0,0.04
應收票據淨額,3400.0,0.05,7165.0,0.09,2961.0,0.03,4018.0,0.04
應收帳款淨額,53277.0,0.75,49677.0,0.62,51951.0,0.59,40922.0,0.38
其他應收款淨額,7193.0,0.1,7467.0,0.09,9128.0,0.1,30105.0,0.28
存貨,4280059.0,60.04,4837077.0,60.08,6040657.0,68.25,7888324.0,72.88
其他流動資產,109687.0,1.54,278507.0,3.46,141084.0,1.59,150880.0,1.39
流動資產合計,4633499.0,65.0,5529273.0,68.67,6334185.0,71.57,8259496.0,76.31
非流動資產,,,,,,,,
採用權益法之投資,69997.0,0.98,67976.0,0.84,65987.0,0.75,63939.0,0.59
不動產、廠房及設備,65741.0,0.92,65773.0,0.82,62777.0,0.71,62054.0,0.57
使用權資產,6671.0,0.09,5545.0,0.07,4420.0,0.05,3294.0,0.03
投資性不動產淨額,2181400.0,30.6,2181400.0,27.09,2181400.0,24.65,2232100.0,20.62
其他非流動資產,171312.0,2.4,201484.0,2.5,201674.0,2.28,202565.0,1.87
非流動資產合計,2495121.0,35.0,2522178.0,31.33,2516258.0,28.43,2563952.0,23.69
資產總額,7128620.0,100.0,8051451.0,100.0,8850443.0,100.0,10823448.0,100.0
流動負債,,,,,,,,
短期借款,2633042.0,36.94,3582039.0,44.49,4526899.0,51.15,6349919.0,58.67
合約負債－流動,78012.0,1.09,77319.0,0.96,87297.0,0.99,113652.0,1.05
應付票據,24330.0,0.34,15076.0,0.19,4841.0,0.05,10412.0,0.1
應付帳款,1918.0,0.03,1699.0,0.02,55032.0,0.62,54773.0,0.51
應付帳款－關係人,0.0,0.0,230918.0,2.87,82620.0,0.93,57178.0,0.53
其他應付款,83416.0,1.17,10348.0,0.13,17733.0,0.2,72205.0,0.67
其他應付款項－關係人,7211.0,0.1,6233.0,0.08,6233.0,0.07,68165.0,0.63
租賃負債－流動,4623.0,0.06,4346.0,0.05,3637.0,0.04,2157.0,0.02
其他流動負債,69859.0,0.98,70425.0,0.87,69085.0,0.78,2920.0,0.03
流動負債合計,2902411.0,40.71,3998403.0,49.66,4853377.0,54.84,69751.0,0.64
非流動負債,,,,,,,6801132.0,62.84
應付公司債,495005.0,6.94,495560.0,6.15,496115.0,5.61,,
長期借款,1890384.0,26.52,1891104.0,23.49,1862184.0,21.04,496670.0,4.59
遞延所得稅負債,131774.0,1.85,131774.0,1.64,131774.0,1.49,1862905.0,17.21
租賃負債－非流動,2244.0,0.03,1380.0,0.02,939.0,0.01,129152.0,1.19
其他非流動負債,4073.0,0.06,4913.0,0.06,5783.0,0.07,495.0,0.0
非流動負債合計,2523480.0,35.4,2524731.0,31.36,2496795.0,28.21,5783.0,0.05
負債總額,5425891.0,76.11,6523134.0,81.02,7350172.0,83.05,2495005.0,23.05
歸屬於母公司業主之權益,,,,,,,9296137.0,85.89
股本,,,,,,,,
普通股股本,937200.0,13.15,937200.0,11.64,937200.0,10.59,,
股本合計,937200.0,13.15,937200.0,11.64,937200.0,10.59,937200.0,8.66
資本公積,,,,,,,937200.0,8.66
資本公積合計,18377.0,0.26,18377.0,0.23,18377.0,0.21,,
保留盈餘,,,,,,,18377.0,0.17
法定盈餘公積,28591.0,0.4,74040.0,0.92,74040.0,0.84,,
特別盈餘公積,254824.0,3.57,407511.0,5.06,407511.0,4.6,74040.0,0.68
未分配盈餘（或待彌補虧損）,463737.0,6.51,91189.0,1.13,63143.0,0.71,407511.0,3.77
保留盈餘合計,747152.0,10.48,572740.0,7.11,544694.0,6.15,90183.0,0.83
其他權益,,,1528317.0,18.98,1500271.0,16.95,571734.0,5.28
其他權益合計,0.0,0.0,1528317.0,18.98,1500271.0,16.95,1527311.0,14.11
歸屬於母公司業主之權益合計,1702729.0,23.89,8051451.0,100.0,8850443.0,100.0,1527311.0,14.11
權益總額,1702729.0,23.89,0.0,,0.0,,10823448.0,100.0
負債及權益總計,7128620.0,100.0,0.0,,0.0,,0.0,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,0.0,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,,,,,0.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,,,,,,
