會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,202892.0,100.0,253745.0,100.0,226733.0,100.0,1169012.0,100.0
營業成本合計,168030.0,82.82,220581.0,86.93,231747.0,102.21,1060821.0,90.75
營業毛利（毛損）,34862.0,17.18,33164.0,13.07,-5014.0,-2.21,108191.0,9.25
營業毛利（毛損）淨額,34862.0,17.18,33164.0,13.07,-5014.0,-2.21,108191.0,9.25
營業費用,,,,,,,,
推銷費用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
管理費用,31939.0,15.74,26364.0,10.39,25671.0,11.32,115121.0,9.85
營業費用合計,31939.0,15.74,26364.0,10.39,25671.0,11.32,115121.0,9.85
營業利益（損失）,2923.0,1.44,6800.0,2.68,-30685.0,-13.53,-6930.0,-0.59
營業外收入及支出,,,,,,,,
利息收入,168.0,0.08,515.0,0.2,603.0,0.27,2863.0,0.24
其他收入,6773.0,3.34,8096.0,3.19,10686.0,4.71,32116.0,2.75
其他利益及損失淨額,-2546.0,-1.25,-1793.0,-0.71,6927.0,3.06,-13713.0,-1.17
財務成本淨額,3658.0,1.8,4274.0,1.68,4406.0,1.94,16773.0,1.43
營業外收入及支出合計,737.0,0.36,2544.0,1.0,13810.0,6.09,4493.0,0.38
稅前淨利（淨損）,3660.0,1.8,9344.0,3.68,-16875.0,-7.44,-2437.0,-0.21
所得稅費用（利益）合計,1964.0,0.97,1414.0,0.56,-5369.0,-2.37,-5720.0,-0.49
繼續營業單位本期淨利（淨損）,1696.0,0.84,7930.0,3.13,-11506.0,-5.07,3283.0,0.28
停業單位損益,,,,,,,,
停業單位損益合計,152.0,0.07,7.0,0.0,0.0,0.0,434.0,0.04
本期淨利（淨損）,1848.0,0.91,7937.0,3.13,-11506.0,-5.07,3717.0,0.32
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-2423.0,-1.19,177.0,0.07,0.0,0.0,0.0,0.0
不重分類至損益之項目：,-2423.0,-1.19,177.0,0.07,-354.0,-0.16,-1359.0,-0.12
國外營運機構財務報表換算之兌換差額,3700.0,1.82,-2096.0,-0.83,0.0,0.0,0.0,0.0
與可能重分類之項目相關之所得稅,740.0,0.36,-419.0,-0.17,-354.0,-0.16,-1359.0,-0.12
後續可能重分類至損益之項目：,2960.0,1.46,-1677.0,-0.66,-187.0,-0.08,6555.0,0.56
其他綜合損益（淨額）,537.0,0.26,-1500.0,-0.59,-37.0,-0.02,1311.0,0.11
本期綜合損益總額,2385.0,1.18,6437.0,2.54,-150.0,-0.07,5244.0,0.45
淨利（損）歸屬於：,,,,,-504.0,-0.22,3885.0,0.33
母公司業主（淨利∕損）,1848.0,0.91,7937.0,3.13,-12010.0,-5.3,7602.0,0.65
母公司業主（綜合損益）,2385.0,1.18,6437.0,2.54,,,,
基本每股盈餘,,,,,-11506.0,-5.07,3717.0,0.32
繼續營業單位淨利（淨損）,0.07,,0.32,,-12010.0,-5.3,7602.0,0.65
停業單位淨利（淨損）,0.0,,0.0,,,,,
基本每股盈餘,0.07,,0.32,,-0.46,,0.13,
稀釋每股盈餘,,,,,0.0,,0.02,
繼續營業單位淨利（淨損）,0.07,,0.32,,-0.46,,0.15,
停業單位淨利（淨損）,0.0,,0.0,,,,,
稀釋每股盈餘,0.07,,0.32,,-0.46,,0.13,
