會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,24777953.0,100.0,24058036.0,100.0,26826804.0,100.0,98622877.0,100.0
營業成本合計,19621202.0,79.19,18832023.0,78.28,21233705.0,79.15,77639710.0,78.72
營業毛利（毛損）,5156751.0,20.81,5226013.0,21.72,5593099.0,20.85,20983167.0,21.28
營業毛利（毛損）淨額,5156751.0,20.81,5226013.0,21.72,5593099.0,20.85,20983167.0,21.28
營業費用,,,,,,,,
推銷費用,1541632.0,6.22,1584055.0,6.58,1606605.0,5.99,6193821.0,6.28
管理費用,873501.0,3.53,805764.0,3.35,900663.0,3.36,3474481.0,3.52
研究發展費用,1061392.0,4.28,998435.0,4.15,981842.0,3.66,3940687.0,4.0
營業費用合計,3476525.0,14.03,3388254.0,14.08,3489110.0,13.01,13608989.0,13.8
營業利益（損失）,1680226.0,6.78,1837759.0,7.64,2103989.0,7.84,7374178.0,7.48
營業外收入及支出,,,,,,,,
利息收入,58725.0,0.24,81134.0,0.34,105376.0,0.39,375404.0,0.38
其他收入,154398.0,0.62,149985.0,0.62,141310.0,0.53,684607.0,0.69
其他利益及損失淨額,81355.0,0.33,-186797.0,-0.78,4737.0,0.02,-709887.0,-0.72
財務成本淨額,126374.0,0.51,155482.0,0.65,217861.0,0.81,779988.0,0.79
採用權益法認列之關聯企業及合資損益之份額淨額,2736.0,0.01,5280.0,0.02,4009.0,0.01,26362.0,0.03
營業外收入及支出合計,170840.0,0.69,-105880.0,-0.44,37571.0,0.14,-403502.0,-0.41
稅前淨利（淨損）,1851066.0,7.47,1731879.0,7.2,2141560.0,7.98,6970676.0,7.07
所得稅費用（利益）合計,475108.0,1.92,573561.0,2.38,614871.0,2.29,1978416.0,2.01
繼續營業單位本期淨利（淨損）,1375958.0,5.55,1158318.0,4.81,1526689.0,5.69,4992260.0,5.06
本期淨利（淨損）,1375958.0,5.55,1158318.0,4.81,1526689.0,5.69,4992260.0,5.06
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-1747.0,-0.01,-2597.0,-0.01,-613.0,0.0,126331.0,0.13
不重分類至損益之項目：,-1747.0,-0.01,-2597.0,-0.01,-613.0,0.0,-5245.0,-0.01
國外營運機構財務報表換算之兌換差額,3092692.0,12.48,-1068429.0,-4.44,832542.0,3.1,2847.0,0.0
與可能重分類之項目相關之所得稅,614276.0,2.48,-211810.0,-0.88,165495.0,0.62,25266.0,0.03
後續可能重分類至損益之項目：,2478416.0,10.0,-856619.0,-3.56,667047.0,2.49,98667.0,0.1
其他綜合損益（淨額）,2476669.0,10.0,-859216.0,-3.57,666434.0,2.48,2161386.0,2.19
本期綜合損益總額,3852627.0,15.55,299102.0,1.24,2193123.0,8.18,430601.0,0.44
淨利（損）歸屬於：,,,,,,,1730785.0,1.75
母公司業主（淨利∕損）,1374352.0,5.55,1147977.0,4.77,1510303.0,5.63,1829452.0,1.85
非控制權益（淨利∕損）,1606.0,0.01,10341.0,0.04,16386.0,0.06,6821712.0,6.92
母公司業主（綜合損益）,3829709.0,15.46,298140.0,1.24,2171670.0,8.1,,
非控制權益（綜合損益）,22918.0,0.09,962.0,0.0,21453.0,0.08,4961369.0,5.03
基本每股盈餘,,,,,,,30891.0,0.03
繼續營業單位淨利（淨損）,0.42,,0.35,,0.47,,6782442.0,6.88
基本每股盈餘,0.42,,0.35,,0.47,,39270.0,0.04
稀釋每股盈餘,,,,,,,,
繼續營業單位淨利（淨損）,0.42,,0.35,,0.47,,1.53,
稀釋每股盈餘,0.42,,0.35,,0.47,,1.53,
