會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,9448922.0,100.0,10451122.0,100.0,10363215.0,100.0,38617881.0,100.0
營業成本合計,7909610.0,83.71,8750862.0,83.73,8930082.0,86.17,32947434.0,85.32
營業毛利（毛損）,1539312.0,16.29,1700260.0,16.27,1433133.0,13.83,5670447.0,14.68
營業毛利（毛損）淨額,1539312.0,16.29,1700260.0,16.27,1433133.0,13.83,5670447.0,14.68
營業費用,,,,,,,,
推銷費用,652635.0,6.91,666820.0,6.38,664457.0,6.41,2563037.0,6.64
管理費用,297221.0,3.15,379200.0,3.63,348024.0,3.36,1378017.0,3.57
研究發展費用,388609.0,4.11,344375.0,3.3,392233.0,3.78,1490297.0,3.86
預期信用減損損失（利益）,-8668.0,-0.09,2167.0,0.02,17593.0,0.17,8243.0,0.02
營業費用合計,1329797.0,14.07,1392562.0,13.32,1422307.0,13.72,5439594.0,14.09
其他收益及費損淨額,,,,,,,,
其他收益及費損淨額,-298.0,0.0,-2.0,0.0,0.0,0.0,-300.0,0.0
營業利益（損失）,209217.0,2.21,307696.0,2.94,10826.0,0.1,230553.0,0.6
營業外收入及支出,,,,,,,,
利息收入,37521.0,0.4,31256.0,0.3,38910.0,0.38,154479.0,0.4
其他收入,29700.0,0.31,96411.0,0.92,29067.0,0.28,222189.0,0.58
其他利益及損失淨額,58583.0,0.62,219828.0,2.1,340762.0,3.29,455793.0,1.18
財務成本淨額,66094.0,0.7,72410.0,0.69,104430.0,1.01,372672.0,0.97
採用權益法認列之關聯企業及合資損益之份額淨額,-214.0,0.0,1290.0,0.01,2017.0,0.02,20914.0,0.05
營業外收入及支出合計,59496.0,0.63,276375.0,2.64,306326.0,2.96,480703.0,1.24
稅前淨利（淨損）,268713.0,2.84,584071.0,5.59,317152.0,3.06,711256.0,1.84
所得稅費用（利益）合計,81513.0,0.86,125644.0,1.2,85767.0,0.83,373105.0,0.97
繼續營業單位本期淨利（淨損）,187200.0,1.98,458427.0,4.39,231385.0,2.23,338151.0,0.88
本期淨利（淨損）,187200.0,1.98,458427.0,4.39,231385.0,2.23,338151.0,0.88
其他綜合損益(淨額),,,,,,,,
國外營運機構財務報表換算之兌換差額,868811.0,9.19,-1259.0,-0.01,0.0,0.0,95656.0,0.25
與可能重分類之項目相關之所得稅,173762.0,1.84,-1259.0,-0.01,0.0,0.0,33036.0,0.09
後續可能重分類至損益之項目：,695049.0,7.36,207167.0,1.98,904648.0,8.73,19292.0,0.05
其他綜合損益（淨額）,695049.0,7.36,41434.0,0.4,180930.0,1.75,109400.0,0.28
本期綜合損益總額,882249.0,9.34,165733.0,1.59,723718.0,6.98,1383084.0,3.58
淨利（損）歸屬於：,,,164474.0,1.57,723718.0,6.98,276617.0,0.72
母公司業主（淨利∕損）,187200.0,1.98,622901.0,5.96,955103.0,9.22,1106467.0,2.87
母公司業主（綜合損益）,882249.0,9.34,,,,,1215867.0,3.15
基本每股盈餘,,,458427.0,4.39,231385.0,2.23,1554018.0,4.02
繼續營業單位淨利（淨損）,0.21,,0.0,0.0,0.0,0.0,,
基本每股盈餘,0.21,,622901.0,5.96,955103.0,9.22,338151.0,0.88
稀釋每股盈餘,,,0.0,0.0,0.0,0.0,1554020.0,4.02
繼續營業單位淨利（淨損）,0.21,,,,,,-2.0,0.0
稀釋每股盈餘,0.21,,0.5,,0.25,,,
