會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,173841.0,447457.0,816522.0,830297.0
本期稅前淨利（淨損）,173841.0,447457.0,816522.0,830297.0
折舊費用,26598.0,52862.0,78504.0,104363.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-305.0,102.0,-35.0,-751.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,984.0,2056.0,1570.0,1990.0
利息費用,1352.0,3027.0,6013.0,8789.0
利息收入,-2025.0,-5224.0,-11739.0,-25417.0
股利收入,-37.0,-93897.0,-287149.0,-297907.0
採用權益法認列之關聯企業及合資損失（利益）之份額,-1778.0,266.0,-7492.0,-5476.0
處分及報廢不動產、廠房及設備損失（利益）,-74.0,-57.0,-57.0,-57.0
非金融資產減損損失,24715.0,-979.0,-1953.0,18845.0
未實現外幣兌換損失（利益）,-19460.0,-41844.0,-222338.0,-1454.0
收益費損項目合計,-44408.0,-34521.0,-19198.0,-197075.0
應收票據（增加）減少,-22365.0,-8062.0,383.0,-45306.0
應收帳款（增加）減少,-22260.0,-172.0,-3527.0,35254.0
其他應收款（增加）減少,-7128.0,-9245.0,-20577.0,-2057.0
存貨（增加）減少,-2090.0,-8722.0,-10046.0,631.0
預付費用（增加）減少,202610.0,-517.0,-1051.0,-6203.0
其他流動資產（增加）減少,84899.0,5116.0,57156.0,-279.0
其他營業資產（增加）減少,-21092.0,-56123.0,3140.0,-865710.0
與營業活動相關之資產之淨變動合計,-10711.0,-33160.0,-31536.0,-883670.0
合約負債增加（減少）,26550.0,5867.0,5546.0,-50221.0
應付票據增加（減少）,-20772.0,3433.0,4745.0,-1152.0
應付帳款增加（減少）,-1707.0,-5659.0,-19989.0,-1415.0
其他應付款增加（減少）,-430.0,0.0,0.0,5132.0
預收款項增加（減少）,-39.0,-1593.0,-1243.0,0.0
其他流動負債增加（減少）,-28201.0,-73.0,-105.0,-836.0
淨確定福利負債增加(減少),56698.0,-31185.0,-42582.0,-139.0
與營業活動相關之負債之淨變動合計,81413.0,-87308.0,-39442.0,-48631.0
與營業活動相關之資產及負債之淨變動合計,255254.0,-129152.0,-261780.0,-932301.0
調整項目合計,1330.0,318305.0,554742.0,-1129376.0
營運產生之現金流入（流出）,37.0,5337.0,10905.0,-299079.0
收取之利息,-1352.0,161.0,287149.0,23152.0
收取之股利,-6163.0,-3027.0,-6013.0,297907.0
支付之利息,249106.0,-27361.0,-31722.0,-8789.0
退還（支付）之所得稅,,293415.0,815061.0,-34602.0
營業活動之淨現金流入（流出）,-37358.0,,,-21411.0
投資活動之現金流量,27587.0,-388922.0,-420391.0,
取得透過其他綜合損益按公允價值衡量之金融資產,0.0,61075.0,61075.0,-482646.0
處分透過其他綜合損益按公允價值衡量之金融資產,-2002.0,0.0,2000.0,83212.0
透過其他綜合損益按公允價值衡量之金融資產減資退回股款,0.0,-2948.0,0.0,2000.0
取得透過損益按公允價值衡量之金融資產,-135380.0,57.0,-4878.0,0.0
處分透過損益按公允價值衡量之金融資產,0.0,-750.0,57.0,0.0
取得不動產、廠房及設備,-2924.0,-104800.0,-750.0,-27218.0
處分不動產、廠房及設備,0.0,0.0,27620.0,57.0
存出保證金增加,-150077.0,211.0,317.0,-750.0
其他金融資產減少,,-3030.0,-9602.0,27620.0
其他非流動資產增加,100000.0,-439107.0,-344552.0,0.0
其他非流動資產減少,0.0,,,2949.0
投資活動之淨現金流入（流出）,-139887.0,180000.0,340000.0,-394776.0
籌資活動之現金流量,2952.0,0.0,0.0,
短期借款增加,-1168.0,-79976.0,-119928.0,825000.0
應付短期票券增加,-38103.0,3804.0,3971.0,0.0
應付短期票券減少,-2496.0,0.0,-3957.0,-119990.0
存入保證金增加,58430.0,-2340.0,-410791.0,4118.0
租賃本金償還,2012367.0,0.0,-105816.0,-5391.0
發放現金股利,2070797.0,101488.0,-296521.0,-410791.0
庫藏股票買回成本,2070797.0,26.0,-26.0,-105816.0
