會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,19385675.0,,24419915.0,100.0,22401293.0,100.0,89347637.0,100.0
營業成本合計,14727174.0,,16343704.0,66.93,16031157.0,71.56,63746928.0,71.35
營業毛利（毛損）,4658501.0,,8076211.0,33.07,6370136.0,28.44,25600709.0,28.65
已實現銷貨（損）益,0.0,,0.0,0.0,-9.0,0.0,14392.0,0.02
營業毛利（毛損）淨額,4658501.0,,8076211.0,33.07,6370127.0,28.44,0.0,0.0
營業費用,,,,,,,25586317.0,28.64
管理費用,873760.0,,967039.0,3.96,741998.0,3.31,,
預期信用減損損失（利益）,7005.0,,18316.0,0.08,296501.0,1.32,3332110.0,3.73
營業費用合計,880765.0,,985355.0,4.04,1038499.0,4.64,191031.0,0.21
營業利益（損失）,3777736.0,,7090856.0,29.04,5331628.0,23.8,3523141.0,3.94
營業外收入及支出,,,,,,,22063176.0,24.69
其他收入,326943.0,,844682.0,3.46,423313.0,1.89,,
其他利益及損失淨額,779157.0,,443081.0,1.81,-427228.0,-1.91,1998600.0,2.24
財務成本淨額,475195.0,,500809.0,2.05,451451.0,2.02,661654.0,0.74
採用權益法認列之關聯企業及合資損益之份額淨額,334770.0,,2045598.0,8.38,1980446.0,8.84,1820623.0,2.04
營業外收入及支出合計,965675.0,,2832552.0,11.6,1525080.0,6.81,5490375.0,6.14
稅前淨利（淨損）,4743411.0,,9923408.0,40.64,6856708.0,30.61,6330006.0,7.08
所得稅費用（利益）合計,933325.0,,2298553.0,9.41,1355111.0,6.05,28393182.0,31.78
繼續營業單位本期淨利（淨損）,3810086.0,,7624855.0,31.22,5501597.0,24.56,6149229.0,6.88
本期淨利（淨損）,3810086.0,,7624855.0,31.22,5501597.0,24.56,22243953.0,24.9
其他綜合損益(淨額),,,,,,,22243953.0,24.9
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,612612.0,,492494.0,2.02,233755.0,1.04,,
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,762876.0,,696011.0,2.85,-263761.0,-1.18,486711.0,0.54
不重分類至損益之項目：,1375488.0,,1188505.0,4.87,-30006.0,-0.13,1193292.0,1.34
國外營運機構財務報表換算之兌換差額,1268100.0,,-855192.0,-3.5,-1768550.0,-7.89,1778252.0,1.99
採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,529532.0,,-106485.0,-0.44,-679112.0,-3.03,3458255.0,3.87
可能重分類至損益之其他項目,0.0,,0.0,0.0,0.0,0.0,-2635629.0,-2.95
後續可能重分類至損益之項目：,1797632.0,,-961677.0,-3.94,-2447662.0,-10.93,-1439930.0,-1.61
其他綜合損益（淨額）,3173120.0,,226828.0,0.93,-2477668.0,-11.06,0.0,0.0
本期綜合損益總額,6983206.0,,7851683.0,32.15,3023929.0,13.5,-4075559.0,-4.56
淨利（損）歸屬於：,,,,,,,-617304.0,-0.69
母公司業主（淨利∕損）,2929272.0,,6189745.0,25.35,4339565.0,19.37,21626649.0,24.21
非控制權益（淨利∕損）,880814.0,,1435110.0,5.88,1162032.0,5.19,,
母公司業主（綜合損益）,5724687.0,,6673804.0,27.33,2384468.0,10.64,17459673.0,19.54
非控制權益（綜合損益）,1258519.0,,1177879.0,4.82,639461.0,2.85,4784280.0,5.35
基本每股盈餘,,,,,,,17652536.0,19.76
基本每股盈餘,0.93,,1.97,,1.38,,3974113.0,4.45
稀釋每股盈餘,,,,,,,,
稀釋每股盈餘,0.89,,1.86,,1.36,,5.56,
