會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,157355.0,477212.0,729352.0,1198678.0
本期稅前淨利（淨損）,157355.0,477212.0,729352.0,1198678.0
折舊費用,32560.0,64480.0,96345.0,128926.0
攤銷費用,436.0,867.0,1335.0,1795.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,433.0,923.0,2888.0,1315.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-174.0,-203.0,-177.0,-212.0
利息費用,9184.0,16537.0,24780.0,32908.0
利息收入,-704.0,-825.0,-1075.0,0.0
採用權益法認列之關聯企業及合資損失（利益）之份額,-155425.0,-149292.0,-151662.0,-1854.0
處分及報廢不動產、廠房及設備損失（利益）,0.0,-306013.0,-514602.0,-151662.0
收益費損項目合計,-113690.0,98.0,98.0,-868297.0
合約資產（增加）減少,-2713.0,-373428.0,-542070.0,156.0
應收票據（增加）減少,96629.0,-4391.0,-1096.0,-856925.0
應收帳款（增加）減少,44627.0,33352.0,134680.0,5798.0
其他應收款（增加）減少,-4501.0,4676.0,43957.0,23976.0
存貨（增加）減少,-14336.0,-869.0,-39.0,-86622.0
預付款項（增加）減少,-11342.0,-21393.0,12547.0,26123.0
其他流動資產（增加）減少,-1904.0,-24604.0,-14057.0,29711.0
與營業活動相關之資產之淨變動合計,106460.0,-958.0,-79911.0,-10640.0
合約負債增加（減少）,1414.0,-14187.0,96081.0,-2587.0
應付票據增加（減少）,-31061.0,-928.0,436.0,-14241.0
應付帳款增加（減少）,-88859.0,-58507.0,-79397.0,73.0
其他應付款增加（減少）,-34579.0,-70821.0,-91387.0,-36142.0
其他流動負債增加（減少）,5281.0,-27827.0,-29679.0,7376.0
淨確定福利負債增加(減少),-21103.0,4682.0,12894.0,13336.0
與營業活動相關之負債之淨變動合計,-168907.0,-21276.0,-21133.0,9877.0
與營業活動相關之資產及負債之淨變動合計,-62447.0,-174677.0,-208266.0,-20072.0
調整項目合計,-176137.0,-188864.0,-112185.0,-25552.0
營運產生之現金流入（流出）,-18782.0,-562292.0,-654255.0,-39793.0
收取之利息,718.0,-85080.0,75097.0,-896718.0
退還（支付）之所得稅,1609.0,853.0,1103.0,301960.0
營業活動之淨現金流入（流出）,-16455.0,33494.0,511361.0,1868.0
投資活動之現金流量,,-53551.0,-65139.0,511362.0
取得透過其他綜合損益按公允價值衡量之金融資產,-40533.0,-104284.0,522422.0,-65313.0
取得按攤銷後成本衡量之金融資產,-137.0,,,749877.0
處分按攤銷後成本衡量之金融資產,72.0,-80804.0,-80804.0,
處分透過損益按公允價值衡量之金融資產,0.0,0.0,2295.0,-80804.0
取得不動產、廠房及設備,-65236.0,-11535.0,-12976.0,2295.0
處分不動產、廠房及設備,0.0,6817.0,6833.0,-20872.0
取得無形資產,-435.0,0.0,0.0,13498.0
其他非流動資產增加,-1.0,-125172.0,0.0,0.0
其他非流動資產減少,0.0,0.0,-187950.0,0.0
投資活動之淨現金流入（流出）,-106270.0,-941.0,0.0,-243530.0
籌資活動之現金流量,,-1.0,-1101.0,13.0
短期借款增加,55000.0,0.0,-1.0,-1101.0
應付短期票券增加,15000.0,-211636.0,0.0,-78780.0
存入保證金增加,12.0,,-273704.0,-1.0
存入保證金減少,-72.0,85000.0,,-409282.0
租賃本金償還,-9273.0,140000.0,-155000.0,
支付之利息,-9214.0,1597.0,575000.0,255000.0
非控制權益變動,0.0,-1656.0,1597.0,115000.0
籌資活動之淨現金流入（流出）,51453.0,-20321.0,-1668.0,2767.0
本期現金及約當現金增加（減少）數,-71272.0,-16781.0,-31406.0,-1678.0
期初現金及約當現金餘額,269426.0,0.0,-653611.0,-42756.0
期末現金及約當現金餘額,198154.0,187839.0,-24815.0,-653611.0
資產負債表帳列之現金及約當現金,198154.0,-128081.0,0.0,-33440.0
