會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,1440498.0,,1464513.0,100.0,1453213.0,100.0,6079107.0,100.0
營業成本合計,1189734.0,,1192924.0,81.46,1196347.0,82.32,4947290.0,81.38
營業毛利（毛損）,250764.0,,271589.0,18.54,256866.0,17.68,1131817.0,18.62
營業毛利（毛損）淨額,250764.0,,271589.0,18.54,256866.0,17.68,1131817.0,18.62
營業費用,,,,,,,,
推銷費用,28931.0,,27427.0,1.87,22686.0,1.56,84347.0,1.39
管理費用,61355.0,,61433.0,4.19,67134.0,4.62,261793.0,4.31
研究發展費用,18555.0,,21398.0,1.46,15863.0,1.09,78683.0,1.29
預期信用減損損失（利益）,352.0,,-34.0,0.0,-1078.0,-0.07,-3208.0,-0.05
營業費用合計,109193.0,,110224.0,7.53,104605.0,7.2,421615.0,6.94
營業利益（損失）,141571.0,,161365.0,11.02,152261.0,10.48,710202.0,11.68
營業外收入及支出,,,,,,,,
利息收入,187.0,,221.0,0.02,202.0,0.01,1109.0,0.02
其他收入,11020.0,,100435.0,6.86,87383.0,6.01,207695.0,3.42
其他利益及損失淨額,-7830.0,,-5372.0,-0.37,-3666.0,-0.25,-22352.0,-0.37
財務成本淨額,7086.0,,7358.0,0.5,7210.0,0.5,29292.0,0.48
採用權益法認列之關聯企業及合資損益之份額淨額,120864.0,,85866.0,5.86,11209.0,0.77,372900.0,6.13
營業外收入及支出合計,117155.0,,173792.0,11.87,87918.0,6.05,530060.0,8.72
稅前淨利（淨損）,258726.0,,335157.0,22.89,240179.0,16.53,1240262.0,20.4
所得稅費用（利益）合計,21575.0,,24299.0,1.66,39306.0,2.7,126036.0,2.07
繼續營業單位本期淨利（淨損）,237151.0,,310858.0,21.23,200873.0,13.82,1114226.0,18.33
本期淨利（淨損）,237151.0,,310858.0,21.23,200873.0,13.82,1114226.0,18.33
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,14233.0,,98478.0,6.72,231870.0,15.96,9967.0,0.16
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,1082.0,,-94.0,-0.01,-143.0,-0.01,243289.0,4.0
不重分類至損益之項目：,15315.0,,98384.0,6.72,231727.0,15.95,6884.0,0.11
採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-18319.0,,-121612.0,-8.3,-21675.0,-1.49,-351.0,-0.01
後續可能重分類至損益之項目：,-18319.0,,-121612.0,-8.3,-21675.0,-1.49,260491.0,4.29
其他綜合損益（淨額）,-3004.0,,-23228.0,-1.59,210052.0,14.45,-53545.0,-0.88
本期綜合損益總額,234147.0,,287630.0,19.64,410925.0,28.28,-53545.0,-0.88
淨利（損）歸屬於：,,,,,,,206946.0,3.4
母公司業主（淨利∕損）,229468.0,,302525.0,20.66,194047.0,13.35,1321172.0,21.73
非控制權益（淨利∕損）,7683.0,,8333.0,0.57,6826.0,0.47,,
母公司業主（綜合損益）,226464.0,,279297.0,19.07,404099.0,27.81,1088078.0,17.9
非控制權益（綜合損益）,7683.0,,8333.0,0.57,6826.0,0.47,26148.0,0.43
基本每股盈餘,,,,,,,1295080.0,21.3
繼續營業單位淨利（淨損）,0.35,,0.46,,0.3,,26092.0,0.43
基本每股盈餘,0.35,,0.46,,0.3,,,
稀釋每股盈餘,,,,,,,1.66,
繼續營業單位淨利（淨損）,0.35,,0.46,,0.3,,1.66,
稀釋每股盈餘,0.35,,0.46,,0.3,,,
