民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,241190.0,2.94,261107.0,3.12,269002.0,3.19,,
備供出售金融資產－流動淨額,127189.0,1.55,141895.0,1.7,107351.0,1.27,,
應收票據淨額,516489.0,6.29,584884.0,6.99,524463.0,6.21,,
應收票據－關係人淨額,199.0,0.0,1903.0,0.02,93.0,0.0,,
應收帳款淨額,552760.0,6.73,557441.0,6.67,501064.0,5.93,,
應收帳款－關係人淨額,658.0,0.01,11.0,0.0,4186.0,0.05,,
其他應收款淨額,3837.0,0.05,3817.0,0.05,3775.0,0.04,,
本期所得稅資產,49.0,0.0,85.0,0.0,314.0,0.0,,
存貨,3544763.0,43.19,3570708.0,42.7,3566335.0,42.23,,
預付款項,221575.0,2.7,205124.0,2.45,225978.0,2.68,,
其他流動資產,234261.0,2.85,234595.0,2.81,284592.0,3.37,,
流動資產合計,5442970.0,66.31,5561570.0,66.5,5487153.0,64.98,,
非流動資產,,,,,,,,
以成本衡量之金融資產－非流動淨額,53081.0,0.65,56266.0,0.67,62399.0,0.74,,
不動產、廠房及設備,2243101.0,27.33,2300176.0,27.5,2416387.0,28.61,,
遞延所得稅資產,150747.0,1.84,130512.0,1.56,177981.0,2.11,,
其他非流動資產,318287.0,3.88,314755.0,3.76,301072.0,3.57,,
非流動資產合計,2765216.0,33.69,2801709.0,33.5,2957839.0,35.02,,
資產總計,8208186.0,100.0,8363279.0,100.0,8444992.0,100.0,,
流動負債,,,,,,,,
短期借款,290056.0,3.53,395113.0,4.72,714996.0,8.47,,
應付短期票券,108776.0,1.33,108683.0,1.3,118650.0,1.4,,
應付票據,235739.0,2.87,313962.0,3.75,232479.0,2.75,,
應付票據－關係人,1365.0,0.02,51.0,0.0,1145.0,0.01,,
應付帳款,171859.0,2.09,224162.0,2.68,234933.0,2.78,,
應付帳款－關係人,5188.0,0.06,6742.0,0.08,5392.0,0.06,,
其他應付款,198041.0,2.41,197092.0,2.36,199516.0,2.36,,
本期所得稅負債,52785.0,0.64,13068.0,0.16,9129.0,0.11,,
其他流動負債,1072144.0,13.06,1074944.0,12.85,618698.0,7.33,,
流動負債合計,2135953.0,26.02,2333817.0,27.91,2134938.0,25.28,,
非流動負債,,,,,,,,
長期借款,785100.0,9.56,912800.0,10.91,1280266.0,15.16,,
遞延所得稅負債,91115.0,1.11,78941.0,0.94,87298.0,1.03,,
其他非流動負債,424274.0,5.17,422607.0,5.05,458445.0,5.43,,
非流動負債合計,1300489.0,15.84,1414348.0,16.91,1826009.0,21.62,,
負債總計,3436442.0,41.87,3748165.0,44.82,3960947.0,46.9,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,4047380.0,49.31,4047380.0,48.39,4047380.0,47.93,,
股本合計,4047380.0,49.31,4047380.0,48.39,4047380.0,47.93,,
資本公積,,,,,,,,
資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,0.0,0.0,0.0,0.0,7.0,0.0,,
資本公積合計,0.0,0.0,0.0,0.0,7.0,0.0,,
保留盈餘,,,,,,,,
法定盈餘公積,49806.0,0.61,49806.0,0.6,31862.0,0.38,,
特別盈餘公積,14135.0,0.17,14135.0,0.17,14135.0,0.17,,
未分配盈餘（或待彌補虧損）,601347.0,7.33,445049.0,5.32,336867.0,3.99,,
保留盈餘合計,665288.0,8.11,508990.0,6.09,382864.0,4.53,,
其他權益,,,,,,,,
其他權益合計,29700.0,0.36,28252.0,0.34,42128.0,0.5,,
庫藏股票,0.0,0.0,0.0,0.0,0.0,0.0,,
歸屬於母公司業主之權益合計,4742368.0,57.78,4584622.0,54.82,4472379.0,52.96,,
非控制權益,29376.0,0.36,30492.0,0.36,11666.0,0.14,,
權益總計,4771744.0,58.13,4615114.0,55.18,4484045.0,53.1,,
負債及權益總計,8208186.0,100.0,8363279.0,100.0,8444992.0,100.0,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
