民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,1290902.0,100.0,1219347.0,100.0,
營業成本合計,1021426.0,79.12,1052909.0,86.35,
營業毛利（毛損）,269476.0,20.88,166438.0,13.65,
營業毛利（毛損）淨額,269476.0,20.88,166438.0,13.65,
營業費用,,,,,
推銷費用,29937.0,2.32,31110.0,2.55,
管理費用,41101.0,3.18,32359.0,2.65,
營業費用合計,71038.0,5.5,63469.0,5.21,
營業利益（損失）,198438.0,15.37,102969.0,8.44,
營業外收入及支出,,,,,
其他收入,3960.0,0.31,4200.0,0.34,
其他利益及損失淨額,-3164.0,-0.25,-5346.0,-0.44,
財務成本淨額,12288.0,0.95,15444.0,1.27,
營業外收入及支出合計,-11492.0,-0.89,-16590.0,-1.36,
稅前淨利（淨損）,186946.0,14.48,86379.0,7.08,
所得稅費用（利益）合計,31941.0,2.47,17869.0,1.47,
繼續營業單位本期淨利（淨損）,155005.0,12.01,68510.0,5.62,
本期淨利（淨損）,155005.0,12.01,68510.0,5.62,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,272.0,0.02,5921.0,0.49,
備供出售金融資產未實現評價損益,1353.0,0.1,6210.0,0.51,
現金流量避險中屬有效避險部分之避險工具利益(損失),0.0,0.0,0.0,0.0,
國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),0.0,0.0,0.0,0.0,
與待出售非流動資產直接相關之權益,0.0,0.0,0.0,0.0,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,0.0,0.0,0.0,0.0,
可能重分類至損益之其他項目,0.0,0.0,0.0,0.0,
與可能重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,
其他綜合損益（淨額）,1625.0,0.13,12131.0,0.99,
本期綜合損益總額,156630.0,12.13,80641.0,6.61,
母公司業主（淨利／損）,156298.0,12.11,73015.0,5.99,
非控制權益（淨利／損）,-1293.0,-0.1,-4505.0,-0.37,
母公司業主（綜合損益）,157746.0,12.22,82881.0,6.8,
非控制權益（綜合損益）,-1116.0,-0.09,-2240.0,-0.18,
基本每股盈餘,,,,,
基本每股盈餘,0.39,,0.18,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.38,,0.18,,
