民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,186946.0,86379.0,,,,
本期稅前淨利（淨損）,186946.0,86379.0,,,,
折舊費用,84417.0,79878.0,,,,
攤銷費用,6501.0,14003.0,,,,
呆帳費用提列（轉列收入）數,0.0,-275.0,,,,
利息費用,12288.0,15444.0,,,,
利息收入,-615.0,-639.0,,,,
處分投資損失（利益）,-4166.0,-22.0,,,,
金融資產減損損失,3185.0,0.0,,,,
收益費損項目合計,101610.0,108389.0,,,,
應收票據（增加）減少,68395.0,63383.0,,,,
應收票據－關係人（增加）減少,1704.0,7.0,,,,
應收帳款（增加）減少,4681.0,43359.0,,,,
應收帳款－關係人（增加）減少,-647.0,-384.0,,,,
其他應收款（增加）減少,-20.0,2025.0,,,,
存貨（增加）減少,25945.0,61414.0,,,,
預付款項（增加）減少,-16451.0,-9061.0,,,,
其他流動資產（增加）減少,193.0,-3081.0,,,,
與營業活動相關之資產之淨變動合計,83800.0,157662.0,,,,
應付票據增加（減少）,-78223.0,-95172.0,,,,
應付票據－關係人增加（減少）,1314.0,989.0,,,,
應付帳款增加（減少）,-52303.0,17229.0,,,,
應付帳款－關係人增加（減少）,-1554.0,3436.0,,,,
其他應付款增加（減少）,1234.0,-8711.0,,,,
預收款項增加（減少）,6291.0,6813.0,,,,
其他流動負債增加（減少）,-5036.0,3087.0,,,,
淨確定福利負債增加(減少),1637.0,-696.0,,,,
與營業活動相關之負債之淨變動合計,-126640.0,-73025.0,,,,
與營業活動相關之資產及負債之淨變動合計,-42840.0,84637.0,,,,
調整項目合計,58770.0,193026.0,,,,
營運產生之現金流入（流出）,245716.0,279405.0,,,,
收取之利息,648.0,1305.0,,,,
支付之利息,-12480.0,-15256.0,,,,
退還（支付）之所得稅,-285.0,-295.0,,,,
營業活動之淨現金流入（流出）,233599.0,265159.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,-47720.0,0.0,,,,
處分備供出售金融資產,67945.0,5719.0,,,,
取得不動產、廠房及設備,-27471.0,-59864.0,,,,
存出保證金減少,-156.0,-488.0,,,,
其他金融資產減少,144.0,-6557.0,,,,
其他非流動資產減少,-9877.0,-11391.0,,,,
投資活動之淨現金流入（流出）,-17135.0,-72581.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,0.0,155166.0,,,,
短期借款減少,-105057.0,-136600.0,,,,
償還長期借款,-131755.0,-163936.0,,,,
存入保證金增加,30.0,400.0,,,,
籌資活動之淨現金流入（流出）,-236782.0,-144970.0,,,,
匯率變動對現金及約當現金之影響,401.0,4821.0,,,,
本期現金及約當現金增加（減少）數,-19917.0,52429.0,,,,
期初現金及約當現金餘額,261107.0,216573.0,,,,
期末現金及約當現金餘額,241190.0,269002.0,,,,
資產負債表帳列之現金及約當現金,241190.0,269002.0,,,,
