會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,2762070.0,23.88,3290546.0,28.29,3268041.0,28.84,2767084.0,24.08
透過損益按公允價值衡量之金融資產－流動,1311124.0,11.34,1159561.0,9.97,1040571.0,9.18,1007780.0,8.77
按攤銷後成本衡量之金融資產－流動,143811.0,1.24,108602.0,0.93,183333.0,1.62,624429.0,5.43
應收票據淨額,1108914.0,9.59,750135.0,6.45,703703.0,6.21,722330.0,6.29
應收帳款淨額,243193.0,2.1,210775.0,1.81,241721.0,2.13,327906.0,2.85
其他應收款淨額,5426.0,0.05,3800.0,0.03,7856.0,0.07,10151.0,0.09
存貨,923997.0,7.99,1048301.0,9.01,783307.0,6.91,1011311.0,8.8
預付款項,84001.0,0.73,79275.0,0.68,98453.0,0.87,89152.0,0.78
其他流動資產,172.0,0.0,7.0,0.0,0.0,0.0,334.0,0.0
流動資產合計,6582708.0,56.92,6651002.0,57.19,6326985.0,55.83,6560477.0,57.1
非流動資產,,,,,,,,
透過損益按公允價值衡量之金融資產－非流動,193294.0,1.67,191197.0,1.64,194446.0,1.72,182351.0,1.59
按攤銷後成本衡量之金融資產－非流動,234988.0,2.03,234988.0,2.02,241090.0,2.13,240324.0,2.09
不動產、廠房及設備,2769756.0,23.95,2764297.0,23.77,2743288.0,24.21,2755243.0,23.98
使用權資產,159690.0,1.38,155691.0,1.34,177375.0,1.57,172627.0,1.5
投資性不動產淨額,1435883.0,12.42,1433905.0,12.33,1431938.0,12.64,1430487.0,12.45
無形資產,9508.0,0.08,9233.0,0.08,9170.0,0.08,8904.0,0.08
遞延所得稅資產,33666.0,0.29,34396.0,0.3,36516.0,0.32,40815.0,0.36
其他非流動資產,146083.0,1.26,155136.0,1.33,171494.0,1.51,98798.0,0.86
非流動資產合計,4982868.0,43.08,4978843.0,42.81,5005317.0,44.17,4929549.0,42.9
資產總額,11565576.0,100.0,11629845.0,100.0,11332302.0,100.0,11490026.0,100.0
流動負債,,,,,,,,
合約負債－流動,151158.0,1.31,166696.0,1.43,164228.0,1.45,106255.0,0.92
應付票據,152356.0,1.32,62816.0,0.54,288009.0,2.54,282961.0,2.46
應付票據－關係人,688.0,0.01,898.0,0.01,673.0,0.01,915.0,0.01
應付帳款,502192.0,4.34,886560.0,7.62,746459.0,6.59,765076.0,6.66
其他應付款,339155.0,2.93,902439.0,7.76,370962.0,3.27,363222.0,3.16
本期所得稅負債,139634.0,1.21,195784.0,1.68,43562.0,0.38,101357.0,0.88
租賃負債－流動,8107.0,0.07,7134.0,0.06,7836.0,0.07,8172.0,0.07
其他流動負債,4510.0,0.04,1218.0,0.01,2894.0,0.03,1135.0,0.01
流動負債合計,1297800.0,11.22,2223545.0,19.12,1624623.0,14.34,1629093.0,14.18
非流動負債,,,,,,,,
遞延所得稅負債,6313.0,0.05,6313.0,0.05,12387.0,0.11,88458.0,0.77
租賃負債－非流動,24199.0,0.21,22366.0,0.19,44076.0,0.39,43301.0,0.38
其他非流動負債,73116.0,0.63,71108.0,0.61,71638.0,0.63,65622.0,0.57
非流動負債合計,103628.0,0.9,99787.0,0.86,128101.0,1.13,197381.0,1.72
負債總額,1401428.0,12.12,2323332.0,19.98,1752724.0,15.47,1826474.0,15.9
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,3419579.0,29.57,3419579.0,29.4,3411589.0,30.1,3411589.0,29.69
股本合計,3419579.0,29.57,3419579.0,29.4,3411589.0,30.1,3411589.0,29.69
資本公積,,,,,,,,
資本公積－發行溢價,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
資本公積－庫藏股票交易,22299.0,0.19,22299.0,0.19,14534.0,0.13,14534.0,0.13
資本公積－其他,1110.0,0.01,1110.0,0.01,1110.0,0.01,1110.0,0.01
資本公積合計,23409.0,0.2,23409.0,0.2,15644.0,0.14,15644.0,0.14
保留盈餘,,,,,,,,
法定盈餘公積,1528279.0,13.21,1615361.0,13.89,1615361.0,14.25,1615360.0,14.06
特別盈餘公積,175551.0,1.52,200753.0,1.73,200753.0,1.77,200753.0,1.75
未分配盈餘（或待彌補虧損）,2973749.0,25.71,2326917.0,20.01,2542259.0,22.43,2659051.0,23.14
保留盈餘合計,4677579.0,40.44,4143031.0,35.62,4358373.0,38.46,4475164.0,38.95
其他權益,,,,,,,,
國外營運機構財務報表換算之兌換差額,-67618.0,-0.58,-113900.0,-0.98,-88918.0,-0.78,-136484.0,-1.19
其他權益合計,-67618.0,-0.58,-113900.0,-0.98,-88918.0,-0.78,-136484.0,-1.19
歸屬於母公司業主之權益合計,8052949.0,69.63,-2878.0,-0.02,0.0,0.0,0.0,0.0
非控制權益,2111199.0,18.25,7469241.0,64.22,7696688.0,67.92,7765913.0,67.59
權益總額,10164148.0,87.88,1837272.0,15.8,1882890.0,16.62,1897639.0,16.52
負債及權益總計,11565576.0,100.0,9306513.0,80.02,9579578.0,84.53,9663552.0,84.1
待註銷股本股數（單位：股）,0.0,,11629845.0,100.0,11332302.0,100.0,11490026.0,100.0
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,0.0,
