民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,475433.0,100.0,495721.0,100.0,
營業成本合計,428669.0,90.16,423693.0,85.47,
營業毛利（毛損）,46764.0,9.84,72028.0,14.53,
營業毛利（毛損）淨額,46764.0,9.84,72028.0,14.53,
營業費用,,,,,
推銷費用,2334.0,0.49,2260.0,0.46,
管理費用,11690.0,2.46,14846.0,2.99,
營業費用合計,14024.0,2.95,17106.0,3.45,
營業利益（損失）,32740.0,6.89,54922.0,11.08,
營業外收入及支出,,,,,
其他收入,1628.0,0.34,2673.0,0.54,
其他利益及損失淨額,518.0,0.11,7858.0,1.59,
財務成本淨額,388.0,0.08,391.0,0.08,
採用權益法認列之關聯企業及合資損益之份額淨額,-3057.0,-0.64,-3372.0,-0.68,
營業外收入及支出合計,-1299.0,-0.27,6768.0,1.37,
稅前淨利（淨損）,31441.0,6.61,61690.0,12.44,
所得稅費用（利益）合計,-4546.0,-0.96,-6483.0,-1.31,
繼續營業單位本期淨利（淨損）,35987.0,7.57,68173.0,13.75,
停業單位損益,,,,,
停業單位損益合計,0.0,0.0,0.0,0.0,
本期淨利（淨損）,35987.0,7.57,68173.0,13.75,
後續可能重分類至損益之項目：,,,,,
備供出售金融資產未實現評價損益,60155.0,12.65,84007.0,16.95,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-275.0,-0.06,-458.0,-0.09,
其他綜合損益（淨額）,59880.0,12.59,83549.0,16.85,
本期綜合損益總額,95867.0,20.16,151722.0,30.61,
母公司業主（淨利／損）,35833.0,7.54,67967.0,13.71,
非控制權益（淨利／損）,154.0,0.03,206.0,0.04,
母公司業主（綜合損益）,95714.0,20.13,151517.0,30.56,
非控制權益（綜合損益）,153.0,0.03,205.0,0.04,
基本每股盈餘,,,,,
基本每股盈餘,0.06,,0.12,,
