民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,1287607.0,3.7,1195358.0,3.46,1329171.0,4.19,,
透過損益按公允價值衡量之金融資產－流動,29.0,0.0,29.0,0.0,129.0,0.0,,
無活絡市場之債務工具投資－流動淨額,141341.0,0.41,93899.0,0.27,96310.0,0.3,,
應收票據淨額,85191.0,0.24,200974.0,0.58,119233.0,0.38,,
應收帳款淨額,4683754.0,13.47,4792577.0,13.85,4177913.0,13.18,,
應收帳款－關係人淨額,16939.0,0.05,27013.0,0.08,25437.0,0.08,,
其他應收款淨額,600810.0,1.73,293023.0,0.85,415773.0,1.31,,
存貨,2808717.0,8.07,2767764.0,8.0,2569632.0,8.1,,
其他流動資產,965161.0,2.77,892394.0,2.58,518047.0,1.63,,
流動資產合計,10589549.0,30.44,10263031.0,29.67,9251645.0,29.18,,
非流動資產,,,,,,,,
備供出售金融資產－非流動淨額,125883.0,0.36,125883.0,0.36,125883.0,0.4,,
以成本衡量之金融資產－非流動淨額,2236.0,0.01,2236.0,0.01,2237.0,0.01,,
無活絡市場之債務工具投資－非流動淨額,18098.0,0.05,18098.0,0.05,16858.0,0.05,,
採用權益法之投資淨額,3314798.0,9.53,3580248.0,10.35,3240930.0,10.22,,
不動產、廠房及設備,17228283.0,49.53,16925915.0,48.92,15824709.0,49.91,,
無形資產,924622.0,2.66,937996.0,2.71,858741.0,2.71,,
遞延所得稅資產,343526.0,0.99,385491.0,1.11,280823.0,0.89,,
其他非流動資產,2237448.0,6.43,2357299.0,6.81,2106310.0,6.64,,
非流動資產合計,24194894.0,69.56,24333166.0,70.33,22456491.0,70.82,,
資產總計,34784443.0,100.0,34596197.0,100.0,31708136.0,100.0,,
流動負債,,,,,,,,
短期借款,2538000.0,7.3,2653667.0,7.67,2007084.0,6.33,,
應付短期票券,369864.0,1.06,569863.0,1.65,469792.0,1.48,,
應付票據,98195.0,0.28,56713.0,0.16,76818.0,0.24,,
應付帳款,2457588.0,7.07,2594778.0,7.5,2251738.0,7.1,,
應付帳款－關係人,164909.0,0.47,187266.0,0.54,139538.0,0.44,,
其他應付款,1563807.0,4.5,2122294.0,6.13,1351610.0,4.26,,
本期所得稅負債,227904.0,0.66,213523.0,0.62,237771.0,0.75,,
負債準備－流動,27442.0,0.08,25519.0,0.07,21729.0,0.07,,
其他流動負債,1768272.0,5.08,324924.0,0.94,289430.0,0.91,,
流動負債合計,9215981.0,26.49,8748547.0,25.29,6845510.0,21.59,,
非流動負債,,,,,,,,
應付公司債,2200000.0,6.32,2480880.0,7.17,2466781.0,7.78,,
長期借款,3733158.0,10.73,4026435.0,11.64,2828071.0,8.92,,
遞延所得稅負債,373059.0,1.07,397192.0,1.15,315828.0,1.0,,
其他非流動負債,971647.0,2.79,980153.0,2.83,1020529.0,3.22,,
非流動負債合計,7277864.0,20.92,7884660.0,22.79,6631209.0,20.91,,
負債總計,16493845.0,47.42,16633207.0,48.08,13476719.0,42.5,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,5914771.0,17.0,5914771.0,17.1,5914771.0,18.65,,
股本合計,5914771.0,17.0,5914771.0,17.1,5914771.0,18.65,,
資本公積,,,,,,,,
資本公積合計,4149257.0,11.93,4139513.0,11.97,4139513.0,13.06,,
保留盈餘,,,,,,,,
法定盈餘公積,1369222.0,3.94,1369222.0,3.96,1234538.0,3.89,,
特別盈餘公積,0.0,0.0,0.0,0.0,153904.0,0.49,,
未分配盈餘（或待彌補虧損）,5600325.0,16.1,5187577.0,14.99,5351138.0,16.88,,
保留盈餘合計,6969547.0,20.04,6556799.0,18.95,6739580.0,21.26,,
其他權益,,,,,,,,
其他權益合計,254273.0,0.73,316013.0,0.91,165798.0,0.52,,
歸屬於母公司業主之權益合計,17287848.0,49.7,16927096.0,48.93,16959662.0,53.49,,
非控制權益,1002750.0,2.88,1035894.0,2.99,1271755.0,4.01,,
權益總計,18290598.0,52.58,17962990.0,51.92,18231417.0,57.5,,
負債及權益總計,34784443.0,100.0,34596197.0,100.0,31708136.0,100.0,,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
