民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,5612549.0,100.0,5200849.0,100.0,
營業成本合計,4307825.0,76.75,3993156.0,76.78,
營業毛利（毛損）,1304724.0,23.25,1207693.0,23.22,
已實現銷貨（損）益,145.0,0.0,145.0,0.0,
營業毛利（毛損）淨額,1304869.0,23.25,1207838.0,23.22,
營業費用,,,,,
推銷費用,436365.0,7.77,491166.0,9.44,
管理費用,256104.0,4.56,238773.0,4.59,
研究發展費用,130921.0,2.33,137190.0,2.64,
營業費用合計,823390.0,14.67,867129.0,16.67,
營業利益（損失）,481479.0,8.58,340709.0,6.55,
營業外收入及支出,,,,,
其他收入,37676.0,0.67,36908.0,0.71,
其他利益及損失淨額,-57508.0,-1.02,46451.0,0.89,
財務成本淨額,36291.0,0.65,29030.0,0.56,
採用權益法認列之關聯企業及合資損益之份額淨額,76851.0,1.37,85580.0,1.65,
營業外收入及支出合計,20728.0,0.37,139909.0,2.69,
稅前淨利（淨損）,502207.0,8.95,480618.0,9.24,
所得稅費用（利益）合計,71509.0,1.27,75933.0,1.46,
繼續營業單位本期淨利（淨損）,430698.0,7.67,404685.0,7.78,
本期淨利（淨損）,430698.0,7.67,404685.0,7.78,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-46765.0,-0.83,-27639.0,-0.53,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-34823.0,-0.62,8380.0,0.16,
與可能重分類之項目相關之所得稅,-12645.0,-0.23,-2548.0,-0.05,
其他綜合損益（淨額）,-68943.0,-1.23,-16711.0,-0.32,
本期綜合損益總額,361755.0,6.45,387974.0,7.46,
母公司業主（淨利／損）,412748.0,7.35,396856.0,7.63,
非控制權益（淨利／損）,17950.0,0.32,7829.0,0.15,
母公司業主（綜合損益）,351008.0,6.25,389342.0,7.49,
非控制權益（綜合損益）,10747.0,0.19,-1368.0,-0.03,
基本每股盈餘,,,,,
基本每股盈餘,0.7,,0.67,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.68,,0.65,,
