民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,237063.0,169537.0,,,,
本期稅前淨利（淨損）,237063.0,169537.0,,,,
折舊費用,101432.0,93883.0,,,,
攤銷費用,1604.0,1873.0,,,,
呆帳費用提列（轉列收入）數,-11.0,-2627.0,,,,
利息費用,5019.0,8884.0,,,,
利息收入,-5372.0,-4798.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,161.0,3701.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,-658.0,3919.0,,,,
其他項目,-218.0,13375.0,,,,
收益費損項目合計,101957.0,118210.0,,,,
應收票據（增加）減少,4002.0,-351.0,,,,
應收帳款（增加）減少,531039.0,140692.0,,,,
存貨（增加）減少,36359.0,26471.0,,,,
預付款項（增加）減少,-9309.0,12555.0,,,,
其他流動資產（增加）減少,797.0,30891.0,,,,
其他金融資產（增加）減少,-22727.0,-120416.0,,,,
與營業活動相關之資產之淨變動合計,540161.0,89842.0,,,,
應付票據增加（減少）,-40096.0,8799.0,,,,
應付帳款增加（減少）,-322466.0,-456573.0,,,,
其他應付款增加（減少）,-1303.0,6008.0,,,,
預收款項增加（減少）,61875.0,-27174.0,,,,
其他流動負債增加（減少）,-18214.0,24271.0,,,,
其他營業負債增加（減少）,-40740.0,-75733.0,,,,
與營業活動相關之負債之淨變動合計,-360944.0,-520402.0,,,,
與營業活動相關之資產及負債之淨變動合計,179217.0,-430560.0,,,,
調整項目合計,281174.0,-312350.0,,,,
營運產生之現金流入（流出）,518237.0,-142813.0,,,,
收取之利息,5372.0,4798.0,,,,
支付之利息,-5908.0,-5846.0,,,,
退還（支付）之所得稅,-84897.0,-70886.0,,,,
營業活動之淨現金流入（流出）,432804.0,-214747.0,,,,
投資活動之現金流量,,,,,,
取得採用權益法之投資,-20235.0,-27838.0,,,,
取得不動產、廠房及設備,-79302.0,-69396.0,,,,
處分不動產、廠房及設備,10320.0,6130.0,,,,
取得無形資產,-9106.0,0.0,,,,
其他金融資產減少,19197.0,-533.0,,,,
其他非流動資產增加,-24140.0,-3767.0,,,,
其他投資活動,361.0,15348.0,,,,
投資活動之淨現金流入（流出）,-102905.0,-80056.0,,,,
籌資活動之現金流量,,,,,,
短期借款減少,111137.0,1439.0,,,,
舉借長期借款,62143.0,0.0,,,,
償還長期借款,-11695.0,-49866.0,,,,
籌資活動之淨現金流入（流出）,161585.0,-48427.0,,,,
匯率變動對現金及約當現金之影響,11651.0,-2290.0,,,,
本期現金及約當現金增加（減少）數,503135.0,-345520.0,,,,
期初現金及約當現金餘額,1607070.0,1387408.0,,,,
期末現金及約當現金餘額,2110205.0,1041888.0,,,,
資產負債表帳列之現金及約當現金,2110205.0,1041888.0,,,,
