民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,377677.0,100.0,360719.0,100.0,
營業成本合計,233614.0,61.86,220116.0,61.02,
營業毛利（毛損）,144063.0,38.14,140603.0,38.98,
營業毛利（毛損）淨額,144063.0,38.14,140603.0,38.98,
營業費用,,,,,
推銷費用,27794.0,7.36,34561.0,9.58,
管理費用,19520.0,5.17,9690.0,2.69,
研究發展費用,5156.0,1.37,7050.0,1.95,
營業費用合計,52470.0,13.89,51301.0,14.22,
營業利益（損失）,91593.0,24.25,89302.0,24.76,
營業外收入及支出,,,,,
其他收入,1166.0,0.31,1315.0,0.36,
其他利益及損失淨額,-3799.0,-1.01,9506.0,2.64,
財務成本淨額,307.0,0.08,564.0,0.16,
營業外收入及支出合計,-2940.0,-0.78,10257.0,2.84,
稅前淨利（淨損）,88653.0,23.47,99559.0,27.6,
所得稅費用（利益）合計,15295.0,4.05,16926.0,4.69,
繼續營業單位本期淨利（淨損）,73358.0,19.42,82633.0,22.91,
本期淨利（淨損）,73358.0,19.42,82633.0,22.91,
後續可能重分類至損益之項目：,,,,,
備供出售金融資產未實現評價損益,0.0,0.0,-192.0,-0.05,
其他綜合損益（淨額）,0.0,0.0,-192.0,-0.05,
本期綜合損益總額,73358.0,19.42,82441.0,22.85,
基本每股盈餘,,,,,
基本每股盈餘,1.02,,1.25,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,1.02,,1.25,,
