會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,513758.0,2.45,659640.0,3.03,576436.0,2.57,1072452.0,4.68
透過損益按公允價值衡量之金融資產－流動,2807.0,0.01,1782.0,0.01,12697.0,0.06,10562.0,0.05
透過其他綜合損益按公允價值衡量之金融資產－流動,90053.0,0.43,82995.0,0.38,80479.0,0.36,83735.0,0.37
按攤銷後成本衡量之金融資產－流動,34917.0,0.17,36135.0,0.17,51053.0,0.23,204848.0,0.89
應收票據淨額,19667.0,0.09,16572.0,0.08,41456.0,0.18,968.0,0.0
應收帳款淨額,2579911.0,12.28,2973290.0,13.66,3278242.0,14.59,2949521.0,12.87
其他應收款淨額,143749.0,0.68,102422.0,0.47,209600.0,0.93,197690.0,0.86
存貨,3373544.0,16.06,3531260.0,16.23,3470026.0,15.45,3454922.0,15.07
其他流動資產,212565.0,1.01,203181.0,0.93,165670.0,0.74,254443.0,1.11
流動資產合計,6970971.0,33.18,7607277.0,34.96,7885659.0,35.1,8229141.0,35.89
非流動資產,,,,,,,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,79074.0,0.38,76331.0,0.35,74974.0,0.33,65040.0,0.28
按攤銷後成本衡量之金融資產－非流動,32.0,0.0,32.0,0.0,32.0,0.0,32.0,0.0
採用權益法之投資,311371.0,1.48,290947.0,1.34,328139.0,1.46,298839.0,1.3
不動產、廠房及設備,12893032.0,61.37,13276645.0,61.02,13605754.0,60.57,13759127.0,60.01
使用權資產,305540.0,1.45,300728.0,1.38,305408.0,1.36,316790.0,1.38
投資性不動產淨額,30387.0,0.14,30387.0,0.14,30387.0,0.14,30387.0,0.13
無形資產,6698.0,0.03,5429.0,0.02,5303.0,0.02,7552.0,0.03
遞延所得稅資產,62324.0,0.3,53981.0,0.25,53072.0,0.24,48296.0,0.21
其他非流動資產,349945.0,1.67,117459.0,0.54,174904.0,0.78,171107.0,0.75
非流動資產合計,14038403.0,66.82,14151939.0,65.04,14577973.0,64.9,14697170.0,64.11
資產總額,21009374.0,100.0,21759216.0,100.0,22463632.0,100.0,22926311.0,100.0
流動負債,,,,,,,,
短期借款,1237593.0,5.89,1458774.0,6.7,2002390.0,8.91,2060484.0,8.99
應付短期票券,1260000.0,6.0,1260000.0,5.79,1260000.0,5.61,1060000.0,4.62
應付票據,699817.0,3.33,871819.0,4.01,712158.0,3.17,524871.0,2.29
應付帳款,1115225.0,5.31,917798.0,4.22,791580.0,3.52,899474.0,3.92
其他應付款,531406.0,2.53,968582.0,4.45,743963.0,3.31,749478.0,3.27
本期所得稅負債,65160.0,0.31,25308.0,0.12,87748.0,0.39,138043.0,0.6
租賃負債－流動,18392.0,0.09,17481.0,0.08,18136.0,0.08,22952.0,0.1
其他流動負債,1051092.0,5.0,978196.0,4.5,1227967.0,5.47,1308357.0,5.71
流動負債合計,5978685.0,28.46,6497958.0,29.86,6843942.0,30.47,6763659.0,29.5
非流動負債,,,,,,,,
長期借款,5773417.0,27.48,6232591.0,28.64,6209983.0,27.64,6744180.0,29.42
遞延所得稅負債,55012.0,0.26,64863.0,0.3,77402.0,0.34,46654.0,0.2
租賃負債－非流動,248777.0,1.18,246184.0,1.13,250525.0,1.12,258391.0,1.13
其他非流動負債,167090.0,0.8,163073.0,0.75,160431.0,0.71,137767.0,0.6
非流動負債合計,6244296.0,29.72,6706711.0,30.82,6698341.0,29.82,7186992.0,31.35
負債總額,12222981.0,58.18,13204669.0,60.69,13542283.0,60.29,13950651.0,60.85
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,2795175.0,13.3,2795175.0,12.85,2795175.0,12.44,2795175.0,12.19
股本合計,2795175.0,13.3,2795175.0,12.85,2795175.0,12.44,2795175.0,12.19
資本公積,,,,,,,,
資本公積－發行溢價,3804533.0,18.11,3804533.0,17.48,3804533.0,16.94,3804533.0,16.59
資本公積－庫藏股票交易,0.0,0.0,309.0,0.0,0.0,0.0,0.0,0.0
資本公積－處分資產增益,309.0,0.0,5667.0,0.03,309.0,0.0,309.0,0.0
資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,5667.0,0.03,23295.0,0.11,5667.0,0.03,5667.0,0.02
資本公積－員工認股權,23295.0,0.11,3833804.0,17.62,23295.0,0.1,23295.0,0.1
資本公積－其他,0.0,0.0,,,0.0,0.0,0.0,0.0
資本公積合計,3833804.0,18.25,724977.0,3.33,3833804.0,17.07,3833804.0,16.72
保留盈餘,,,60354.0,0.28,,,,
法定盈餘公積,689651.0,3.28,1106286.0,5.08,724977.0,3.23,724977.0,3.16
特別盈餘公積,48236.0,0.23,1891617.0,8.69,60354.0,0.27,60354.0,0.26
未分配盈餘（或待彌補虧損）,1349235.0,6.42,,,1432419.0,6.38,1530514.0,6.68
保留盈餘合計,2087122.0,9.93,-25699.0,-0.12,2217750.0,9.87,2315845.0,10.1
其他權益,,,-64629.0,-0.3,,,,
國外營運機構財務報表換算之兌換差額,-30582.0,-0.15,-90328.0,-0.42,-2623.0,-0.01,-7158.0,-0.03
透過其他綜合損益按公允價值衡量之金融資產未實現評價損益,-21428.0,-0.1,8430268.0,38.74,-48950.0,-0.22,-88000.0,-0.38
其他權益合計,-52010.0,-0.25,124279.0,0.57,-51573.0,-0.23,-95158.0,-0.42
歸屬於母公司業主之權益合計,8664091.0,41.24,8554547.0,39.31,8795156.0,39.15,8849666.0,38.6
非控制權益,122302.0,0.58,21759216.0,100.0,126193.0,0.56,125994.0,0.55
權益總額,8786393.0,41.82,0.0,,8921349.0,39.71,8975660.0,39.15
負債及權益總計,21009374.0,100.0,0.0,,22463632.0,100.0,22926311.0,100.0
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,0.0,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,,,0.0,,0.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,,,0.0,,0.0,
