會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,602485.0,100.0,702553.0,100.0,659685.0,100.0,2535296.0,100.0
營業成本合計,460096.0,76.37,540661.0,76.96,507210.0,76.89,1945906.0,76.75
營業毛利（毛損）,142389.0,23.63,161892.0,23.04,152475.0,23.11,589390.0,23.25
營業毛利（毛損）淨額,142389.0,23.63,161892.0,23.04,152475.0,23.11,589390.0,23.25
營業費用,,,,,,,,
推銷費用,59248.0,9.83,68605.0,9.77,64726.0,9.81,245777.0,9.69
管理費用,27733.0,4.6,30033.0,4.27,30439.0,4.61,116529.0,4.6
研究發展費用,15064.0,2.5,16054.0,2.29,16111.0,2.44,60726.0,2.4
營業費用合計,102045.0,16.94,114692.0,16.33,111276.0,16.87,423032.0,16.69
營業利益（損失）,40344.0,6.7,47200.0,6.72,41199.0,6.25,166358.0,6.56
營業外收入及支出,,,,,,,,
利息收入,276.0,0.05,180.0,0.03,342.0,0.05,1673.0,0.07
其他收入,883.0,0.15,8377.0,1.19,1493.0,0.23,14811.0,0.58
其他利益及損失淨額,6265.0,1.04,17326.0,2.47,24107.0,3.65,34341.0,1.35
財務成本淨額,4263.0,0.71,4948.0,0.7,5526.0,0.84,21212.0,0.84
營業外收入及支出合計,3161.0,0.52,20935.0,2.98,20416.0,3.09,29613.0,1.17
稅前淨利（淨損）,43505.0,7.22,68135.0,9.7,61615.0,9.34,195971.0,7.73
所得稅費用（利益）合計,13203.0,2.19,21471.0,3.06,17369.0,2.63,58366.0,2.3
繼續營業單位本期淨利（淨損）,30302.0,5.03,46664.0,6.64,44246.0,6.71,137605.0,5.43
本期淨利（淨損）,30302.0,5.03,46664.0,6.64,44246.0,6.71,137605.0,5.43
其他綜合損益(淨額),,,,,,,,
國外營運機構財務報表換算之兌換差額,40780.0,6.77,1911.0,0.27,33257.0,5.04,6313.0,0.25
與可能重分類之項目相關之所得稅,8156.0,1.35,383.0,0.05,6651.0,1.01,1263.0,0.05
後續可能重分類至損益之項目：,32624.0,5.41,1528.0,0.22,26606.0,4.03,5050.0,0.2
其他綜合損益（淨額）,32624.0,5.41,1528.0,0.22,26606.0,4.03,48776.0,1.92
本期綜合損益總額,62926.0,10.44,48192.0,6.86,70852.0,10.74,9755.0,0.38
淨利（損）歸屬於：,,,,,,,39021.0,1.54
母公司業主（淨利∕損）,30302.0,5.03,46664.0,6.64,44246.0,6.71,44071.0,1.74
母公司業主（綜合損益）,62926.0,10.44,48192.0,6.86,70852.0,10.74,181676.0,7.17
基本每股盈餘,,,,,,,,
繼續營業單位淨利（淨損）,0.44,,0.68,,0.64,,137605.0,5.43
基本每股盈餘,0.44,,0.68,,0.64,,181676.0,7.17
稀釋每股盈餘,,,,,,,,
繼續營業單位淨利（淨損）,0.44,,0.68,,0.64,,2.01,
稀釋每股盈餘,0.44,,0.68,,0.64,,2.01,
