會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,3635879.0,1292674.0,2738885.0,1380272.0
本期稅前淨利（淨損）,3635879.0,1292674.0,2738885.0,1380272.0
折舊費用,1838856.0,3714270.0,5639877.0,7638336.0
攤銷費用,816447.0,1668112.0,2531447.0,3369023.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,710537.0,67670.0,93149.0,3030758.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,17975.0,1584032.0,2533300.0,70703.0
利息費用,749500.0,-10420158.0,-16037784.0,3686207.0
利息收入,-5043944.0,-20721.0,-81544.0,-22009439.0
股利收入,-389416.0,4991227.0,58155.0,-98406.0
股份基礎給付酬勞成本,-3839.0,4407.0,6273521.0,58155.0
採用權益法認列之關聯企業及合資損失（利益）之份額,0.0,0.0,-19568.0,9626565.0
處分及報廢不動產、廠房及設備損失（利益）,-203736.0,0.0,0.0,-25746.0
處分投資性不動產損失（利益）,3690.0,-277772.0,0.0,0.0
處分無形資產損失（利益）,-73845.0,1272027.0,0.0,210.0
處分其他資產損失（利益）,-2931.0,1707.0,-285374.0,0.0
處分投資損失（利益）,2077.0,-222022.0,2025336.0,0.0
非金融資產減損損失,-1578629.0,-11786.0,179.0,532114.0
已實現銷貨損失（利益）,46455.0,882.0,-123776.0,-11.0
未實現外幣兌換損失（利益）,-7956178.0,2351875.0,-15638.0,-426075.0
其他項目,-119158.0,101328.0,3137.0,-19220.0
收益費損項目合計,264964.0,-16681092.0,2594417.0,5433174.0
強制透過損益按公允價值衡量之金融資產（增加）減少,137181.0,-361395.0,242707.0,799393.0
應收帳款（增加）減少,-40022.0,-443474.0,-26570431.0,-37104507.0
其他應收款（增加）減少,-1594191.0,684697.0,-445824.0,-1252396.0
存貨（增加）減少,-919565.0,-547953.0,-891153.0,-30264.0
其他流動資產（增加）減少,-426907.0,-3569019.0,452483.0,2077715.0
其他金融資產（增加）減少,-10607421.0,-2072495.0,-812207.0,-923895.0
取得合約之增額成本（增加）減少,-220513.0,-597493.0,-5399826.0,-4082145.0
其他營業資產（增加）減少,-2239270.0,-23486896.0,-3101488.0,-9390939.0
與營業活動相關之資產之淨變動合計,-21349.0,-385172.0,-935193.0,-49907038.0
應付帳款增加（減少）,148795.0,-1767338.0,-37460932.0,-686452.0
其他應付款增加（減少）,144745.0,-34194.0,-879907.0,-1605493.0
負債準備增加（減少）,-81948.0,368361.0,-1528153.0,-81276.0
其他金融負債增加（減少）,-6222.0,-617099.0,-55233.0,764869.0
其他流動負債增加（減少）,-2275762.0,-151622.0,474115.0,-544723.0
淨確定福利負債增加(減少),-12883183.0,4584.0,-670464.0,-169555.0
其他營業負債增加（減少）,-14461812.0,-2582480.0,-158541.0,2654.0
與營業活動相關之負債之淨變動合計,-10825933.0,-26069376.0,4781.0,-2319976.0
與營業活動相關之資產及負債之淨變動合計,4934853.0,-23717501.0,-2813402.0,-52227014.0
調整項目合計,-745823.0,-22424827.0,-40274334.0,-46793840.0
營運產生之現金流入（流出）,-108123.0,10282948.0,-37679917.0,-45413568.0
收取之利息,-6745026.0,-1576901.0,-34941032.0,21346741.0
支付之利息,,-1183608.0,15829363.0,-3670922.0
退還（支付）之所得稅,411.0,-14902388.0,-2534322.0,-2240874.0
營業活動之淨現金流入（流出）,-1443098.0,,-2007706.0,-29978623.0
投資活動之現金流量,1189911.0,6037.0,-23653697.0,
取得透過其他綜合損益按公允價值衡量之金融資產,0.0,-2305192.0,,-24939.0
處分透過其他綜合損益按公允價值衡量之金融資產,-216596.0,2360796.0,-15000.0,7042.0
取得按攤銷後成本衡量之金融資產,69846.0,0.0,6040.0,-5083632.0
處分按攤銷後成本衡量之金融資產,-43758.0,0.0,-3356977.0,6270107.0
取得採用權益法之投資,-33817.0,0.0,3136903.0,-4275166.0
處分採用權益法之投資,0.0,-468685.0,0.0,0.0
處分子公司,-545.0,213758.0,0.0,0.0
取得不動產、廠房及設備,-306866.0,-49980.0,-3025086.0,-1075671.0
處分不動產、廠房及設備,-784512.0,-63013.0,0.0,353442.0
存出保證金增加,,0.0,-806517.0,-56863.0
取得無形資產,33866521.0,-985.0,289104.0,-201939.0
處分無形資產,-33823334.0,-439448.0,-59525.0,0.0
取得使用權資產,114290513.0,332938.0,-119116.0,-2344.0
取得投資性不動產,-107977047.0,-413774.0,0.0,-813153.0
處分投資性不動產,0.0,,-2098.0,0.0
收取之股利,7243228.0,86845198.0,-648800.0,2169455.0
投資活動之淨現金流入（流出）,-6816694.0,-80815577.0,2141783.0,-2733661.0
籌資活動之現金流量,-33828.0,250477814.0,-2459289.0,
短期借款增加,-161542.0,-241001366.0,,211947914.0
短期借款減少,-90216.0,0.0,154214165.0,-187897925.0
應付短期票券增加,6497601.0,0.0,-144616743.0,520934266.0
應付短期票券減少,264822.0,13684011.0,420486690.0,-514135207.0
發行公司債,-767115.0,-13572211.0,-410820039.0,0.0
償還公司債,15292207.0,107894.0,0.0,-7000000.0
舉借長期借款,14525092.0,-322761.0,0.0,41018229.0
償還長期借款,14525092.0,-61557.0,27777119.0,-32066605.0
