會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,2452594.0,25.58,2223422.0,23.61,1925555.0,19.43,2164014.0,22.26
合約資產－流動,415454.0,4.33,463615.0,4.92,1690.0,0.02,1430.0,0.01
應收票據淨額,109707.0,1.14,57826.0,0.61,305954.0,3.09,109587.0,1.13
應收帳款淨額,1254214.0,13.08,1279460.0,13.59,49900.0,0.5,47162.0,0.49
應收帳款－關係人淨額,61187.0,0.64,48282.0,0.51,1931711.0,19.49,72.0,0.0
其他應收款淨額,23152.0,0.24,10138.0,0.11,49715.0,0.5,1565563.0,16.1
本期所得稅資產,33.0,0.0,28.0,0.0,14490.0,0.15,50167.0,0.52
存貨,1536193.0,16.02,11361.0,0.12,76.0,0.0,18408.0,0.19
其他流動資產,261924.0,2.73,1627032.0,17.28,1502182.0,15.15,8.0,0.0
流動資產合計,6114458.0,63.78,231001.0,2.45,218444.0,2.2,1421275.0,14.62
非流動資產,,,5952165.0,63.21,5999717.0,60.53,211127.0,2.17
透過其他綜合損益按公允價值衡量之金融資產－非流動,53505.0,0.56,,,,,5588813.0,57.48
採用權益法之投資,0.0,0.0,53505.0,0.57,53505.0,0.54,,
不動產、廠房及設備,1852522.0,19.32,0.0,0.0,1843434.0,18.6,54174.0,0.56
使用權資產,29760.0,0.31,1849811.0,19.64,41505.0,0.42,2100958.0,21.61
投資性不動產淨額,241229.0,2.52,36286.0,0.39,240815.0,2.43,58439.0,0.6
無形資產,788413.0,8.22,241022.0,2.56,777038.0,7.84,240608.0,2.47
遞延所得稅資產,166672.0,1.74,776720.0,8.25,198947.0,2.01,775056.0,7.97
其他非流動資產,339876.0,3.55,179863.0,1.91,757434.0,7.64,185295.0,1.91
非流動資產合計,3471977.0,36.22,327123.0,3.47,3912678.0,39.47,719726.0,7.4
資產總額,9586435.0,100.0,3464330.0,36.79,9912395.0,100.0,4134256.0,42.52
流動負債,,,9416495.0,100.0,,,9723069.0,100.0
短期借款,2158034.0,22.51,,,819171.0,8.26,,
合約負債－流動,178626.0,1.86,2031696.0,21.58,544213.0,5.49,773825.0,7.96
應付票據,97.0,0.0,177344.0,1.88,4.0,0.0,180495.0,1.86
應付帳款,599243.0,6.25,48.0,0.0,509170.0,5.14,9658.0,0.1
應付帳款－關係人,5368.0,0.06,562114.0,5.97,6507.0,0.07,497763.0,5.12
其他應付款,236240.0,2.46,7358.0,0.08,337695.0,3.41,5241.0,0.05
其他應付款項－關係人,38.0,0.0,388595.0,4.13,1339.0,0.01,321327.0,3.3
本期所得稅負債,159776.0,1.67,1464.0,0.02,120017.0,1.21,495.0,0.01
負債準備－流動,72300.0,0.75,82386.0,0.87,74441.0,0.75,191452.0,1.97
租賃負債－流動,9520.0,0.1,74675.0,0.79,14858.0,0.15,109092.0,1.12
其他流動負債,141585.0,1.48,12480.0,0.13,139458.0,1.41,24846.0,0.26
流動負債合計,3560827.0,37.14,140783.0,1.5,2566873.0,25.9,282699.0,2.91
非流動負債,,,3478943.0,36.95,,,2396893.0,24.65
長期借款,1083465.0,11.3,,,1258796.0,12.7,,
遞延所得稅負債,4345.0,0.05,1050611.0,11.16,1017757.0,10.27,1262816.0,12.99
租賃負債－非流動,6866.0,0.07,4345.0,0.05,4345.0,0.04,845319.0,8.69
其他非流動負債,19981.0,0.21,10751.0,0.11,13664.0,0.14,13382.0,0.14
非流動負債合計,1114657.0,11.63,19845.0,0.21,19546.0,0.2,20813.0,0.21
負債總額,4675484.0,48.77,1085552.0,11.53,2314108.0,23.35,16754.0,0.17
歸屬於母公司業主之權益,,,4564495.0,48.47,4880981.0,49.24,2159084.0,22.21
股本,,,,,,,4555977.0,46.86
普通股股本,1219166.0,12.72,,,,,,
股本合計,1219166.0,12.72,1219166.0,12.95,1219166.0,12.3,,
資本公積,,,121916.0,1.29,121916.0,1.23,1341082.0,13.79
資本公積合計,638663.0,6.66,1341082.0,14.24,1341082.0,13.53,1341082.0,13.79
保留盈餘,,,,,,,,
保留盈餘合計,1864162.0,19.45,645583.0,6.86,696803.0,7.03,705032.0,7.25
其他權益,,,,,,,,
其他權益合計,-7979.0,-0.08,1738477.0,18.46,1907781.0,19.25,2075956.0,21.35
歸屬於母公司業主之權益合計,3714012.0,38.74,,,,,,
非控制權益,1196939.0,12.49,-21534.0,-0.23,-10491.0,-0.11,-26673.0,-0.27
權益總額,4910951.0,51.23,3703608.0,39.33,3935175.0,39.7,4095397.0,42.12
負債及權益總計,9586435.0,100.0,1148392.0,12.2,1096239.0,11.06,1071695.0,11.02
待註銷股本股數（單位：股）,0.0,,4852000.0,51.53,5031414.0,50.76,5167092.0,53.14
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,9416495.0,100.0,9912395.0,100.0,9723069.0,100.0
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,0.0,
