會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,807466.0,100.0,676678.0,100.0,939985.0,100.0,3618633.0,100.0
營業成本合計,659006.0,81.61,590529.0,87.27,778562.0,82.83,3011565.0,83.22
營業毛利（毛損）,148460.0,18.39,86149.0,12.73,161423.0,17.17,607068.0,16.78
營業毛利（毛損）淨額,148460.0,18.39,86149.0,12.73,161423.0,17.17,607068.0,16.78
營業費用,,,,,,,,
推銷費用,30389.0,3.76,22245.0,3.29,30242.0,3.22,115120.0,3.18
管理費用,74423.0,9.22,60255.0,8.9,79013.0,8.41,330763.0,9.14
研究發展費用,10471.0,1.3,10671.0,1.58,9337.0,0.99,41623.0,1.15
預期信用減損損失（利益）,-738.0,-0.09,-362.0,-0.05,-46.0,0.0,-748.0,-0.02
營業費用合計,114545.0,14.19,92809.0,13.72,118546.0,12.61,486758.0,13.45
營業利益（損失）,33915.0,4.2,-6660.0,-0.98,42877.0,4.56,120310.0,3.32
營業外收入及支出,,,,,,,,
利息收入,111.0,0.01,347.0,0.05,931.0,0.1,3082.0,0.09
其他收入,795.0,0.1,749.0,0.11,727.0,0.08,3004.0,0.08
其他利益及損失淨額,20494.0,2.54,24102.0,3.56,17681.0,1.88,75275.0,2.08
財務成本淨額,1873.0,0.23,1806.0,0.27,1572.0,0.17,8585.0,0.24
營業外收入及支出合計,19527.0,2.42,23392.0,3.46,17767.0,1.89,72776.0,2.01
稅前淨利（淨損）,53442.0,6.62,16732.0,2.47,60644.0,6.45,193086.0,5.34
所得稅費用（利益）合計,14971.0,1.85,8150.0,1.2,37596.0,4.0,74743.0,2.07
繼續營業單位本期淨利（淨損）,38471.0,4.76,8582.0,1.27,23048.0,2.45,118343.0,3.27
本期淨利（淨損）,38471.0,4.76,8582.0,1.27,23048.0,2.45,118343.0,3.27
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-1799.0,-0.22,-503.0,-0.07,391.0,0.04,6904.0,0.19
與不重分類之項目相關之所得稅,-525.0,-0.07,-1659.0,-0.25,-1219.0,-0.13,2690.0,0.07
不重分類至損益之項目：,-1274.0,-0.16,-480.0,-0.07,-355.0,-0.04,-1307.0,-0.04
國外營運機構財務報表換算之兌換差額,25112.0,3.11,-1682.0,-0.25,-473.0,-0.05,10901.0,0.3
後續可能重分類至損益之項目：,25112.0,3.11,-25257.0,-3.73,42128.0,4.48,44183.0,1.22
其他綜合損益（淨額）,23838.0,2.95,-25257.0,-3.73,42128.0,4.48,44183.0,1.22
本期綜合損益總額,62309.0,7.72,-26939.0,-3.98,41655.0,4.43,55084.0,1.52
淨利（損）歸屬於：,,,-18357.0,-2.71,64703.0,6.88,173427.0,4.79
母公司業主（淨利∕損）,38471.0,4.76,,,,,,
母公司業主（綜合損益）,62309.0,7.72,8582.0,1.27,22733.0,2.42,97767.0,2.7
基本每股盈餘,,,-18357.0,-2.71,220.0,0.02,14403.0,0.4
繼續營業單位淨利（淨損）,1.42,,,,95.0,0.01,6173.0,0.17
基本每股盈餘,1.42,,0.32,,62310.0,6.63,158833.0,4.39
稀釋每股盈餘,,,0.32,,1675.0,0.18,10216.0,0.28
繼續營業單位淨利（淨損）,1.39,,,,718.0,0.08,4378.0,0.12
稀釋每股盈餘,1.39,,0.31,,,,,
