會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,8176985.0,7.97,6839276.0,6.69,10955192.0,10.71,8374101.0,9.0
透過損益按公允價值衡量之金融資產－流動,7785769.0,7.59,9742252.0,9.53,5411068.0,5.29,3483459.0,3.74
按攤銷後成本衡量之金融資產－流動,666434.0,0.65,274507.0,0.27,0.0,0.0,0.0,0.0
合約資產－流動,225465.0,0.22,233957.0,0.23,270977.0,0.26,117767.0,0.13
應收票據淨額,9702651.0,9.46,8252079.0,8.08,6789182.0,6.64,7409421.0,7.96
應收帳款淨額,5086977.0,4.96,5301210.0,5.19,4210321.0,4.12,4493995.0,4.83
其他應收款淨額,164241.0,0.16,198025.0,0.19,133809.0,0.13,353998.0,0.38
本期所得稅資產,14617.0,0.01,15063.0,0.01,26627.0,0.03,60270.0,0.06
存貨,12822653.0,12.5,14180594.0,13.88,14639545.0,14.31,13555414.0,14.57
預付款項,1370776.0,1.34,1223366.0,1.2,1279029.0,1.25,1156686.0,1.24
待出售非流動資產（或處分群組）淨額,11862.0,0.01,0.0,0.0,3845543.0,3.76,0.0,0.0
其他流動資產,1216811.0,1.19,1108777.0,1.09,926882.0,0.91,876734.0,0.94
流動資產合計,47245241.0,46.05,47369106.0,46.36,48488175.0,47.41,39881845.0,42.87
非流動資產,,,,,,,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,470047.0,0.46,370648.0,0.36,313083.0,0.31,326033.0,0.35
採用權益法之投資,6026945.0,5.87,6307634.0,6.17,6449694.0,6.31,6639524.0,7.14
不動產、廠房及設備,44668277.0,43.54,43988038.0,43.05,42839736.0,41.89,42343801.0,45.52
使用權資產,2776854.0,2.71,2700035.0,2.64,2557932.0,2.5,2497446.0,2.68
無形資產,35987.0,0.04,34765.0,0.03,35180.0,0.03,34657.0,0.04
遞延所得稅資產,448620.0,0.44,476776.0,0.47,512167.0,0.5,404428.0,0.43
其他非流動資產,927612.0,0.9,932790.0,0.91,1079445.0,1.06,902284.0,0.97
非流動資產合計,55354342.0,53.95,54810686.0,53.64,53787237.0,52.59,53148173.0,57.13
資產總額,102599583.0,100.0,102179792.0,100.0,102275412.0,100.0,93030018.0,100.0
流動負債,,,,,,,,
短期借款,1826110.0,1.78,2195856.0,2.15,5052368.0,4.94,4225885.0,4.54
應付短期票券,2893642.0,2.82,2897092.0,2.84,4089901.0,4.0,4087800.0,4.39
合約負債－流動,1356324.0,1.32,1161077.0,1.14,1304798.0,1.28,1109130.0,1.19
應付票據,1138148.0,1.11,1214927.0,1.19,1129021.0,1.1,1158188.0,1.24
應付帳款,7481734.0,7.29,7578755.0,7.42,6710683.0,6.56,6995444.0,7.52
應付帳款－關係人,1208268.0,1.18,1339307.0,1.31,1559880.0,1.53,1517252.0,1.63
其他應付款,3434928.0,3.35,8422611.0,8.24,2949433.0,2.88,2797641.0,3.01
其他應付款項－關係人,423298.0,0.41,785387.0,0.77,800847.0,0.78,782520.0,0.84
本期所得稅負債,224347.0,0.22,428762.0,0.42,783231.0,0.77,273159.0,0.29
租賃負債－流動,27029.0,0.03,27371.0,0.03,2307187.0,2.26,29089.0,0.03
其他流動負債,4470516.0,4.36,5444102.0,5.33,27430.0,0.03,8309120.0,8.93
流動負債合計,24484344.0,23.86,31495247.0,30.82,6015982.0,5.88,31285228.0,33.63
非流動負債,,,,,32730761.0,32.0,,
長期借款,14788894.0,14.41,13718576.0,13.43,,,8070172.0,8.67
遞延所得稅負債,732473.0,0.71,693298.0,0.68,14115248.0,13.8,758756.0,0.82
租賃負債－非流動,59034.0,0.06,54049.0,0.05,746405.0,0.73,44245.0,0.05
其他非流動負債,1344773.0,1.31,1323191.0,1.29,49146.0,0.05,1210566.0,1.3
非流動負債合計,16925174.0,16.5,15789114.0,15.45,1227305.0,1.2,10083739.0,10.84
負債總額,41409518.0,40.36,47284361.0,46.28,16138104.0,15.78,41368967.0,44.47
歸屬於母公司業主之權益,,,,,48868865.0,47.78,,
股本,,,,,,,,
普通股股本,29080608.0,28.34,29080608.0,28.46,,,29080608.0,31.26
股本合計,29080608.0,28.34,29080608.0,28.46,29080608.0,28.43,29080608.0,31.26
資本公積,,,,,29080608.0,28.43,,
資本公積合計,1925218.0,1.88,1925218.0,1.88,,,1925218.0,2.07
保留盈餘,,,,,1925218.0,1.88,,
法定盈餘公積,6207565.0,6.05,7383663.0,7.23,,,7383663.0,7.94
特別盈餘公積,5102550.0,4.97,5102550.0,4.99,7383663.0,7.22,5102550.0,5.48
未分配盈餘（或待彌補虧損）,16395335.0,15.98,10538848.0,10.31,5102550.0,4.99,7965324.0,8.56
保留盈餘合計,27705450.0,27.0,23025061.0,22.53,9039512.0,8.84,20451537.0,21.98
其他權益,,,,,21525725.0,21.05,,
國外營運機構財務報表換算之兌換差額,-1533094.0,-1.49,-2668126.0,-2.61,,,-2967266.0,-3.19
透過其他綜合損益按公允價值衡量之金融資產未實現評價損益,92091.0,0.09,-7308.0,-0.01,-2393799.0,-2.34,-51923.0,-0.06
其他權益合計,-1441003.0,-1.4,-2675434.0,-2.62,-64873.0,-0.06,-3019189.0,-3.25
歸屬於母公司業主之權益合計,57270273.0,55.82,51355453.0,50.26,19634.0,0.02,48438174.0,52.07
非控制權益,3919792.0,3.82,3539978.0,3.46,-2439038.0,-2.38,3222877.0,3.46
權益總額,61190065.0,59.64,54895431.0,53.72,50092513.0,48.98,51661051.0,55.53
負債及權益總計,102599583.0,100.0,102179792.0,100.0,3314034.0,3.24,93030018.0,100.0
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,53406547.0,52.22,0.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,102275412.0,100.0,0.0,
