會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,6579.0,51587.0,101286.0,-54954.0
本期稅前淨利（淨損）,6579.0,51587.0,0.0,-54954.0
折舊費用,97802.0,195459.0,101286.0,375199.0
攤銷費用,7278.0,14027.0,293495.0,28328.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,4966.0,21117.0,21181.0,23630.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,12237.0,14670.0,-33646.0,-3581.0
利息費用,-1152.0,-2863.0,30939.0,34564.0
利息收入,30879.0,33041.0,-4686.0,-8669.0
股利收入,74.0,74.0,26041.0,-931.0
採用權益法認列之關聯企業及合資損失（利益）之份額,-1662.0,-3211.0,2949.0,62065.0
處分及報廢不動產、廠房及設備損失（利益）,150422.0,272314.0,0.0,2949.0
處分投資性不動產損失（利益）,129903.0,-23399.0,-1136.0,0.0
金融資產減損損失,114376.0,278647.0,335137.0,0.0
非金融資產減損損失,-15429.0,6419.0,6764.0,32993.0
其他項目,-8522.0,-21230.0,342468.0,58487.0
收益費損項目合計,11950.0,8596.0,-85062.0,605034.0
合約資產（增加）減少,-12600.0,52007.0,-69688.0,-596.0
應收票據（增加）減少,219678.0,301040.0,29825.0,76798.0
應收帳款（增加）減少,16052.0,13975.0,53759.0,305766.0
存貨（增加）減少,-25098.0,-14391.0,278066.0,-107503.0
預付款項（增加）減少,29527.0,-159288.0,11575.0,-55573.0
其他流動資產（增加）減少,-32438.0,-56602.0,-14369.0,13011.0
其他金融資產（增加）減少,-12468.0,-12740.0,-139342.0,56340.0
與營業活動相關之資產之淨變動合計,-23364.0,-10316.0,-27284.0,288243.0
合約負債增加（減少）,-4921.0,-6375.0,-12704.0,7374.0
應付票據增加（減少）,-52710.0,-245737.0,-29349.0,-12208.0
應付帳款增加（減少）,166968.0,55303.0,-7714.0,-174320.0
其他應付款增加（減少）,317390.0,327617.0,-219187.0,-57671.0
其他流動負債增加（減少）,323969.0,379204.0,58879.0,-12816.0
淨確定福利負債增加(減少),-11842.0,-14250.0,394016.0,-9049.0
與營業活動相關之負債之淨變動合計,-721.0,-123459.0,495302.0,-258690.0
與營業活動相關之資產及負債之淨變動合計,311406.0,241495.0,-30364.0,29553.0
調整項目合計,,,-151120.0,634587.0
營運產生之現金流入（流出）,0.0,0.0,313818.0,579633.0
支付之利息,-57911.0,-58137.0,,-33707.0
退還（支付）之所得稅,-11215.0,-24309.0,-15458.0,-140404.0
營業活動之淨現金流入（流出）,0.0,17.0,0.0,405522.0
投資活動之現金流量,-24542.0,-1220.0,45937.0,
取得透過其他綜合損益按公允價值衡量之金融資產,4649.0,-11752.0,-59177.0,-15439.0
取得透過損益按公允價值衡量之金融資產,-149781.0,9024.0,-258539.0,0.0
處分透過損益按公允價值衡量之金融資產,1152.0,-185225.0,26.0,45937.0
取得採用權益法之投資,-15347.0,2863.0,-1220.0,-59177.0
取得不動產、廠房及設備,-252995.0,0.0,0.0,-312260.0
處分不動產、廠房及設備,,-268739.0,0.0,27.0
存出保證金減少,73979.0,,27514.0,17102.0
取得無形資產,-108623.0,592715.0,0.0,-3000.0
處分投資性不動產,-60000.0,-583417.0,4980.0,0.0
其他金融資產增加,0.0,-60000.0,-54974.0,-126378.0
其他非流動資產增加,-28022.0,-175.0,4686.0,-27514.0
預付設備款增加,-7788.0,-28756.0,-13953.0,-29293.0
收取之利息,-130454.0,-12228.0,-320178.0,8669.0
收取之股利,18035.0,-91861.0,,931.0
其他投資活動,-54008.0,8078.0,1424150.0,0.0
投資活動之淨現金流入（流出）,2624014.0,-111027.0,-1401332.0,-500395.0
籌資活動之現金流量,2570006.0,2624014.0,-120000.0,
短期借款增加,2570006.0,2512987.0,-5405.0,1876723.0
