會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,609657.0,100.0,656212.0,100.0,722661.0,100.0,2592031.0,100.0
營業成本合計,497167.0,81.55,513159.0,78.2,567366.0,78.51,2063141.0,79.6
營業毛利（毛損）,112490.0,18.45,143053.0,21.8,155295.0,21.49,528890.0,20.4
營業毛利（毛損）淨額,112490.0,18.45,143053.0,21.8,155295.0,21.49,528890.0,20.4
營業費用,,,,,,,,
推銷費用,72117.0,11.83,68682.0,10.47,70389.0,9.74,273072.0,10.54
管理費用,45651.0,7.49,53243.0,8.11,51041.0,7.06,199954.0,7.71
研究發展費用,12262.0,2.01,17422.0,2.65,16424.0,2.27,63931.0,2.47
預期信用減損損失（利益）,2331.0,0.38,2347.0,0.36,9385.0,1.3,29156.0,1.12
營業費用合計,132361.0,21.71,141694.0,21.59,147239.0,20.37,566113.0,21.84
其他收益及費損淨額,,,,,,,,
其他收益及費損淨額,8238.0,1.35,6948.0,1.06,7439.0,1.03,26401.0,1.02
營業利益（損失）,-11633.0,-1.91,8307.0,1.27,15495.0,2.14,-10822.0,-0.42
營業外收入及支出,,,,,,,,
利息收入,2181.0,0.36,2436.0,0.37,2114.0,0.29,9583.0,0.37
其他收入,3792.0,0.62,1008.0,0.15,3898.0,0.54,11212.0,0.43
其他利益及損失淨額,14165.0,2.32,31638.0,4.82,16710.0,2.31,38961.0,1.5
財務成本淨額,2637.0,0.43,1813.0,0.28,3199.0,0.44,11165.0,0.43
營業外收入及支出合計,17501.0,2.87,33269.0,5.07,19523.0,2.7,48591.0,1.87
稅前淨利（淨損）,5868.0,0.96,41576.0,6.34,35018.0,4.85,37769.0,1.46
所得稅費用（利益）合計,-1625.0,-0.27,3760.0,0.57,8508.0,1.18,5810.0,0.22
繼續營業單位本期淨利（淨損）,7493.0,1.23,37816.0,5.76,26510.0,3.67,31959.0,1.23
本期淨利（淨損）,7493.0,1.23,37816.0,5.76,26510.0,3.67,31959.0,1.23
其他綜合損益(淨額),,,,,,,,
國外營運機構財務報表換算之兌換差額,59276.0,9.72,-8690.0,-1.32,35976.0,4.98,8011.0,0.31
後續可能重分類至損益之項目：,59276.0,9.72,-8690.0,-1.32,35976.0,4.98,1605.0,0.06
其他綜合損益（淨額）,59276.0,9.72,-8690.0,-1.32,35976.0,4.98,6406.0,0.25
本期綜合損益總額,66769.0,10.95,29126.0,4.44,62486.0,8.65,44712.0,1.72
淨利（損）歸屬於：,,,,,,,44712.0,1.72
母公司業主（淨利∕損）,17330.0,2.84,34510.0,5.26,37790.0,5.23,51118.0,1.97
非控制權益（淨利∕損）,-9837.0,-1.61,3306.0,0.5,-11280.0,-1.56,83077.0,3.21
母公司業主（綜合損益）,58702.0,9.63,32748.0,4.99,69470.0,9.61,,
非控制權益（綜合損益）,8067.0,1.32,-3622.0,-0.55,-6984.0,-0.97,62787.0,2.42
基本每股盈餘,,,,,,,-30828.0,-1.19
繼續營業單位淨利（淨損）,0.1,,0.21,,0.23,,105998.0,4.09
基本每股盈餘,0.1,,0.21,,0.23,,-22921.0,-0.88
稀釋每股盈餘,,,,,,,,
繼續營業單位淨利（淨損）,0.1,,0.21,,0.23,,0.38,
稀釋每股盈餘,0.1,,0.21,,0.23,,0.38,
