會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
銷貨收入淨額,1257767.0,100.0,1344325.0,100.0,1162236.0,100.0,5004444.0,100.0
營業收入合計,1257767.0,100.0,1344325.0,100.0,1162236.0,100.0,5004444.0,100.0
營業成本合計,920942.0,73.22,998081.0,74.24,866956.0,74.59,3695789.0,73.85
營業毛利（毛損）,336825.0,26.78,346244.0,25.76,295280.0,25.41,1308655.0,26.15
營業毛利（毛損）淨額,336825.0,26.78,346244.0,25.76,295280.0,25.41,1308655.0,26.15
營業費用,,,,,,,,
推銷費用,168764.0,13.42,178089.0,13.25,167742.0,14.43,725026.0,14.49
管理費用,89991.0,7.15,87333.0,6.5,85323.0,7.34,353025.0,7.05
研究發展費用,29329.0,2.33,29225.0,2.17,29370.0,2.53,111059.0,2.22
預期信用減損損失（利益）,2117.0,0.17,-500.0,-0.04,-666.0,-0.06,17012.0,0.34
營業費用合計,290201.0,23.07,294147.0,21.88,281769.0,24.24,1206122.0,24.1
營業利益（損失）,46624.0,3.71,52097.0,3.88,13511.0,1.16,102533.0,2.05
營業外收入及支出,,,,,,,,
利息收入,364.0,0.03,770.0,0.06,2312.0,0.2,5689.0,0.11
其他收入,93337.0,7.42,79137.0,5.89,57513.0,4.95,260346.0,5.2
其他利益及損失淨額,-3678.0,-0.29,-19133.0,-1.42,-45307.0,-3.9,-66328.0,-1.33
財務成本淨額,11999.0,0.95,11511.0,0.86,13003.0,1.12,50848.0,1.02
採用權益法認列之關聯企業及合資損益之份額淨額,183.0,0.01,-1141.0,-0.08,-124.0,-0.01,-1162.0,-0.02
營業外收入及支出合計,78207.0,6.22,48122.0,3.58,1391.0,0.12,147697.0,2.95
稅前淨利（淨損）,124831.0,9.92,100219.0,7.45,14902.0,1.28,250230.0,5.0
所得稅費用（利益）合計,29976.0,2.38,47763.0,3.55,9185.0,0.79,92098.0,1.84
繼續營業單位本期淨利（淨損）,94855.0,7.54,52456.0,3.9,5717.0,0.49,158132.0,3.16
本期淨利（淨損）,94855.0,7.54,52456.0,3.9,5717.0,0.49,158132.0,3.16
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-63276.0,-5.03,-226852.0,-16.87,0.0,0.0,81243.0,1.62
與不重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,-123802.0,-10.65,-350306.0,-7.0
不重分類至損益之項目：,-63276.0,-5.03,-226852.0,-16.87,0.0,0.0,16398.0,0.33
國外營運機構財務報表換算之兌換差額,27960.0,2.22,4409.0,0.33,-123802.0,-10.65,-285461.0,-5.7
採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-641.0,-0.05,-3111.0,-0.23,34016.0,2.93,55876.0,1.12
與可能重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,-3203.0,-0.28,-4640.0,-0.09
後續可能重分類至損益之項目：,27319.0,2.17,1298.0,0.1,0.0,0.0,51236.0,1.02
其他綜合損益（淨額）,-35957.0,-2.86,-225554.0,-16.78,30813.0,2.65,-234225.0,-4.68
本期綜合損益總額,58898.0,4.68,-173098.0,-12.88,-92989.0,-8.0,-76093.0,-1.52
淨利（損）歸屬於：,,,,,-87272.0,-7.51,,
母公司業主（淨利∕損）,95323.0,7.58,51947.0,3.86,,,157290.0,3.14
非控制權益（淨利∕損）,-468.0,-0.04,509.0,0.04,5659.0,0.49,842.0,0.02
母公司業主（綜合損益）,58892.0,4.68,-172767.0,-12.85,58.0,0.0,-72192.0,-1.44
非控制權益（綜合損益）,6.0,0.0,-331.0,-0.02,-87324.0,-7.51,-3901.0,-0.08
基本每股盈餘,,,,,52.0,0.0,,
基本每股盈餘,0.26,,0.14,,,,0.46,
稀釋每股盈餘,,,,,0.02,,,
稀釋每股盈餘,0.26,,0.14,,,,0.45,
