會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,1289385.0,20.28,1251910.0,20.12,1198455.0,19.53,1237556.0,20.01
透過損益按公允價值衡量之金融資產－流動,6660.0,0.1,6660.0,0.11,6660.0,0.11,6660.0,0.11
按攤銷後成本衡量之金融資產－流動,45060.0,0.71,44390.0,0.71,0.0,0.0,0.0,0.0
應收票據淨額,138650.0,2.18,126636.0,2.03,149266.0,2.43,179136.0,2.9
應收帳款淨額,475411.0,7.48,455754.0,7.32,446043.0,7.27,506053.0,8.18
存貨,695314.0,10.94,728559.0,11.71,750245.0,12.23,737013.0,11.92
預付款項,189581.0,2.98,153737.0,2.47,157735.0,2.57,107172.0,1.73
其他流動資產,13237.0,0.21,12549.0,0.2,13798.0,0.22,4861.0,0.08
流動資產合計,2853298.0,44.88,2780195.0,44.68,2722202.0,44.37,2778451.0,44.92
非流動資產,,,,,,,,
透過損益按公允價值衡量之金融資產－非流動,0.0,0.0,0.0,0.0,0.0,0.0,24695.0,0.4
透過其他綜合損益按公允價值衡量之金融資產－非流動,23550.0,0.37,15993.0,0.26,14414.0,0.23,3119747.0,50.44
不動產、廠房及設備,3212385.0,50.53,3169720.0,50.94,3151415.0,51.37,19562.0,0.32
使用權資產,20488.0,0.32,20022.0,0.32,20013.0,0.33,86983.0,1.41
無形資產,108247.0,1.7,96702.0,1.55,88285.0,1.44,52108.0,0.84
遞延所得稅資產,59057.0,0.93,61011.0,0.98,44703.0,0.73,103645.0,1.68
其他非流動資產,79929.0,1.26,79390.0,1.28,94012.0,1.53,3406740.0,55.08
非流動資產合計,3503656.0,55.12,3442838.0,55.32,3412842.0,55.63,6185191.0,100.0
資產總額,6356954.0,100.0,6223033.0,100.0,6135044.0,100.0,,
流動負債,,,,,,,447000.0,7.23
短期借款,537000.0,8.45,397000.0,6.38,367000.0,5.98,96559.0,1.56
合約負債－流動,103680.0,1.63,97022.0,1.56,91361.0,1.49,558.0,0.01
應付票據,206.0,0.0,393.0,0.01,493.0,0.01,323182.0,5.23
應付帳款,195013.0,3.07,265193.0,4.26,288658.0,4.71,426424.0,6.89
其他應付款,436302.0,6.86,384543.0,6.18,351256.0,5.73,45407.0,0.73
本期所得稅負債,47197.0,0.74,28292.0,0.45,31677.0,0.52,106781.0,1.73
其他流動負債,134089.0,2.11,144410.0,2.32,119400.0,1.95,1445911.0,23.38
流動負債合計,1453487.0,22.86,1316853.0,21.16,1249845.0,20.37,,
非流動負債,,,,,,,1415618.0,22.89
長期借款,1623424.0,25.54,1600850.0,25.72,1528333.0,24.91,106814.0,1.73
其他非流動負債,120870.0,1.9,119376.0,1.92,115838.0,1.89,1522432.0,24.61
非流動負債合計,1744294.0,27.44,1720226.0,27.64,1644171.0,26.8,2968343.0,47.99
負債總額,3197781.0,50.3,3037079.0,48.8,2894016.0,47.17,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,1677221.0,27.12
普通股股本,1677221.0,26.38,1677221.0,26.95,1677221.0,27.34,1677221.0,27.12
股本合計,1677221.0,26.38,1677221.0,26.95,1677221.0,27.34,,
資本公積,,,,,,,929972.0,15.04
資本公積合計,963516.0,15.16,929972.0,14.94,929972.0,15.16,,
保留盈餘,,,,,,,119606.0,1.93
法定盈餘公積,153734.0,2.42,119606.0,1.92,119606.0,1.95,91075.0,1.47
特別盈餘公積,91075.0,1.43,91075.0,1.46,91075.0,1.48,233724.0,3.78
未分配盈餘（或待彌補虧損）,23967.0,0.38,145300.0,2.33,213378.0,3.48,444405.0,7.18
保留盈餘合計,268776.0,4.23,355981.0,5.72,424059.0,6.91,,
其他權益,,,,,,,-121368.0,-1.96
其他權益合計,-100304.0,-1.58,-116130.0,-1.87,-110950.0,-1.81,2930230.0,47.37
歸屬於母公司業主之權益合計,2809209.0,44.19,2847044.0,45.75,2920302.0,47.6,286618.0,4.63
非控制權益,349964.0,5.51,338910.0,5.45,320726.0,5.23,3216848.0,52.01
權益總額,3159173.0,49.7,3185954.0,51.2,3241028.0,52.83,6185191.0,100.0
負債及權益總計,6356954.0,100.0,6223033.0,100.0,6135044.0,100.0,0.0,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,0.0,
